LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937,check pass; user unknown,E27,check pass; user unknown
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
12,Jun,15,02:04:59,combo,sshd(pam_unix),20897,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
13,Jun,15,02:04:59,combo,sshd(pam_unix),20898,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=root
14,Jun,15,04:06:18,combo,su(pam_unix),21416,session opened for user cyrus by (uid=0),E102,session opened for user  by (uid=)
15,Jun,15,04:06:19,combo,su(pam_unix),21416,session closed for user cyrus,E101,session closed for user 
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1]
17,Jun,15,04:12:42,combo,su(pam_unix),22644,session opened for user news by (uid=0),E102,session opened for user  by (uid=)
18,Jun,15,04:12:43,combo,su(pam_unix),22644,session closed for user news,E101,session closed for user 
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397,check pass; user unknown,E27,check pass; user unknown
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395,check pass; user unknown,E27,check pass; user unknown
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404,check pass; user unknown,E27,check pass; user unknown
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399,check pass; user unknown,E27,check pass; user unknown
26,Jun,15,12:12:34,combo,sshd(pam_unix),23399,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406,check pass; user unknown,E27,check pass; user unknown
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396,check pass; user unknown,E27,check pass; user unknown
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394,check pass; user unknown,E27,check pass; user unknown
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407,check pass; user unknown,E27,check pass; user unknown
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
33,Jun,15,12:12:34,combo,sshd(pam_unix),23403,check pass; user unknown,E27,check pass; user unknown
34,Jun,15,12:12:34,combo,sshd(pam_unix),23396,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
35,Jun,15,12:12:34,combo,sshd(pam_unix),23407,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
36,Jun,15,12:12:34,combo,sshd(pam_unix),23403,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
37,Jun,15,12:12:34,combo,sshd(pam_unix),23412,check pass; user unknown,E27,check pass; user unknown
38,Jun,15,12:12:34,combo,sshd(pam_unix),23412,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
39,Jun,15,12:13:19,combo,sshd(pam_unix),23414,check pass; user unknown,E27,check pass; user unknown
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
41,Jun,15,12:13:20,combo,sshd(pam_unix),23416,check pass; user unknown,E27,check pass; user unknown
42,Jun,15,12:13:20,combo,sshd(pam_unix),23416,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
43,Jun,15,14:53:32,combo,sshd(pam_unix),23661,check pass; user unknown,E27,check pass; user unknown
44,Jun,15,14:53:32,combo,sshd(pam_unix),23661,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
45,Jun,15,14:53:32,combo,sshd(pam_unix),23663,check pass; user unknown,E27,check pass; user unknown
46,Jun,15,14:53:32,combo,sshd(pam_unix),23663,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
47,Jun,15,14:53:32,combo,sshd(pam_unix),23664,check pass; user unknown,E27,check pass; user unknown
48,Jun,15,14:53:32,combo,sshd(pam_unix),23664,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
49,Jun,15,14:53:33,combo,sshd(pam_unix),23665,check pass; user unknown,E27,check pass; user unknown
50,Jun,15,14:53:33,combo,sshd(pam_unix),23665,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
51,Jun,15,14:53:34,combo,sshd(pam_unix),23669,check pass; user unknown,E27,check pass; user unknown
52,Jun,15,14:53:34,combo,sshd(pam_unix),23669,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
53,Jun,15,14:53:35,combo,sshd(pam_unix),23671,check pass; user unknown,E27,check pass; user unknown
54,Jun,15,14:53:35,combo,sshd(pam_unix),23671,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=
