144,-,1131566503,2005.11.09,aadmin4,Nov,9,12:01:43,src@aadmin4,dhcpd,,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for  () from  via eth1: unknown lease .
145,-,1131566503,2005.11.09,dn77,Nov,9,12:01:43,dn77/dn77,ntpd,9978,"synchronized to 10.100.30.250, stratum 3",E125,"synchronized to , stratum "
146,-,1131566503,2005.11.09,tbird-admin1,Nov,9,12:01:43,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C2] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
147,-,1131566506,2005.11.09,cn296,Nov,9,12:01:46,cn296/cn296,ntpd,24199,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to , stratum "
148,-,1131566506,2005.11.09,tbird-admin1,Nov,9,12:01:46,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B1] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
149,-,1131566507,2005.11.09,tbird-admin1,Nov,9,12:01:47,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A1] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
150,-,1131566507,2005.11.09,tbird-admin1,Nov,9,12:01:47,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C4] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
151,-,1131566508,2005.11.09,dn233,Nov,9,12:01:48,dn233/dn233,ntpd,11151,"synchronized to 10.100.30.250, stratum 3",E125,"synchronized to , stratum "
152,-,1131566509,2005.11.09,bn999,Nov,9,12:01:49,bn999/bn999,ntpd,14515,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to , stratum "
153,-,1131566509,2005.11.09,tbird-admin1,Nov,9,12:01:49,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A5] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
154,-,1131566509,2005.11.09,tbird-admin1,Nov,9,12:01:49,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C1] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
