### Table XV: Detection Rate and False Positive Rate for Different Θbot and Cntbirch

| Θbot | Cntbirch | Detection Rate | False Positive Rate |
|-------|----------|----------------|--------------------|
| 0.8   | 16/16    | 0              | 0.9                |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 2/16  | 3/16     | 16/16          | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
