# 滴滴SDL体系建设

## 作者
范世强  
2020.12.17

## 目录
1. 个人介绍
2. 滴滴SDL建设历程概览
3. 滴滴SDL建设历程详解
4. 滴滴SDL的现在与未来

### 1. 个人介绍
拥有超过10年的安全从业经验，曾在国舜科技、CNCERT、阿里云等公司任职。2017年加入滴滴出行，担任SDL负责人，全程参与了滴滴SDL从无到有的建设过程。

### 2. 滴滴SDL建设历程概览
#### 安全开发生命周期(SDL)概述
- **定义**：Security Development Lifecycle (SDL) 是一种将安全集成到软件开发全生命周期的方法。
- **阶段**：需求分析、设计、编码、测试、部署及运营。

#### 滴滴SDL发展历程
- **2017年**：初步建立SDL流程，包括安全咨询、设计方案评估、提供安全开发规范等。
- **2018年**：引入自动化工具，如自研代码扫描器和商用白盒扫描工具，提升效率。
- **2019年**：实现安全评估自动化，并优化开发规范。
- **2020年**：进一步左移安全检测至构建阶段，并加强研发人员的安全教育。

### 3. 滴滴SDL建设历程详解
#### 2017年：起步阶段
- **背景**：初期存在大量未被发现的安全漏洞。
- **关键举措**：
  - 建立基础流程卡点
  - 制定详细的上线规范
  
#### 2018年：平台化与自动化
- **背景**：手动操作过多导致效率低下。
- **关键举措**：
  - 上线一站式工作平台
  - 自研黑盒扫描技术并与测试环境对接
  - 商用白盒扫描与CI/CD系统整合
  
#### 2019年：提高自动化水平
- **背景**：人工评估难以应对日益增长的需求。
- **关键举措**：
  - 实现基于规则引擎的安全评估自动化
  - 开发内部使用的白盒扫描工具
  
#### 2020年：深化应用与教育
- **背景**：尽管已取得一定成效，但仍面临逻辑漏洞频发等问题。
- **关键举措**：
  - 将白盒扫描提前至构建阶段
  - 推广安全编程最佳实践视频教程
  - 提供易于集成的安全SDK以降低修复成本
  - 构建全面的性能指标监控体系

### 4. 滴滴SDL的现在与未来
- **当前状态**：已经形成了一套较为完整的SDL框架，涵盖从预防到响应各个层面。
- **未来展望**：
  - 继续推进逻辑漏洞检测自动化
  - 加强DevSecOps文化推广
  - 扩大团队规模，吸引更多优秀人才加入
  
---

如果您对滴滴的SDL感兴趣或有任何疑问，请联系我（微信ID: fsqsec）。期待与您共同探讨如何更好地保护我们的数字世界！
