# 密码安全与破解技术概览

## 注册表路径
- `HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\IntelliForms\Storage2`：HTTP认证密码存储在Credentials文件中。

## Web邮件账户及密码
- **Web邮件**的账号和密码通常存储在不同的注册表键值中，但均为加密后的密文。
  - Hotmail
  - Yahoo Mail
  - Gmail

## 工具使用
- 可以使用工具如LiveDetector来揭示账号/密码信息。

## 帐号密码的安全性
- **严重性**：密码被盗可能导致严重的隐私泄露。
- **位置及方式**：密码可能存在于各种地方，并且常常是经过加密处理的。
- **破译逻辑**：根据密码的复杂度和加密算法的不同，破解所需的时间也会有所不同。
- **常用手法**：包括但不限于网络钓鱼、键盘记录器等手段。

## 加密强度评估
- 需要了解所面对的具体加密算法及其强度，例如AES (Truecrypt)、PGP、Skype以及数据擦除工具。
- 当加密强度达到一定水平时（如PGP），即使拥有大量计算资源也难以在合理时间内完成暴力破解。

### 暴力破解时间估算
- 对于高强度加密（如PGP），单台Core2 PC需要大约一千万年才能成功破解；相当于一千万台PC同时运行一年。

## 密码破解策略
- 从较弱或已知的加密开始尝试。
- 利用社会工程学方法获取敏感信息。
- 先尝试破解常见应用（如MSN、DOC、RAR）中的密码。
- 搜索硬盘上与密码相关的关键词。
- 尽量避免直接采用暴力攻击方式。

## 删除文件恢复
- 恢复删除文件主要有两种途径：
  1. 修改文件系统的索引区(FAT/FDT/MFT/InodeTable)，将标记为已删除的数据恢复。
  2. 在未分配空间内搜索符合特定格式的数据块并提取出来保存为新文件。

### 不同类型文件的解密难度
- Office文档相对容易被破解。
- PDF次之。
- RAR/ZIP文件较为困难。
- 还有一些付费服务专门提供此类解密服务。

## 字典攻击
- 大多数密码破解软件都支持字典攻击。
- 关键在于字典库的质量及其组合方式。
- 专业黑客可能会选择非英语词汇作为候选密码。
- 制作高质量字典的方法之一是对整个硬盘或内存进行索引。

## 彩虹表
- 彩虹表是一种通过预计算哈希值来加速密码破解的技术。
- 它们特别适用于快速检索简单密码。
- Windows、Office/PDF以及压缩文件的默认加密方案并不十分安全。

## 忘记管理员密码
- 如果忘记了Windows Administrator或Linux root密码，可以使用特定工具重置而不必完全破解系统。
- 对于虚拟机环境下的操作系统，也有相应的方法进行密码重置。

## 确定攻击目标
- 了解目标用户的软件环境非常重要，包括他们使用的电子邮件客户端、即时通讯工具、文件加密解决方案以及其他应用程序。

### 键盘记录器
- 分为硬件式和软件式两大类。
- 软件型更为普遍，可以通过植入木马来实现屏幕截图、按键记录等功能。

### 社会工程学
- 通过发送假冒登录页面的电子邮件诱骗用户提供其凭证。
- 利用人们倾向于重复使用同一套密码的习惯进行攻击。
- 监听电话通话或翻查垃圾桶也可能找到有用的信息。

### 网络嗅探
- 明文传输的协议（如POP3、Telnet、FTP、基于基本身份验证的Web服务）更容易受到监听攻击。

### 无线网络攻击
- WEP认证如果捕获足够多的数据包即可被破解。
- 开放式Wi-Fi热点也是潜在的安全风险点。

### 网络攻击
- 如果允许无限次猜测而不会触发锁定机制，则可利用Hydra/Brutus等工具尝试枚举出有效的用户名与密码组合。
- 存在其他针对Web认证机制的攻击向量。

---

*本演示文稿由pdfFactory Pro试用版创建。更多详情请访问 [www.pdffactory.com](http://www.pdffactory.com)*
