157.55.39.70 - - [12/Jun/2017:10:14:10 +0800] "GET /about/partner/ HTTP/1.1" 200 3808 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "-" 0.000 -
101.89.64.234 - - [12/Jun/2017:10:14:14 +0800] "POST /report HTTP/1.1" 200 52 "http://logcloud.paic.com.cn/search/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36" "-" 0.002 0.002
115.195.127.95 - - [12/Jun/2017:10:14:41 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.000 -
115.195.127.95 - - [12/Jun/2017:10:14:41 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.000 -
218.0.239.211 - - [12/Jun/2017:10:14:41 +0800] "GET / HTTP/1.1" 200 6474 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.000 -
218.0.239.211 - - [12/Jun/2017:10:14:41 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.000 -
218.0.239.211 - - [12/Jun/2017:10:14:41 +0800] "GET /assets/img/rzy/homepage/banner1.jpg HTTP/1.1" 200 144890 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.105 -
218.0.239.211 - - [12/Jun/2017:10:14:41 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.000 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /assets/img/rzy/homepage/banner2.jpg HTTP/1.1" 200 536577 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.210 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /assets/img/rzy/customer-logos-1x.png HTTP/1.1" 200 262861 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.000 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /favicon.ico HTTP/1.1" 200 3222 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0" "-" 0.000 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /assets/img/rzy/homepage/highlight2.png HTTP/1.1" 200 38037 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.000 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /assets/img/rzy/small-icons.png HTTP/1.1" 200 72322 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.187 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /assets/img/rzy/homepage/highlight.png HTTP/1.1" 200 106736 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.301 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /assets/img/rzy/homepage/banner3.jpg HTTP/1.1" 200 264078 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.329 -
218.0.239.211 - - [12/Jun/2017:10:14:42 +0800] "GET /assets/img/rzy/homepage/desc-1x.png HTTP/1.1" 200 453188 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko" "-" 0.449 -
210.22.4.227 - - [12/Jun/2017:10:14:58 +0800] "POST /report HTTP/1.1" 200 37 "-" "Apache-HttpClient/4.2.5 (java 1.5)" "-" 0.001 0.001
66.249.64.223 - - [12/Jun/2017:10:15:49 +0800] "GET /img/rzy/doc/howtouse/type1.png HTTP/1.1" 404 2798 "-" "Googlebot-Image/1.0" "-" 0.000 -
66.249.64.221 - - [12/Jun/2017:10:15:52 +0800] "GET /assets/img/rzy/doc/howtouse/reportnew-2.png HTTP/1.1" 200 64706 "-" "Googlebot-Image/1.0" "-" 0.343 -
66.249.64.221 - - [12/Jun/2017:10:16:00 +0800] "GET /img/rzy/doc/upload/rsyslog-1.jpg HTTP/1.1" 404 2798 "-" "Googlebot-Image/1.0" "-" 0.000 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.003 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.003 -
