I wrote a simple page using PageView and AutomaticKeepAliveClientMixin, which
contains 4 page, A, B, C, D, and when App starts a meeting, the user points to
D first, then tap B or C， and it can't be displayed on B or C. It can be
concluded that when App starts, if you click on the Tab behind, the front will
not appear.
    [√] Flutter (Channel unknown, v0.3.5, on Microsoft Windows [Version 10.0.16299.371], locale zh-CN)
        • Flutter version 0.3.5 at D:\flutter
        • Framework revision 7ffcd3d22d (11 days ago), 2018-04-24 14:03:41 -0700
        • Engine revision ec611470b5
        • Dart version 2.0.0-dev.48.0.flutter-fe606f890b
    [√] Android toolchain - develop for Android devices (Android SDK 27.0.3)
        • Android SDK at D:\android\android-sdk-windows
        • Android NDK location not configured (optional; useful for native profiling support)
        • Platform android-27, build-tools 27.0.3
        • ANDROID_HOME = D:\android\android-sdk-windows
        • Java binary at: C:\Program Files\Android\Android Studio\jre\bin\java
        • Java version OpenJDK Runtime Environment (build 1.8.0_152-release-915-b01)
        • All Android licenses accepted.
    [√] Android Studio (version 3.0)
        • Android Studio at C:\Program Files\Android\Android Studio
        X Flutter plugin not installed; this adds Flutter specific functionality.
        X Dart plugin not installed; this adds Dart specific functionality.
        • Java version OpenJDK Runtime Environment (build 1.8.0_152-release-915-b01)
    [√] IntelliJ IDEA Community Edition (version 2018.1)
        • IntelliJ at C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.1.1
        • Flutter plugin version 24.1.2
        • Dart plugin version 181.4668.60
    [√] VS Code, 32-bit edition (version 1.22.2)
        • VS Code at C:\Program Files (x86)\Microsoft VS Code
        • Dart Code extension version 2.12.1
    [√] Connected devices (1 available)
        • vivo Y75A • 5SUWWCDQPNZSOFSO • android-arm64 • Android 7.1.1 (API 25)
    [ +150 ms] I/flutter ( 4500): ══╡ EXCEPTION CAUGHT BY WIDGETS LIBRARY ╞═══════════════════════════════════════════════════════════
    [  +36 ms] I/flutter ( 4500): The following assertion was thrown building NotificationListener:
    [   +2 ms] I/flutter ( 4500): 'package:flutter/src/rendering/object.dart': Failed assertion: line 2732 pos 14:
    [   +3 ms] I/flutter ( 4500): '_debugUltimatePreviousSiblingOf(after, equals: _firstChild)': is not true.
    [ +481 ms] I/flutter ( 4500): Either the assertion indicates an error in the framework itself, or we should provide substantially
    [   +1 ms] I/flutter ( 4500): more information in this error message to help you determine and fix the underlying cause.
    [        ] I/flutter ( 4500): In either case, please report this assertion by filing a bug on GitHub:
    [   +1 ms] I/flutter ( 4500):   https://github.com/flutter/flutter/issues/new
    [   +6 ms] I/flutter ( 4500): When the exception was thrown, this was the stack:
    [  +72 ms] I/flutter ( 4500): #2      RenderSliver&ContainerRenderObjectMixin._insertIntoChildList (package:flutter/src/rendering/object.dart:2732:14)
    [   +2 ms] I/flutter ( 4500): #3      RenderSliver&ContainerRenderObjectMixin.insert (package:flutter/src/rendering/object.dart:2766:5)
    [        ] I/flutter ( 4500): #4      RenderSliverMultiBoxAdaptor.insert (package:flutter/src/rendering/sliver_multi_box_adaptor.dart:209:17)
    [        ] I/flutter ( 4500): #5      SliverMultiBoxAdaptorElement.insertChildRenderObject (package:flutter/src/widgets/sliver.dart:863:18)
    [   +1 ms] I/flutter ( 4500): #6      RenderObjectElement.attachRenderObject (package:flutter/src/widgets/framework.dart:4505:35)
    [        ] I/flutter ( 4500): #7      RenderObjectElement.mount (package:flutter/src/widgets/framework.dart:4271:5)
    [        ] I/flutter ( 4500): #8      SingleChildRenderObjectElement.mount (package:flutter/src/widgets/framework.dart:4645:16)
    [   +1 ms] I/flutter ( 4500): #9      Element.inflateWidget (package:flutter/src/widgets/framework.dart:2899:14)
    [   +2 ms] I/flutter ( 4500): #10     Element.updateChild (package:flutter/src/widgets/framework.dart:2702:12)
    [        ] I/flutter ( 4500): #11     ComponentElement.performRebuild (package:flutter/src/widgets/framework.dart:3645:16)
    [   +1 ms] I/flutter ( 4500): #12     Element.rebuild (package:flutter/src/widgets/framework.dart:3487:5)
    [   +4 ms] I/flutter ( 4500): #13     ComponentElement._firstBuild (package:flutter/src/widgets/framework.dart:3614:5)
    [   +2 ms] I/flutter ( 4500): #14     ComponentElement.mount (package:flutter/src/widgets/framework.dart:3609:5)
    [        ] I/flutter ( 4500): #15     Element.inflateWidget (package:flutter/src/widgets/framework.dart:2899:14)
    [        ] I/flutter ( 4500): #16     Element.updateChild (package:flutter/src/widgets/framework.dart:2702:12)
    [   +2 ms] I/flutter ( 4500): #17     ComponentElement.performRebuild (package:flutter/src/widgets/framework.dart:3645:16)
    [        ] I/flutter ( 4500): #18     Element.rebuild (package:flutter/src/widgets/framework.dart:3487:5)
    [        ] I/flutter ( 4500): #19     ComponentElement._firstBuild (package:flutter/src/widgets/framework.dart:3614:5)
    [   +2 ms] I/flutter ( 4500): #20     ComponentElement.mount (package:flutter/src/widgets/framework.dart:3609:5)
