以下是经过优化后的文本，使其更加清晰、连贯和专业：

---

### 库文件搜索路径记录

#### 搜索 `libgcc_s.so.1` 文件
进程 13084 正在尝试加载 `libgcc_s.so.1` 文件，并按以下路径顺序进行搜索：
1. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../libgcc_s.so.1`
2. `../local_config_cuda/cuda/lib64/tls/haswell/x86_64/libgcc_s.so.1`
3. `../local_config_cuda/cuda/lib64/tls/haswell/libgcc_s.so.1`
4. `../local_config_cuda/cuda/lib64/tls/x86_64/libgcc_s.so.1`
5. `../local_config_cuda/cuda/lib64/tls/libgcc_s.so.1`
6. `../local_config_cuda/cuda/lib64/haswell/x86_64/libgcc_s.so.1`
7. `../local_config_cuda/cuda/lib64/haswell/libgcc_s.so.1`
8. `../local_config_cuda/cuda/lib64/x86_64/libgcc_s.so.1`
9. `../local_config_cuda/cuda/lib64/libgcc_s.so.1`
10. `../local_config_cuda/cuda/extras/CUPTI/lib64/tls/haswell/x86_64/libgcc_s.so.1`
11. `../local_config_cuda/cuda/extras/CUPTI/lib64/tls/haswell/libgcc_s.so.1`
12. `../local_config_cuda/cuda/extras/CUPTI/lib64/tls/x86_64/libgcc_s.so.1`
13. `../local_config_cuda/cuda/extras/CUPTI/lib64/tls/libgcc_s.so.1`
14. `../local_config_cuda/cuda/extras/CUPTI/lib64/haswell/x86_64/libgcc_s.so.1`
15. `../local_config_cuda/cuda/extras/CUPTI/lib64/haswell/libgcc_s.so.1`
16. `../local_config_cuda/cuda/extras/CUPTI/lib64/x86_64/libgcc_s.so.1`
17. `../local_config_cuda/cuda/extras/CUPTI/lib64/libgcc_s.so.1`

#### 搜索路径（RPATH）：`/home/anaconda/anaconda3/bin/../lib`（来自文件 `/home/anaconda/anaconda3/bin/python`）
1. `/home/anaconda/anaconda3/bin/../lib/libgcc_s.so.1`

#### 搜索 `libcuda.so.1` 文件
进程 13084 正在尝试加载 `libcuda.so.1` 文件，并按以下路径顺序进行搜索：
1. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/x86_64/libcuda.so.1`
2. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/libcuda.so.1`
3. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/x86_64/libcuda.so.1`
4. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/libcuda.so.1`
5. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/x86_64/libcuda.so.1`
6. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/libcuda.so.1`
7. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/x86_64/libcuda.so.1`
8. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccuda_Udriver___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/libcuda.so.1`
9. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/x86_64/libcuda.so.1`
10. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/libcuda.so.1`
11. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/x86_64/libcuda.so.1`
12. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/libcuda.so.1`
13. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/x86_64/libcuda.so.1`
14. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/libcuda.so.1`
15. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/x86_64/libcuda.so.1`
16. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccudnn___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/libcuda.so.1`
17. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/x86_64/libcuda.so.1`
18. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/libcuda.so.1`
19. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/x86_64/libcuda.so.1`
20. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/libcuda.so.1`
21. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/x86_64/libcuda.so.1`
22. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/libcuda.so.1`
23. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/x86_64/libcuda.so.1`
24. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccufft___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/libcuda.so.1`
25. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/x86_64/libcuda.so.1`
26. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/haswell/libcuda.so.1`
27. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/x86_64/libcuda.so.1`
28. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/tls/libcuda.so.1`
29. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/x86_64/libcuda.so.1`
30. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/haswell/libcuda.so.1`
31. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/x86_64/libcuda.so.1`
32. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../../_solib_local/_U@local_Uconfig_Ucuda_S_Scuda_Ccurand___Uexternal_Slocal_Uconfig_Ucuda_Scuda_Scuda_Slib/libcuda.so.1`
33. `/home/anaconda/anaconda3/lib/python3.6/site-packages/tensorflow/python/../libcuda.so.1`
