### 3.49 DBA_TAB_COLUMNS

The `DBA_TAB_COLUMNS` view provides information about all columns in the database.

| Name           | Type        | Description                                                                 |
|----------------|-------------|-----------------------------------------------------------------------------|
| `owner`        | `CHARACTER VARYING` | User name of the owner of the table or view in which the column resides.    |
| `schema_name`  | `CHARACTER VARYING` | Name of the schema in which the table or view resides.                       |
| `table_name`   | `CHARACTER VARYING` | Name of the table or view in which the column resides.                       |
| `column_name`  | `CHARACTER VARYING` | Name of the column.                                                         |
| `data_type`    | `CHARACTER VARYING` | Data type of the column.                                                    |
| `data_length`  | `NUMERIC`    | Length of text columns.                                                     |
| `data_precision` | `NUMERIC`  | Precision (number of digits) for `NUMBER` columns.                          |
| `data_scale`   | `NUMERIC`    | Scale of `NUMBER` columns.                                                  |
| `nullable`     | `CHARACTER(1)` | Whether or not the column is nullable: `Y` (nullable), `N` (not nullable).  |
| `column_id`    | `NUMERIC`    | Relative position of the column within the table or view.                    |
| `data_default` | `CHARACTER VARYING` | Default value assigned to the column.                                       |

### 3.50 DBA_TAB_PARTITIONS

The `DBA_TAB_PARTITIONS` view provides information about all partitions in the database.

| Name                   | Type        | Description                                                                                         |
|------------------------|-------------|-----------------------------------------------------------------------------------------------------|
| `table_owner`          | `TEXT`      | The owner of the table in which the partition resides.                                               |
| `schema_name`          | `TEXT`      | The name of the schema in which the table resides.                                                   |
| `table_name`           | `TEXT`      | The name of the table.                                                                              |
| `composite`            | `TEXT`      | `YES` if the table is subpartitioned; `NO` if the table is not subpartitioned.                      |
| `partition_name`       | `TEXT`      | The name of the partition.                                                                          |
| `subpartition_count`   | `BIGINT`    | The number of subpartitions in the partition.                                                       |
| `high_value`           | `TEXT`      | The high partitioning value specified in the `CREATE TABLE` statement.                              |
| `high_value_length`    | `INTEGER`   | The length of the partitioning value.                                                               |
| `partition_position`   | `INTEGER`   | `1` for the first partition; `2` for the second partition, and so on.                                |
| `tablespace_name`      | `TEXT`      | The name of the tablespace in which the partition resides.                                           |
| `pct_free`             | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `pct_used`             | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `ini_trans`            | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `max_trans`            | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `initial_extent`       | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `next_extent`          | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `min_extent`           | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `max_extent`           | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `pct_increase`         | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `freelists`            | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `freelist_groups`      | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `logging`              | `CHARACTER VARYING(7)` | Included for compatibility only; always `YES`.                                                      |
| `compression`          | `CHARACTER VARYING(8)` | Included for compatibility only; always `NONE`.                                                     |
| `num_rows`             | `NUMERIC`   | Same as `pg_class.reltuples`.                                                                       |
| `blocks`               | `INTEGER`   | Same as `pg_class.relpages`.                                                                        |
| `empty_blocks`         | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `avg_space`            | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `chain_cnt`            | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `avg_row_len`          | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `sample_size`          | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `last_analyzed`        | `TIMESTAMP WITHOUT TIME ZONE` | Included for compatibility only; always `NULL`.                                                    |
| `buffer_pool`          | `CHARACTER VARYING(7)` | Included for compatibility only; always `NULL`.                                                     |
| `global_stats`         | `CHARACTER VARYING(3)` | Included for compatibility only; always `YES`.                                                      |
| `user_stats`           | `CHARACTER VARYING(3)` | Included for compatibility only; always `NO`.                                                       |
| `backing_table`        | `REGCLASS`  | Name of the partition backing table.                                                                |

### 3.51 DBA_TAB_SUBPARTITIONS

The `DBA_TAB_SUBPARTITIONS` view provides information about all subpartitions in the database.

| Name                   | Type        | Description                                                                                         |
|------------------------|-------------|-----------------------------------------------------------------------------------------------------|
| `table_owner`          | `TEXT`      | The owner of the table in which the subpartition resides.                                            |
| `schema_name`          | `TEXT`      | The name of the schema in which the table resides.                                                   |
| `table_name`           | `TEXT`      | The name of the table.                                                                              |
| `partition_name`       | `TEXT`      | The name of the partition.                                                                          |
| `subpartition_name`    | `TEXT`      | The name of the subpartition.                                                                       |
| `high_value`           | `TEXT`      | The high subpartitioning value specified in the `CREATE TABLE` statement.                           |
| `high_value_length`    | `INTEGER`   | The length of the subpartitioning value.                                                            |
| `subpartition_position` | `INTEGER`   | `1` for the first subpartition; `2` for the second subpartition, and so on.                          |
| `tablespace_name`      | `TEXT`      | The name of the tablespace in which the subpartition resides.                                        |
| `pct_free`             | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `pct_used`             | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `ini_trans`            | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `max_trans`            | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `initial_extent`       | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `next_extent`          | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `min_extent`           | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `max_extent`           | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `pct_increase`         | `NUMERIC`   | Included for compatibility only; always `0`.                                                        |
| `freelists`            | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `freelist_groups`      | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `logging`              | `CHARACTER VARYING(7)` | Included for compatibility only; always `YES`.                                                      |
| `compression`          | `CHARACTER VARYING(8)` | Included for compatibility only; always `NONE`.                                                     |
| `num_rows`             | `NUMERIC`   | Same as `pg_class.reltuples`.                                                                       |
| `blocks`               | `INTEGER`   | Same as `pg_class.relpages`.                                                                        |
| `empty_blocks`         | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `avg_space`            | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `chain_cnt`            | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `avg_row_len`          | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `sample_size`          | `NUMERIC`   | Included for compatibility only; always `NULL`.                                                     |
| `last_analyzed`        | `TIMESTAMP WITHOUT TIME ZONE` | Included for compatibility only; always `NULL`.                                                    |
| `buffer_pool`          | `CHARACTER VARYING(7)` | Included for compatibility only; always `NULL`.                                                     |
| `global_stats`         | `CHARACTER VARYING(3)` | Included for compatibility only; always `YES`.                                                      |
