### Achieving an Accuracy of 94%

DAI (Device-Aware Inference) attacks are executed based on the inferred home configuration.

### B. Validation of Attacks

This section outlines the methodology and results for validating DAI attacks in the two testbed environments, T1 and T2.

#### 1. Methodology

To facilitate the validation process, we requested the testbed members to assist by triggering automation rules through controlled behavior patterns. The instructions provided included specific daily activities such as entering or leaving the home through the garage door, entering a particular room, and so forth. For example, when testing Rules 14 and 15 in T1 and Rules 8 and 9 in T2, which are triggered by smoke or water leaks, we asked the testbed members to safely trigger the smoke and water sensors. Due to physical constraints, we used smart switches instead of real water valves and sprinklers for these rules.

While the testbed members were triggering the victim rules, our attack script was running to delay the actual device events or commands (see Table IV). To establish a ground truth for validation, we repeated the process over two days. On the first day, we set the delay period to 0 for all events and commands, effectively conducting no attacks. On the second day, we performed DAI attacks by setting specific time periods to delay the target event or command of the victim rules. We collected event and command logs for analysis, using the automation result from the first day as the ground truth for comparison.

We compared the automation results of each pair of victim rules on the second day (with attack) with those from the first day (without attack). If the results were the same, it indicated that the rules were not attacked on the second day. Otherwise, we manually verified whether the automation result on the second day was consistent with the expected attack result. If so, the attack was validated.

### Device Logs and Automation Evaluation

Device logs are essential for evaluating the correctness of automation. Among the nine platforms deployed in the testbeds, three (SmartThings, HomeKit, and Alexa) are non-endpoint platforms with access to a broader range of device types. However, Alexa does not provide a convenient logging tool. Therefore, we used the built-in logging functions in the SmartThings mobile app and a third-party mobile app, Home+ 4, to collect HomeKit data.

Since the Alexa devices in the testbeds can be accessed via SmartThings and/or HomeKit, all device events could be collected using at least one of these methods. Note that we did not collect logs for hub devices as they are not used in automation rules. For analysis convenience, we converted the raw event logs from the SmartThings and Home+ 4 apps (denoted as EST and EHK) into a uniform format. Each element (event) in the reformatted logs is a tuple: ⟨TestbedID, DeviceID, Attribute, Value, Timestamp⟩, where TestbedID, DeviceID, Attribute, and Value uniquely identify an event type. For example, a motion active event sent by device 7 in testbed T1 can be denoted as ⟨1, 7, motion, active⟩. An event type may have multiple instances at different timestamps, and the new event log is sorted by timestamp.

The timestamps of events represent the time instances when the platforms receive the events, which may be delayed by an attack. This is why we use the events from the first day, in the absence of attacks, as the ground truth. Based on the event logs EST and EHK from both days, we can track the execution of rules as in existing work [26], [51].

### Table II: IoT Devices and Their Connections to Platforms in T1 and T2

| d-ID | Device                          | Testbed T1 Connection Path to Platform                           | Testbed T2 Connection Path to Platform                           |
|------|---------------------------------|------------------------------------------------------------------|------------------------------------------------------------------|
| 1    | SmartThings hub                 | ⇌ST cloud                                                        | ⇌ST cloud                                                        |
| 2    | Apple HomePod                   | ⇌iCloud; ⇌HomePod                                                | ⇌iCloud; ⇌HomePod                                                |
| 3    | Aqara hub                       | ⇌Aqara Cloud; ⇌HomePod                                           | -                                                                |
| 4    | Philips Hue bridge              | ⇌PH cloud; ⇌HomePod                                              | ⇌PH cloud                                                        |
| 5    | Alexa Echo Dot                  | ⇌Alexa Cloud                                                     | ⇌Alexa Cloud                                                     |
| 6    | Aqara Mini switch               | ⇌Aqara hub⇌HomePod                                               | -                                                                |
| 7    | First Alert smoke sensor        | ⇌ST hub⇌ST cloud; ⇌ST hub⇌Homebridge⇌HomePod                     | ⇌ST hub⇌ST cloud                                                 |
| 8    | SmartThings outlet              | ⇌ST hub⇌ST cloud                                                 | -                                                                |
| 9    | Wemo smart plug                 | ⇌WM cloud⇌Alexa cloud; ⇌ST hub⇌ST cloud                          | -                                                                |
| 10   | PH motion sensor                | ⇌PH bridge⇌HomePod; ⇌PH bridge⇌ST hub⇌ST cloud⇌Alexa cloud       | ⇌ST hub⇌ST Cloud; ⇌ST hub⇌Homebridge⇌HomePod                     |
| 11   | ST multipurpose sensor          | ⇌ST hub⇌ST cloud; ⇌ST hub⇌Homebridge⇌HomePod                     | ⇌ST hub⇌ST cloud; ⇌ST hub⇌Homebridge⇌HomePod                     |
| 12   | Kwikset door lock               | ⇌ST hub⇌ST cloud; ⇌ST hub⇌Homebridge⇌HomePod                     | ⇌ST hub⇌ST cloud⇌Alexa cloud                                     |
| 13   | VOCOlinc humidifier             | ⇌HomePod                                                         | ⇌HomePod                                                         |
| 14   | Philips Hue bulb                | ⇌PH bridge⇌HomePod; ⇌PH bridge⇌ST hub⇌ST cloud⇌Alexa cloud       | ⇌PH bridge⇌HomePod                                               |
| 15   | Eve Energy triple outlet        | Connected by a smart heater switch, a non-smart microwave, and a non-smart oven | -                                                                |
| 16   | Garadget door opener            | ⇌Garadget cloud⇌ST cloud; ⇌Garadget cloud⇌ST cloud⇌ST hub⇌Homebridge⇌HomePod | -                                                                |
| 17   | ST water sensor                 | ⇌ST hub⇌ST cloud                                                 | -                                                                |
| 18   | WeMo smart plug                 | ⇌HomePod                                                         | -                                                                |
| 19   | PH motion sensor                | ⇌PH bridge⇌HomePod                                               | -                                                                |
| 20   | ST motion sensor                | -                                                                | ⇌ST hub⇌ST cloud; ⇌ST hub⇌Homebridge⇌HomePod                     |
| 21   | ST multipurpose sensor          | -                                                                | ⇌ST hub⇌ST cloud; ⇌ST hub⇌Homebridge⇌HomePod                     |
| 22   | Arlo Essential camera           | -                                                                | ⇌Arlo cloud⇌ST cloud                                             |
| 23   | PH motion sensor                | -                                                                | ⇌PH bridge⇌HomePod                                               |
| 24   | PH motion sensor                | -                                                                | ⇌PH bridge⇌ST hub⇌ST Cloud; ⇌PH bridge⇌PH cloud⇌Alexa Cloud      |
| 25   | PH motion sensor                | -                                                                | ⇌HomePod                                                         |

### Figure 11: Floor Plans and Device Placement in the Two Testbeds, T1 and T2

For brevity, personal devices (e.g., smartphones, tablets, laptops) and IoT hubs are not marked in the floor plans.

### Table III: Installed Rules in All Testbeds

| Testbed | RID | Rule Description and Device Binding                                                                 | Platform   |
|---------|-----|----------------------------------------------------------------------------------------------------|------------|
| T1      | 1   | When 6pm, if motion 7 is active in living room, turn on the ceiling light 16.                      | HomeKit    |
| T1      | 2   | When 6pm, if no motion 7 in living room, toggle ceiling light 16 every 15 minutes to simulate occupancy. Press an app button to stop. | SmartThings |
