 IRF_LINK_UP,IRF port came up.,无,6,IRF/6/IRF_LINK_UP: IRF port came up.,IRF端口链路状态变为up,无
 IRF_MEMBERID_CONFLICT,IRF member ID conflict occurred. The ID [UINT32]   has been used for another device with CPU-Mac: [STRING].,$1：设备的成员编号   $2：设备的CPU MAC,4,"IRF/4/IRF_MEMBERID_CONFLICT:-slot = 5;   IRF member ID conflict occurred, The ID 5 has been used for another device   with CPU-Mac: 000c-29d7-c1ae.",在同一广播域中发现跟自己成员编号相同的设备时，打印该日志，提示成员冲突,根据提示信息，检查IRF中的成员编号，重新设置新加入设备的成员编号
 IRF_MERGE,IRF merge occurred.,无,4,IRF/4/IRF_MERGE: IRF merge occurred.,IRF发生合并时，打印该日志信息,无
 IRF_MERGE_NEED_REBOOT,IRF merge occurred. This IRF system needs   a reboot.,无,4,IRF/4/IRF_MERGE_NEED_REBOOT: IRF merge   occurred. This IRF system needs a reboot.,IRF发生合并时，主设备优先级低的IRF需要重启，打印该日志,重启主设备优先级低的IRF完成合并
 IRF_MERGE_NOT_NEED_REBOOT,IRF merge occurred. This IRF system does   not need to reboot.,无,5,IRF/5/IRF_MERGE_NOT_NEED_REBOOT: IRF   merge occurred. This IRF system does not need to reboot.,IRF发生合并时，主设备优先级高的IRF不需要重启，打印该日志,无
 ISIS_LSP_CONFLICT,"IS-IS [UINT16], [STRING] LSP, LSPID=[STRING],   SeqNum=[HEX], system ID conflict might exist.",$1：进程ID   $2：IS类型，值为Level-1或Level-2   $3：LSP ID   $4：LSP序列号,5,"ISIS/5/ISIS_LSP_CONFLICT: -MDC=1;    IS-IS 1, Level-1 LSP,   LSPID=1111.1111.1111.00-00, SeqNum=0x000045bf, system ID conflict might exist.",网络中可能存在System ID冲突,检查产生该LSP的设备的System ID是否和其他设备的System ID冲突
 ISIS_MEM_ALERT,ISIS Process received system memory alert   [STRING] event.,$1：内存告警类型,5,ISIS/5/ISIS_MEM_ALERT: ISIS Process   received system memory alert start event.,IS-IS模块收到内存告警信息,当超过各级内存门限时，检查系统内存占用情况，对占用内存较多的模块进行调整，尽量释放可用内存
 ISIS_NBR_CHG,"IS-IS [UINT16], [STRING] adjacency [STRING]   ([STRING]), state changed to [STRING], Reason: [STRING].",$1：IS-IS进程ID   $2：IS-IS邻居等级   $3：邻居ID   $4：接口名称   $5：当前邻居状态   $6：邻居状态变化原因,5,"ISIS/5/ISIS_NBR_CHG: IS-IS 1, Level-1   adjacency 0000.0000.0001 (GigabitEthernet1/0/1), state changed to DOWN,   Reason: circuit data clean.",邻居状态发生变化,需要关注邻居状态变化原因。当邻居状态变为down时，检查IS-IS配置正确性和网络连通性
 ISSU_PROCESSWITCHOVER,Switchover completed. The standby process   became the active process.,无,5,ISSU/5/ISSU_PROCESSWITCHOVER: Switchover completed.   The standby process became the active process.,用户执行issu run switchover进行主备倒换完成，备进程已升级为主进程,无
 ISSU_ROLLBACKCHECKNORMAL,The rollback might not be able to restore   the previous version for [STRING] because the status is not normal.,$1：板号，形如slot 1 或 chassis 1 slot 2,4,ISSU/4/ISSU_ROLLBACKCHECKNORMAL: The   rollback might not be able to restore the previous version for chassis 1 slot   2 because the state is not normal.,ISSU升级，ISSU状态处理Switching，用户执行issu rollback回滚或ISSU回滚定时器超时自动回滚，如果有升级过的板状态不为Normal，会输出该日志,无
 L2PT_ADD_GROUPMEMBER_FAILED,Failed to add [STRING] as a member to the   VLAN tunnel group for [STRING].,$1：接口名称   $2：协议类型,4,L2PT/4/L2PT_ADD_GROUPMEMBER_FAILED:   Failed to add GigabitEthernet2/0/1 as a member to the VLAN tunnel group for   STP.,接口加入协议的VLAN Tunnel组播组失败,无
 L2PT_CREATE_TUNNELGROUP_FAILED,Failed to create a VLAN tunnel group for   [STRING].,$1：协议类型,4,L2PT/4/L2PT_CREATE_TUNNELGROUP_FAILED:   Failed to create a VLAN tunnel group for STP.,创建协议的VLAN   Tunnel组播组失败,无
