9.3.3 尾递归
9.3.4 递归和倒序计算
9.3.5 递归的优缺点
9.4 编译多源代码文件的程序
9.4.1 UNIX
9.4.2 Linux
9.4.3 DOS命令行编译器
9.4.4 Windows和苹果的IDE编译器
9.4.5 使用头文件
9.5 查找地址：&运算符
9.6 更改主调函数中的变量
9.7 指针简介
9.7.1 间接运算符：*
9.7.2 声明指针
9.7.3 使用指针在函数间通信
9.8 关键概念
9
9.9 本章小结
9.10 复习题
9.11 编程练习
第10章 数组和指针
10.1 数组
10.1.1 初始化数组
10.1.2 指定初始化器（C99）
10.1.3 给数组元素赋值
10.1.4 数组边界
10.1.5 指定数组的大小
10.2 多维数组
10.2.1 初始化二维数组
10.2.2 其他多维数组
10.3 指针和数组
10.4 函数、数组和指针
10.4.1 使用指针形参
10.4.2 指针表示法和数组表示法
10.5 指针操作
10.6 保护数组中的数据
10.6.1 对形式参数使用const
10.6.2 const的其他内容
10.7 指针和多维数组
10.7.1 指向多维数组的指针
10.7.2 指针的兼容性
10.7.3 函数和多维数组
10.8 变长数组（VLA）
10.9 复合字面量
10.10 关键概念
10.11 本章小结
10.12 复习题
10.13 编程练习
第11章 字符串和字符串函数
11.1 表示字符串和字符串I/O
10
11.1.1 在程序中定义字符串
11.1.2 指针和字符串
11.2 字符串输入
11.2.1 分配空间
11.2.2 不幸的gets()函数
11.2.3 gets()的替代品
11.2.4 scanf()函数
11.3 字符串输出
11.3.1 puts()函数
11.3.2 fputs()函数
11.3.3 printf()函数
11.4 自定义输入/输出函数
11.5 字符串函数
11.5.1 strlen()函数
11.5.2 strcat()函数
11.5.3 strncat()函数
11.5.4 strcmp()函数
11.5.5 strcpy()和strncpy()函数
11.5.6 sprintf()函数
11.5.7 其他字符串函数
11.6 字符串示例：字符串排序
11.6.1 排序指针而非字符串
11.6.2 选择排序算法
11.7 ctype.h字符函数和字符串
11.8 命令行参数
11.8.1 集成环境中的命令行参数
11.8.2 Macintosh中的命令行参数
11.9 把字符串转换为数字
11.10 关键概念
11.11 本章小结
11.12 复习题
11.13 编程练习
第12章 存储类别、链接和内存管理
11
12.1 存储类别
12.1.1 作用域
12.1.2 链接
12.1.3 存储期
12.1.4 自动变量
12.1.5 寄存器变量
12.1.6 块作用域的静态变量
12.1.7 外部链接的静态变量
12.1.8 内部链接的静态变量
12.1.9 多文件
12.1.10 存储类别说明符
12.1.11 存储类别和函数
12.1.12 存储类别的选择
