# 二叉树与栈相关问题概览

以下是关于二叉树和栈的一些常见问题及其难度、通过率等信息。这些问题涵盖了括号匹配、栈的基本操作、利用栈进行编码及单调栈的应用等方面。

## 问题列表
| 题目编号 | 题目名称 | 通过率 | 难度 |
| --- | --- | --- | --- |
| 42.1% | 二叉树Zigzag层次遍历 | 42.1% | 中等 |
| 51.7% | 144题 | 51.7% | 中等 |
| 48.9% | 145题 | 48.9% | 困难 |
| 32.5% | 逆波兰表达式求值 | 32.5% | 中等 |
| 37.5% | 最小栈 | 37.5% | 简单 |
| 48.1% | 二叉搜索树迭代器 | 48.1% | 中等 |
| 33.0% | 基本计算器 | 33.0% | 困难 |
| 39.6% | 使用队列实现栈 | 39.6% | 简单 |
| 43.7% | 使用栈实现队列 | 43.7% | 简单 |
| 45.4% | 最接近的二叉搜索树值 I | 45.4% | 困难 |
| 32.8% | 316题 | 32.8% | 困难 |
| 38.8% | 二叉树的后序遍历 | 38.8% | 中等 |
| 48.2% | 386题 | 48.2% | 中等 |
| 31.9% | 34题 | 31.9% | 困难 |
| 45.2% | 解码字符串 | 45.2% | 中等 |
| 26.7% | 移除K位数字 | 26.7% | 中等 |
| 53.7% | 456题 | 53.7% | 中等 |
| 27.4% | 132模式 | 27.4% | 中等 |
| 61.2% | 棒球比赛 | 61.2% | 简单 |
| 44.9% | 原子的数量 | 44.9% | 困难 |
| 38.6% | 小行星碰撞 | 38.6% | 中等 |
| 60.1% | 每日温度 | 60.1% | 中等 |
| 43.4% | 基本计算器 III | 43.4% | 困难 |
| 46.1% | 后退键字符串比较 | 46.1% | 简单 |
| 56.5% | 括号得分 | 56.5% | 中等 |
| 23.0% | 在索引处解码字符串 | 23.0% | 中等 |
| 56.4% | 奇偶跳 | 56.4% | 困难 |
| 48.4% | 在线股票跨度 | 48.4% | 中等 |
| 27.6% | 子数组最小之和 | 27.6% | 中等 |
| 70.3% | 最小添加以使括号有效 | 70.3% | 中等 |
| 57.5% | 验证堆栈序列 | 57.5% | 中等 |
| 47.1% | 编码偶数跳跃 | 47.1% | 困难 |
| 74.2% | 有效的子数组数量 | 74.2% | 困难 |
| 56.5% | 链表中的节点 | 56.5% | 中等 |
| 75.7% | 字符串替换 | 75.7% | 简单 |

## 栈相关问题分类
- **括号匹配问题及类似问题**：第20题，第921题，第1021题。
- **栈的基本pop和push操作**：第71题，第150题，第155题，第224题，第225题，第232题，第946题，第1047题。
- **利用栈进行编码问题**：第394题，第682题，第856题，第880题。
- **单调栈**：利用栈维护一个单调递增或递减的下标数组。第84题，第456题，第496题，第503题，第739题，第901题，第907题，第1019题。

## 具体题目解析
### 第20题：有效的括号
- **语言**：Go
- **难度**：简单
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第42题：接雨水
- **语言**：Go
- **难度**：困难
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第71题：简化路径
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第84题：柱状图中最大的矩形
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第94题：二叉树的中序遍历
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第103题：二叉树的锯齿形层次遍历
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第144题：二叉树的前序遍历
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第145题：二叉树的后序遍历
- **语言**：Go
- **难度**：困难
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第150题：逆波兰表达式求值
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第155题：最小栈
- **语言**：Go
- **难度**：简单
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第173题：二叉搜索树迭代器
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第224题：基本计算器
- **语言**：Go
- **难度**：困难
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第225题：使用队列实现栈
- **语言**：Go
- **难度**：简单
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第232题：使用栈实现队列
- **语言**：Go
- **难度**：简单
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第331题：验证二叉树的前序序列化
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
