9.7 恶意软件
9.7.1 特洛伊木马
9.7.2 病毒
9.7.3 蠕虫
9.7.4 间谍软件
9.7.5 rootkit
9.8 防御
9.8.1 防火墙
9.8.2 反病毒和抑制反病毒技术
9.8.3 代码签名
9.8.4 囚禁
9.8.5 基于模型的入侵检测
9.8.6 封装移动代码
9.8.7 Java安全性
9.9 有关安全性研究
9.10 小结
习题
第10章 实例研究1：Linux
10.1 UNIX与Linux的历史
10.1.1 UNICS
10.1.2 PDP-11 UNIX
10.1.3 可移植的UNIX
10.1.4 Berkeley UNIX
10.1.5 标准UNIX
10.1.6 MINIX
10.1.7 Linux
10.2 Linux概述
10.2.1 Linux的设计目标
10.2.2 到Linux的接口
10.2.3 shell
10.2.4 Linux应用程序
10.2.5 内核结构
10.3 Linux中的进程
10.3.1 基本概念
10.3.2 Linux中进程管理相关的系统调用
10.3.3 Linux中进程与线程的实现
10.3.4 Linux中的调度
10.3.5 启动Linux系统
10.4 Linux中的内存管理
10.4.1 基本概念
10.4.2 Linux中的内存管理系统调用
