## ❓ Questions and Help
hi  
I am new at pytorch
i try to install pytorch with ROCm and step by step following https://rocm-
documentation.readthedocs.io/en/latest/Deep_learning/Deep-
learning.html#building-pytorch-for-rocm
output of "PYTORCH_TEST_WITH_ROCM=1 python test/run_test.py --verbose" should
all correct ,but i got some error like this
    Test executor: ['/usr/bin/python']
    Excluding cpp_extensions on ROCm
    Excluding distributed on ROCm
    Excluding multiprocessing on ROCm
    Excluding multiprocessing_spawn on ROCm
    Selected tests: autograd, c10d, c10d_spawn, cuda, cuda_primary_ctx, dataloader, distributions, docs_coverage, expecttest, fake_quant, indexing, jit, logging, mkldnn, nccl, nn, numba_integration, optim, qat, quantization, quantized, quantized_tensor, quantized_nn_mods, quantizer, sparse, torch, type_info, type_hints, utils, namedtuple_return_api, jit_fuser, tensorboard, namedtensor, type_promotion, jit_disabled, function_schema
    Running test_autograd ... [2019-10-28 03:37:35.924929]
    test___getitem__ (__main__.TestAutograd) ... ok
    test___getitem___adv_index (__main__.TestAutograd) ... ok
    test___getitem___adv_index_beg (__main__.TestAutograd) ... ok
    test___getitem___adv_index_comb (__main__.TestAutograd) ... ok
    test___getitem___adv_index_dup (__main__.TestAutograd) ... ok
    test___getitem___adv_index_end (__main__.TestAutograd) ... ok
    test___getitem___adv_index_mid (__main__.TestAutograd) ... ok
    test___getitem___adv_index_sub (__main__.TestAutograd) ... ok
    test___getitem___adv_index_sub_2 (__main__.TestAutograd) ... ok
    test___getitem___adv_index_sub_3 (__main__.TestAutograd) ... ok
    test___getitem___adv_index_var (__main__.TestAutograd) ... ok
    test___getitem___slice (__main__.TestAutograd) ... ok
    test___getitem___slice_index (__main__.TestAutograd) ... ok
    test___radd___constant (__main__.TestAutograd) ... ok
    test___radd___scalar_constant (__main__.TestAutograd) ... ok
    test___rdiv___constant (__main__.TestAutograd) ... ok
    test___rdiv___scalar_constant (__main__.TestAutograd) ... ok
    test___rmul___constant (__main__.TestAutograd) ... ok
    test___rmul___scalar_constant (__main__.TestAutograd) ... ok
    test___rpow___constant (__main__.TestAutograd) ... ok
    test___rpow___scalar_constant (__main__.TestAutograd) ... ok
    test___rsub___constant (__main__.TestAutograd) ... ok
    test___rsub___scalar_constant (__main__.TestAutograd) ... ok
    test_abs (__main__.TestAutograd) ... ok
    test_abs_scalar (__main__.TestAutograd) ... ok
    test_accumulate_grad (__main__.TestAutograd) ... ok
    test_accumulate_grad_tensor_reference (__main__.TestAutograd) ... ok
    test_acos (__main__.TestAutograd) ... ok
    test_add (__main__.TestAutograd) ... ok
    test_add_broadcast_all (__main__.TestAutograd) ... ok
    test_add_broadcast_lhs (__main__.TestAutograd) ... ok
    test_add_broadcast_rhs (__main__.TestAutograd) ... ok
    test_add_constant (__main__.TestAutograd) ... ok
    test_add_scalar (__main__.TestAutograd) ... ok
    test_add_scalar_broadcast_lhs (__main__.TestAutograd) ... ok
    test_add_scalar_broadcast_rhs (__main__.TestAutograd) ... ok
    test_add_scalar_constant (__main__.TestAutograd) ... ok
    test_addbmm (__main__.TestAutograd) ... ok
    test_addbmm_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addbmm_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_addbmm_coef (__main__.TestAutograd) ... ok
    test_addbmm_scalar_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addbmm_scalar_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_addcdiv (__main__.TestAutograd) ... ok
    test_addcdiv_broadcast_all (__main__.TestAutograd) ... ok
    test_addcdiv_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addcdiv_scalar (__main__.TestAutograd) ... ok
    test_addcdiv_scalar_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addcdiv_scalar_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addcdiv_scalar_scale (__main__.TestAutograd) ... ok
