### 从软件开发角度解密OWASP TOP 10

#### 应用安全与安全的开发
- **OWASP TOP 10浅析**
- **安全开发演化**
- **安全开发现状**
- **企业所面临的安全挑战**
- **S-SDLC落地实现**
- **研发视角解决OWASP TOP 10**

#### 日程
1. OWASP TOP 10概述
2. 安全开发演化
3. 安全开发现状
4. 企业面临的安全挑战
5. S-SDLC落地实现
6. 研发视角解决OWASP TOP 10

### OWASP TOP 10攻击思路
- **SQL注入**  
  示例：`SELECT id, uname, passwd FROM users WHERE uname= '$un$' AND passwd='$pw$'`
- **跨站脚本 (XSS)**
- **业务逻辑漏洞**
- **第三方插件安全**

### 安全与我有关系吗？
- **功能与安全的距离**
- **安全漏洞在哪里？**
- **安全离我有多远？**

### 安全开发现状
- **修复缺陷的相对成本**  
  - 设计阶段：1
  - 实现阶段：6.5
  - 确认阶段：15
  - 运维阶段：100  
  （数据来源：IBM System Science Institute）

### 企业面临的安全挑战
- **研发团队**  
  大多数安全问题源于代码编写，需要制定并遵守各种规范：
  - Java安全开发规范
  - C/C++安全开发规范
  - Struts安全开发规范
  - Spring安全开发规范
  - Web安全开发规范
  - 桌面软件安全开发规范
  - 服务器端软件安全开发规范
  - 敏感信息保护策略
  - 加密算法安全使用指南

- **安全团队**  
  - 高层领导要求全面的安全现状评估报告。
  - CTO和CSO之间的沟通和协作问题。

- **CSO/CTO/高层**  
  - 如何获取准确的安全数据？
  - 安全团队在全程跟踪安全事务中的角色。

- **开发流程**  
  - 安全需求识别与导出
  - 安全设计融入
  - 安全测试与渗透测试
  - 安全部署与运维

- **工具的利与弊**  
  - AST技术比较：
    - IAST（VulHunter）
    - SAST
    - DAST

### S-SDLC落地实现
- **初识S-SDLC**
  - 安全开发过程
  - 基于安全功能的单元测试
  - 安全测试与渗透测试
  - 部署与运维

- **S-SDLC流程关键要素**
  - 人员组织与角色责任
  - 安全活动与安全要求
  - 输入输出与开发支持
  - 测试工具与管理工具

- **实践建议**
  1. 自上而下推行S-SDLC实施，并建立相应的组织结构。
  2. 结合企业的质量管理体系。
  3. 建立合适的人员培训体系。
  4. 通过度量体系将S-SDLC实施效果可视化。
  5. 根据产品的安全目标调整S-SDLC的过程。
  6. 使用威胁模型避免大的设计风险。
  7. 安全特性组件化以减少编码漏洞。
  8. 管理第三方软件的风险。
  9. 安全服务化和自动化是实施DevSecOps的基础。
  10. 构建S-SDLC工具链。

### 思考-S-SDLC支撑平台
- **专业性极强的平台技术支撑团队**
- **知识积累和资源管理平台**
- **项目团队安全培训**
- **需求安全评估**
- **安全设计（TMT）**
- **安全实现（IAST）**
- **安全部署（安全配置）**
- **安全运维（RASP）**

### 报告中心
- 需求安全分析报告
- 安全威胁分析报告
- 自动、人工代码审核报告
- 渗透、安全测试及确认报告
- 安全部署报告
- 安全运维报告

### S-SDLC云平台容器服务
- 持续集成
- 报告中心
- 安全领域全栈专家
- 威胁分析专家
- 安全实现技术解决方案专家
- 渗透、安全测试及确认专家
- 安全配置专家
- 安全运维专家

### 思考-工具
- CWASP CSSP？
- CWASP CSSD？
- CISP？
- CISSP？

### 思考-培训
- 谢谢

通过以上内容，我们希望为读者提供一个全面且清晰的框架，帮助他们在软件开发过程中更好地理解和应对OWASP TOP 10相关的安全挑战。
