### 5. 数据和约束条件

以下是数据和约束条件的详细说明：

- **线路阻抗**：
  - 5.67
  - 5.75
  - 5.85
  - 23.75
  - 4.78
  - 1.80
  - 3.97
  - 5.03
  - 3.91
  - 7.68
  - 5.68
  - 9.09
  - 11.83
  - 3.70
  - 5.21
  - 5.00
  - 2.87

- **攻击状态**：
  - 1
  - 1
  - 0 a
  - 1
  - 1
  - 1
  - 0
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 0 b
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 0
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - 1
  - Topology Information Secured
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - Can Alter?
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0
  - 0

- **注释**：
  - a: 攻击者不知道该线路的阻抗。
  - b: 该线路在拓扑结构中不是固定的（即，它不是核心拓扑的一部分）。

### 6. 状态变化约束

如果攻击者希望攻击特定状态，并且这些状态需要有不同的变化量，则可以使用以下逻辑表达式进行描述。例如，如果攻击者希望攻击状态1、4和6，则可以表示为：

\[ c_x1 \land c_x4 \land c_x6 \]

如果攻击者要求状态1和状态4必须有不同的变化量，则可以表示为：

\[ (\theta_1 \neq \theta_4) \land \ldots \]

### 7. 拓扑结构分割攻击

如果攻击者能够形成一个切割，将电网分成两个不相连的部分 [11]，则可以在其中一个部分的所有母线上发起UFDI攻击。这种情况下，所有被攻击的母线的状态变化是相同的（即，相角）。如果一个母线的状态变化与相邻母线相同，则相对状态没有变化，攻击的影响可能不显著。因此，我们还考虑了约束条件，指定状态变化是否需要不同。

### 8. IEEE 14-Bus测试系统示例

图1展示了IEEE 14-Bus测试系统的示意图。红色圆圈表示母线编号，绿色方块表示传输线路编号，蓝色圆角方块表示测量编号。

### 9. 实现

我们将系统配置和约束条件编码到SMT [8] 中，并使用Z3 .Net API [12] 编写程序来实现我们的虚假数据注入模型。我们主要使用布尔值（用于逻辑约束）和实数（用于功率流或消耗与状态之间的关系）进行编码。系统配置和约束条件通过文本文件（输入文件）提供。通过执行模型（在Z3中），我们可以获得验证结果，即满足（sat）或不满足（unsat）。如果结果是unsat，意味着没有攻击向量满足约束条件；如果是sat，则可以从变量分配中获取攻击向量，如cz和cbis，这些变量表示需要改变的测量值。

### 10. 测试案例

我们以IEEE 14-Bus测试系统为例进行分析（见图1）。表II部分展示了线路信息，包括每条线路的编号、端点母线、线路导纳值、攻击者是否知道导纳值，以及关于电网拓扑的三个数据（即，该线路是否包含在实际拓扑中，其存在是否固定在拓扑中，以及相关拓扑信息是否安全）。在这个例子中，线路3、7和17的导纳值未知。所有20条线路都包含在真实拓扑中，但线路5和13不是核心拓扑的一部分（即，这些线路可以在必要时断开）。

表III部分展示了测量信息。由于该系统有14个母线和20条线路，潜在的最大测量数量为 (14 + 2×20) 或 54。表III的每一行包括：(i) 测量是否用于状态估计（除了测量5、10、14、19、22、27、30、35、43和52外，所有潜在测量均被记录），(ii) 测量是否安全（测量1、2、6、15、25、32和41是安全的），(iii) 攻击者是否有能力改变测量值。

#### 攻击目标1

假设攻击者的目的是攻击状态9和10，但要求它们的变化量不同。由于资源限制，他一次最多只能改变16个测量值，并且这些测量值不能分布在超过7个子站（即母线）上。执行模型后返回sat，并提供了变量分配。从分配中，我们发现选择用于攻击状态9和10的测量值为8、9、16、18、20、28、29、36、38、40、44、47、50、51、53和54。这些测量值分布在母线4、7、9、10、11、13和14上。如果攻击者的资源更有限（例如，只有15个测量值和/或6个母线），则返回unsat。但如果状态9和10的变化量可以相同，则存在解决方案。在这种情况下，用于虚假数据注入的测量值为8、9、11、13、28、29、31、33、39、44、46、47、49、51和53，对应的母线为4、6、7、9、11和13。在这两种情况下，除了状态9和10之外，还需要破坏其他一些状态。

#### 攻击目标2

假设攻击者的目的是仅攻击状态12，而不影响其他状态。执行相应模型后显示，需要改变的测量值为12、32、39、46和53。如果测量值46被认为是安全的，则没有攻击向量是可能的。现在假设攻击者有能力改变拓扑信息。在这种情况下，我们有一个解决方案，其中通过向拓扑信息中注入虚假数据来排除线路13。在这种情况下，用于虚假数据注入的测量值为12、13、32、33、39和53，这包括状态变化和拓扑变化所需的必要更改。

### 11. 状态估计保护的安全架构合成

在上一节中，我们描述了在给定约束条件下找出潜在UFDI攻击的模型。所提出的验证模型允许电网运营商根据预期的攻击规模（以不同的攻击属性表示）了解对状态估计的潜在威胁，并采取必要的安全措施。然而，我们需要一种自动化的解决方案来找到这样的安全架构。本节介绍了一种自动化机制，用于合成安全架构。

#### 背景

尽管[6]和[7]中的作者表明，如果战略性地选择一组测量值进行保护，可以防御UFDI攻击，但他们只考虑了一个特定的攻击模型，其中攻击者具有完美的知识并且不受能力限制。基于这种最坏情况下的攻击模型，需要保护的测量值集合可能会超出电网运营商的资源（预算）。因此，需要一种安全设计，能够在电网运营商有限的能力内提供安全性，同时保持电力系统状态估计的安全性。

我们的解决方案利用验证模型来找到安全架构。安全架构通常包括需要保护的测量值列表。由于保护分布在许多子站中的大量测量值成本较高，我们主要关注子站（即母线）特定的安全架构。此外，保护一个母线通常意味着保护该母线上的所有测量值。可以通过在母线上部署PMU（对于大型母线可以部署多个）并采取必要的安全措施来保护母线[14]。通过安全措施，我们主要考虑测量值的数据完整性保护。由于PMU可以提供母线的电压相量和所有连接到该母线的分支的电流相量，如果PMU是安全的，则所有这些测量值都变得安全。在单元级别，现有的PMU供应商已经提供了安全性[15]。虽然我们提出了一种机制来找到作为一组要保护的母线的安全架构，但类似的机制也可以用于仅针对测量值合成安全架构。

#### 合成设计

图2展示了抵抗状态估计攻击的安全架构合成机制的流程图。
