### 术语表

#### 加密 (Encryption)
- **定义**: 加密技术是一种艺术和科学，旨在对无意的接收者隐藏通信数据的含义或意图。

#### 终端安全 (Endpoint Security)
- **定义**: 终端安全是指每个单独设备必须维护本地安全，不论其网络或通信通道是否提供安全保障。这种概念有时被表述为“末端设备应对自己的安全负责”。

#### 端到端加密 (End-to-End Encryption)
- **定义**: 端到端加密是一种保护客户端与服务器之间通信安全的算法，可独立于链路加密技术实施。例如，隐私增强邮件（PEM）传递邮件时使用此技术，可以防止加密链路的安全端或通过未加密链路传输的数据被入侵者监控。

#### 注册 (Enrollment)
- **定义**: 在系统中建立新的用户、身份或认证因素的过程。安全注册需要个人身份或认证因素的实际证明。通常情况下，如果注册过程超过两分钟，则该身份标识或授权机制（特别是生物识别设备）可能不被认可。

#### 企业扩展模式 (Enterprise Extended Mode)
- **定义**: 通过使用多个无线接入点来支持比单个无线接入点覆盖更大地理区域的单个无线网络。

#### 实体 (Entity)
- **定义**: 指主体或客体。

#### 可擦除PROM (Erasable PROM, EPROM)
- **定义**: 这种芯片上有一个小窗口，当用紫外线照射时，可以擦除芯片上的内容。擦除后，终端用户可以将新信息烧入EPROM内。

#### 擦除 (Erasing)
- **定义**: 对文件、选定的几个文件或整个介质中的文件执行删除操作。大多数情况下，删除或擦除过程只是删除了链接数据的目录或分类链接，但数据实际上仍保留在磁盘上。

#### 权限提升 (Escalation of Privilege)
- **定义**: 攻击者或利用手段将其访问权限从普通用户账户扩展到管理员特权的行为。

#### 托管加密标准 (Escrowed Encryption Standard)
- **定义**: 美国政府试图为所有加密解决方案创建后门的失败尝试。该方案使用了Clipper芯片，该芯片采用了Skipjack算法。

#### 间谍活动 (Espionage)
- **定义**: 恶意收集有关组织专有、秘密、隐私、敏感或机密信息的行为。这些信息通常出于揭露目的，并可能出售给竞争对手或其他感兴趣的组织（如外国政府）。

#### 以太网 (Ethernet)
- **定义**: 一种常见的共享介质局域网（LAN）技术。

#### 道德黑客 (Ethical Hackers)
- **定义**: 经过培训的专业人员，负责网络安全方法，主要目的是进行非破坏性和非侵入性测试。道德黑客代表安全系统的所有者攻击系统，以确定并记录系统的脆弱性，以便在恶意黑客利用这些脆弱性之前进行补救。他们使用与普通黑客相同的方法，但会报告发现的问题而不是牟取私利。

#### 道德规范 (Ethics)
- **定义**: 管理个人行为的规则。一些组织已经认识到需要制定标准的道德规范或准则，并设计了指导方针。这些准则不是法律，而是专业人士行为的最低标准，应为其提供可靠的、专业的道德判断基础。

#### 证据 (Evidence)
