### 问题描述

我运行了一个小型的物理网络（包含1个域控制器和2个服务器），所有服务器都运行Windows Server 2019，并启用了远程桌面许可。今天我发现无法登录到域控制器。

尽管RDP连接是允许的（并且会提示密码是否错误），但在连接到服务器后，我看到锁屏界面，标题为“其他用户”，并显示消息“用户名或密码不正确，请重试”。

使用KVM访问时也遇到了同样的问题，但我们已经有几个月没有更改过密码了。这种情况是否有已知的问题？通常我使用管理员账户登录，因此无法通过其他途径进入系统，而且我还需要添加更多用户。

我是否可以通过简单地重启服务器来解决这个问题？我的团队每天都会从印度登录到网络中的其他服务器，因此我不希望失去所有域控制器的服务。

感谢您提供的任何帮助。

### 建议解决方案

这可能是与您的域相关的问题。您可以尝试将该机器从域中分离，然后再重新加入域，看看是否能够正常登录。以下是具体步骤：

1. **断开与域的连接**：
   - 在服务器上以本地管理员身份登录。
   - 打开“系统属性”（右键点击“此电脑”选择“属性”，然后点击“高级系统设置”）。
   - 在“计算机名”选项卡中，点击“更改”按钮。
   - 在“成员资格”部分，选择“工作组”，输入一个工作组名称（例如：WORKGROUP），然后点击“确定”。
   - 系统会提示您重新启动计算机，选择“立即重新启动”。

2. **重新加入域**：
   - 重启后，再次打开“系统属性”。
   - 在“计算机名”选项卡中，点击“更改”按钮。
   - 在“成员资格”部分，选择“域”，输入您的域名，然后点击“确定”。
   - 输入具有足够权限的域管理员凭据，以完成加入过程。
   - 再次重启计算机。

请确保在执行这些操作之前备份重要数据，并且在进行更改时尽量减少对其他用户的干扰。如果问题仍然存在，建议检查域控制器的日志文件，以获取更多详细的错误信息。
