# G0095: Machete

## Description
Machete (G0095) is a threat actor that has been active since at least 2010, primarily targeting high-profile government entities in Latin American countries. (Citation: Cylance Machete Mar 2017) (Citation: Securelist Machete Aug 2014) (Citation: ESET Machete July 2019)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, Windows, macOS | Execution | [User Execution](https://attack.mitre.org/techniques/T1204/) | Machete (G0095) relies on users opening malicious links or attachments delivered via spearphishing to execute malware. | Anti-virus, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows | Command and Control | [Standard Cryptographic Protocol](https://attack.mitre.org/techniques/T1032/) | Machete (G0095) uses TLS-encrypted FTP to transfer data out of target environments. | Packet capture, Netflow/Enclave netflow, Malware reverse engineering, Process use of network, Process monitoring, SSL/TLS inspection |
| Linux, macOS, Windows | Collection | [Data from Removable Media](https://attack.mitre.org/techniques/T1025/) | Machete (G0095) includes a module in its malware to find, encrypt, and upload files from fixed and removable drives. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure | Collection | [Data Staged](https://attack.mitre.org/techniques/T1074/) | Machete (G0095) creates custom directories to store files for exfiltration. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Persistence | [Registry Run Keys / Startup Folder](https://attack.mitre.org/techniques/T1060/) | Machete (G0095) uses the startup folder for persistence. | Windows Registry, File monitoring |
| Windows | Execution, Persistence, Privilege Escalation | [Scheduled Task](https://attack.mitre.org/techniques/T1053/) | Machete (G0095) leverages scheduled tasks for persistence. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Command and Control | [Standard Application Layer Protocol](https://attack.mitre.org/techniques/T1071/) | Machete (G0095) malware uses FTP and Python’s urllib library to make HTTP requests to the C2 server. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Linux, macOS, Windows | Defense Evasion | [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027/) | Machete (G0095) employs visual obfuscation techniques by naming variables as combinations of letters to hinder analysis. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |
| Linux, macOS, Windows | Command and Control | [Commonly Used Port](https://attack.mitre.org/techniques/T1043/) | Machete (G0095) uses TCP port 21 for C2. | Packet capture, Netflow/Enclave netflow, Process use of network, Process monitoring |
| Linux, macOS, Windows | Defense Evasion, Execution | [Scripting](https://attack.mitre.org/techniques/T1064/) | Machete (G0095) uses multiple compiled Python scripts on the victim’s system. | Process monitoring, File monitoring, Process command-line parameters |
| Windows, macOS, Linux, Office 365, SaaS | Initial Access | [Spearphishing Link](https://attack.mitre.org/techniques/T1192/) | Machete (G0095) sends phishing emails containing a link to an external server with ZIP and RAR archives. | Packet capture, Web proxy, Email gateway, Detonation chamber, SSL/TLS inspection, DNS records, Mail server |
| Windows, macOS, Linux | Initial Access | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | Machete (G0095) delivers spearphishing emails with zipped files containing malicious content. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |

This revised version aims to improve clarity, coherence, and professionalism while maintaining the essential information.
