# 从BSRC看互联网企业安全漏洞及威胁趋势

## 百度安全应急响应中心 (Baidu Security Response Center, BSRC)

### 目录
- 互联网企业漏洞分布
- 漏洞趋势
- 趋势分析
- 未来的关注点

## 互联网企业漏洞分布
根据百度安全应急响应中心的数据，互联网企业的主要漏洞类型及其占比如下：
- 安全设计缺陷（逻辑漏洞）：20%
- XSS攻击：18%
- 信息泄露：12%
- 越权访问：25%
- 其他：25%

### 逻辑漏洞（业务强相关性漏洞）
- 主要针对业务而非资产的安全威胁。
- 通常源于产品在设计或实现阶段未充分考虑的问题。
- 例如：账户操作、支付逻辑等。

### 越权（未授权访问）
- 包括水平和垂直权限跨越。
- 涉及接口和页面的未经授权访问。
- 可能导致信息泄露等问题。

### 信息泄露
- 云存储：如AWS S3
- 代码托管：如GitHub
- 文档：如博客

## 漏洞趋势
- 传统高危漏洞虽然占比小但仍然存在。
- 难以通过自动化手段发现的新型威胁逐渐显现。

### 技术因素
- 传统漏洞的自动化检测技术已较为成熟。
- 开源、商业以及自研产品的成本较低。
- 现代Web开发框架的安全性有所提升。
- 开发者对安全问题的认识与重视程度提高。

### 黑产活动
- 薅羊毛：利用各类营销活动获取不当利益。
- 虚假刷量刷单：通过作弊方式欺骗平台以获得收益。
- 用户隐私窃取：用于诈骗活动。
- 流量劫持：运营商通过劫持流量投放广告或捆绑恶意软件。
- 诈骗行为：直接骗取用户钱财或账户信息。

## 挖掘漏洞的方法
- **自动化**：能够覆盖更广泛的路径和范围。
- **深入业务**：专注于边缘业务领域并深入挖掘业务逻辑。
- **新思路**：采用创新的技术手段。
- 需要持续的时间投入以确保效果。

## 互联网企业关注重点
- 资产保护
- 法规遵从
- 数据隐私（如SQL注入风险评估）
- 品牌声誉维护

## 未来关注点
- API安全性
- 业务逻辑漏洞
- 黑产情报收集
- 新基础环境下的安全挑战（容器化、云化）

### API安全
- 存在泄露用户隐私或执行敏感操作的风险。
- 上下游系统可能滥用API接口。
- 缺乏有效维护导致的安全隐患。

### 业务逻辑漏洞
- 结合具体业务特征进行内容建模识别。

### 黑产情报
- 通常只能基于用户反馈获取现象级线索。
- 获取高质量且可靠的情报难度较大。

### 容器化
- 使用Docker、Kubernetes等技术。
- 关注漏洞定位与安全隔离措施。
- 安全能力可能存在滞后现象。

### 云化
- 不再依赖自有数据中心。
- 需要依靠外部提供的安全服务。
- 原有安全设施需迁移并适应新的环境。
- 系统边界变得更加模糊，增加了安全管理复杂度。

---

感谢您的阅读。如果您有任何疑问或需要进一步的信息，请联系百度安全应急响应中心。
