 DUPIP,"IP address [STRING] conflicted with   global or imported IP address, sourced from [STRING].",$1：IP 地址   $2：MAC 地址,6,"ARP/6/DUPIP: IP address 30.1.1.1   conflicted with global or imported IP address, sourced from 0000-0000-0001.",收到ARP报文中的发送端IP地址与全局或导入的IP地址冲突,修改IP地址配置
 DUPVRRPIP,"IP address [STRING] conflicted with VRRP   virtual IP address on interface [STRING], sourced from [STRING].",$1：IP 地址   $2：接口名称   $3：MAC 地址,6,"ARP/6/DUPVRRPIP: IP address 1.1.1.1 conflicted   with VRRP virtual IP address on interface GigabitEthernet1/0/1, sourced from   0015-E944-A947.",收到ARP报文中的发送端IP与VRRP虚拟IP地址冲突,修改IP地址配置
 ATK_ICMP_ADDRMASK_REQ,IcmpType(1058)=[UINT32]; RcvIfName(1023)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING];   EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：ICMP类型   $2：入接口名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,5,ATK/5/ATK_ICMP_ADDRMASK_REQ: IcmpType(1058)=17;   RcvIfName(1023)=Ethernet0/0/2; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--;   DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--; Action(1049)=logging; BeginTime_c(1011)=20131011091319;   EndTime_c(1012)=20131011091819; AtkTimes(1050)=2.,日志聚合开关开启，ICMP地址掩码请求报文数超过1，聚合后触发日志,无
 ATK_ICMP_ADDRMASK_REQ_RAW,IcmpType(1058)=[UINT32]; RcvIfName(1023)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING].,$1：ICMP类型   $2：入接口名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型,5,ATK/5/ATK_ICMP_ADDRMASK_REQ_RAW: IcmpType(1058)=17;   RcvIfName(1023)=Ethernet0/0/2; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--;   DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，ICMP地址掩码请求报文首包触发日志；日志聚合开关关闭，每个ICMP地址掩码请求报文触发一个日志,无
 ATK_ICMP_ADDRMASK_REQ_RAW_SZ,IcmpType(1058)=[UINT32]; SrcZoneName(1025)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING].,$1：ICMP类型   $2：入域名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型,5,ATK/5/ATK_ICMP_ADDRMASK_REQ_RAW_SZ: IcmpType(1058)=17;   SrcZoneName(1025)=Trust; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，ICMP地址掩码请求报文首包触发日志；日志聚合开关关闭，每个ICMP地址掩码请求报文触发一个日志,无
 ATK_ICMP_ADDRMASK_REQ_SZ,IcmpType(1058)=[UINT32]; SrcZoneName(1025)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING];   EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：ICMP类型   $2：入域名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,5,ATK/5/ATK_ICMP_ADDRMASK_REQ_SZ: IcmpType(1058)=17;   SrcZoneName(1025)=Trust; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging; BeginTime_c(1011)=20131011091319;   EndTime_c(1012)=20131011091819; AtkTimes(1050)=2.,日志聚合开关开启，ICMP地址掩码请求报文数超过1，聚合后触发日志,无
 ATK_ICMP_ADDRMASK_RPL,IcmpType(1058)=[UINT32]; RcvIfName(1023)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING];   EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：ICMP类型   $2：入接口名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,5,ATK/5/ATK_ICMP_ADDRMASK_RPL: IcmpType(1058)=18;   RcvIfName(1023)=Ethernet0/0/2; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--;   DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--; Action(1049)=logging; BeginTime_c(1011)=20131011091319;   EndTime_c(1012)=20131011091819; AtkTimes(1050)=2.,日志聚合开关开启，ICMP地址掩码应答报文数超过1，聚合后触发日志,无
 ATK_ICMP_ADDRMASK_RPL_RAW,IcmpType(1058)=[UINT32]; RcvIfName(1023)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING].,$1：ICMP类型   $2：入接口名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型,5,ATK/5/ATK_ICMP_ADDRMASK_RPL_RAW: IcmpType(1058)=18;   RcvIfName(1023)=Ethernet0/0/2; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--;   DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，ICMP地址掩码应答报文首包触发日志；日志聚合开关关闭，每个ICMP地址掩码应答报文触发一个日志,无
 ATK_ICMP_ADDRMASK_RPL_RAW_SZ,IcmpType(1058)=[UINT32]; SrcZoneName(1025)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING].,$1：ICMP类型   $2：入域名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型,5,ATK/5/ATK_ICMP_ADDRMASK_RPL_RAW_SZ: IcmpType(1058)=18;   SrcZoneName(1025)=Trust; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，ICMP地址掩码应答报文首包触发日志；日志聚合开关关闭，每个ICMP地址掩码应答报文触发一个日志,无
 ATK_ICMP_ADDRMASK_RPL_SZ,IcmpType(1058)=[UINT32]; SrcZoneName(1025)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING];   EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：ICMP类型   $2：入域名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,5,ATK/5/ATK_ICMP_ADDRMASK_RPL_SZ: IcmpType(1058)=18;   SrcZoneName(1025)=Trust; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging; BeginTime_c(1011)=20131011091319;   EndTime_c(1012)=20131011091819; AtkTimes(1050)=2.,日志聚合开关开启，ICMP地址掩码应答报文数超过1，聚合后触发日志,无
 ATK_ICMP_ECHO_REQ,IcmpType(1058)=[UINT32]; RcvIfName(1023)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING];   EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：ICMP类型   $2：入接口名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：VPN名称   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,5,ATK/5/ATK_ICMP_ECHO_REQ: IcmpType(1058)=8;   RcvIfName(1023)=Ethernet0/0/2; SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--;   DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--; Action(1049)=logging; BeginTime_c(1011)=20131011091319;   EndTime_c(1012)=20131011091819; AtkTimes(1050)=2.,日志聚合开关开启，ICMP请求回显报文数超过1，聚合后触发日志,无
 ATK_ICMP_ECHO_REQ_RAW,IcmpType(1058)=[UINT32]; RcvIfName(1023)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   DstPort(1004)=[UINT16]; RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING].,$1：ICMP类型   $2：入接口名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：目的端口   $7：VPN名称   $8：动作类型,5,ATK/5/ATK_ICMP_ECHO_REQ_RAW: IcmpType(1058)=8;   RcvIfName(1023)=Ethernet0/0/2; SrcIPAddr(1003)=9.1.1.1; DstPort(1004)=22; DSLiteTunnelPeer(1040)=--;   DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，ICMP请求回显报文首包触发日志；日志聚合开关关闭，每个ICMP请求回显报文触发一个日志,无
 ATK_ICMP_ECHO_REQ_RAW_SZ,IcmpType(1058)=[UINT32]; SrcZoneName(1025)=[STRING];   SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR];   DstPort(1004)=[UINT16]; RcvVPNInstance(1041)=[STRING]; Action(1049)=[STRING].,$1：ICMP类型   $2：入域名称   $3：源IP地址   $4：DS-Lite Tunnel对端地址   $5：目的IP地址   $6：目的端口   $7：VPN名称   $8：动作类型,5,ATK/5/ATK_ICMP_ECHO_REQ_RAW_SZ: IcmpType(1058)=8;   SrcZoneName(1025)=Trust; SrcIPAddr(1003)=9.1.1.1; DstPort(1004)=22; DSLiteTunnelPeer(1040)=--;   DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，ICMP请求回显报文首包触发日志；日志聚合开关关闭，每个ICMP请求回显报文触发一个日志,无
