### 阅读排行榜
以下是阅读数超过 5000 的文章：
| 排名 | 阅读 | 好看 | 评论 | 打赏 | 转载 | 发送时间 | 标题 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | 16198 | 59 | 24 | 0 | 11 | 2018-01-25 | [与 C 语言长别离](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610329&idx=1&sn=a5b91260149be20fa5603e9fb25eeac9&chksm=bdce815f8ab90849ba5b9adb10639d42df5a6bd683f793198162c05113fbd2464e44c8eecdd9#rd) |
| 2 | 14926 | 100 | 21 | 0 | 0 | 2018-09-18 | [Linus Torvalds 宣布无限期休假，开始自我反省……](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612072&idx=1&sn=259d825fd5fe21a6f1dca8c4318b50db&chksm=bdcefbae8ab972b8252dfc9437ff2c9565b064d2aeee74a39faf959aaecd188f2f6dfa808c07#rd) |
| 3 | 12412 | 51 | 20 | 0 | 9 | 2018-04-30 | [假装很忙的三个命令行工具](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611004&idx=1&sn=565c0edf2637c2f074446e1bbe541e39&chksm=bdce87fa8ab90eec7f7af4a7d27f48c48521504d95ba5f3743e816655a8fb262e53414f76112#rd) |
| 4 | 10448 | 29 | 37 | 0 | 3 | 2018-08-30 | [逃离 Google，重获自由（与君共勉）](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611934&idx=1&sn=41baeb96767f7471cc3ec9da00f68b6b&chksm=bdcefb188ab9720e3f5af1a5fe22ce899b58e02aaf33f8d5211a8d2dff85e2970a4acd6937b1#rd) |
| 5 | 10374 | 39 | 16 | 2 | 3 | 2018-02-19 | [2018 年度最佳 Linux 笔记本电脑：来自一位 RHCE 的选购指南](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610501&idx=1&sn=7d79747ae3b7dd131b49ae1c5121e8c3&chksm=bdce81838ab908953017238f6034f49a9fb87f74c08b518bb41e993b1c833f0f494400b4e613#rd) |
| 6 | 9808 | 42 | 9 | 0 | 3 | 2018-01-06 | [绝不要用的 Linux 命令！](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610184&idx=1&sn=c79e506cfb9b04aaa48ef702557b7b0f&chksm=bdce82ce8ab90bd8d178cb05cee299378e3c26f51eb9cfb6cf4666fbcc8cdb8514522aee78d9#rd) |
| 7 | 9660 | 40 | 7 | 0 | 1 | 2018-11-07 | [对 C++ 的忧虑？C++ 创始人警告：关于 C++ 的某些未来计划十分危险](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612515&idx=1&sn=889e6cbdc84415021a30a79a6a065a8d&chksm=bdcef9e58ab970f36c223938c257159ebe1cf56739fadfeb1b5106fe8a6f9d99ea6120337230#rd) |
| 8 | 9516 | 19 | 54 | 0 | 6 | 2018-10-24 | [2018 年最好的 Linux 发行版](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612384&idx=1&sn=9d1c93d8d86b81906914d6c0f878866d&chksm=bdcef9668ab9707001cd27e6448d7376baf90a2a07a567c69b9b9ad2230495a844704c1f7a68#rd) |
| 9 | 9421 | 42 | 10 | 0 | 5 | 2018-07-20 | [macOS 和 Linux 的内核有什么区别](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611660&idx=1&sn=86bb29c52c7dcd71cb4ca79ae8cac5d6&chksm=bdce840a8ab90d1cd4f1b3b9bf91e156e0ed4e24415c0f4824dfd09d37149b988a20d91360fd#rd) |
| 10 | 9260 | 72 | 12 | 0 | 3 | 2018-02-24 | [Kali Linux 是什么，你需要它吗？](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610533&idx=1&sn=eb3341db3e246c5f45e1b41a36a8ecab&chksm=bdce81a38ab908b50822b6cb7bbfc49aa1bad7f09fb297331ac69263ef3f3642881176666f22#rd) |
| 11 | 8751 | 42 | 8 | 0 | 6 | 2018-02-02 | [当 CPU 空闲时它都在做什么？](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610380&idx=1&sn=87679f2f5bb5f7130211d008776dafe1&chksm=bdce810a8ab9081cd38114b03299438f61fab169c8344e450b237775cf5e0ec62bdc3ec3a380#rd) |
| 12 | 8608 | 60 | 8 | 0 | 1 | 2018-12-23 | [树莓派在办公室的 11 种用法](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612958&idx=1&sn=00c199d2d3951b9ec04a2c3ffe70eb96&chksm=bdceff188ab9760e5d0248b594ba862f406d0fc67053effdcc1824fd1fe3f320f9e319838e15#rd) |
| 13 | 8594 | 36 | 9 | 0 | 12 | 2018-04-02 | [计算机语言的巨变](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610804&idx=1&sn=a847ffdc9bd52b3db88f1cac57d3ae21&chksm=bdce80b28ab909a40789e8024f908e5ebe4235cf6aac0205f075fb6b19c83c373a6d6516467c#rd) |
