系列路由器
H3C MER
日志手册（ ）
V7
Copyright © 2020 新华三技术有限公司 版权所有，保留一切权利。
非经本公司书面许可，任何单位和个人不得擅自摘抄、复制本文档内容的部分或全部，并不得以任何形式传播。
除新华三技术有限公司的商标外，本手册中出现的其它公司的商标、产品标识及商品名称，由各自权利人拥有。
本文档中的信息可能变动，恕不另行通知。
目 录
1 简介························································································································································ 53
1.1 日志格式说明 ······································································································································ 53
1.2 软件模块列表 ······································································································································ 55
1.3 文档使用说明 ······································································································································ 60
2 AAA························································································································································ 60
2.1 AAA_FAILURE ··································································································································· 61
2.2 AAA_LAUNCH ··································································································································· 61
2.3 AAA_SUCCESS ································································································································· 62
3 ACL ························································································································································ 62
3.1 ACL_ACCELERATE_NO_RES ········································································································· 62
3.2 ACL_ACCELERATE_NOT_SUPPORT ····························································································· 63
3.3 ACL_ACCELERATE_NOT_SUPPORTHOPBYHOP ········································································ 64
3.4 ACL_ACCELERATE_NOT_SUPPORTMULTITCPFLAG ································································· 64
3.5 ACL_ACCELERATE_NONCONTIGUOUSMASK ············································································· 64
3.6 ACL_ACCELERATE_UNK_ERR ······································································································· 65
3.7 ACL_DYNRULE_COMMENT ············································································································ 65
3.8 ACL_DYNRULE_MDF ······················································································································· 65
3.9 ACL_IPV6_STATIS_INFO ················································································································· 66
3.10 ACL_NO_MEM ································································································································ 66
3.11 ACL_RULE_REACH_MAXNUM ······································································································ 66
3.12 ACL_RULE_SUBID_EXCEED ········································································································· 67
3.13 ACL_STATIS_INFO ························································································································· 67
4 ADVPN ·················································································································································· 67
4.1 ADVPN_SESSION_DELETED ·········································································································· 68
4.2 ADVPN_SESSION_STATE_CHANGED ··························································································· 69
5 AFT ························································································································································ 69
5.1 AFT_V4TOV6_FLOW ························································································································ 70
5.2 AFT_V6TOV4_FLOW ························································································································ 71
6 ANCP ····················································································································································· 71
6.1 ANCP_INVALID_PACKET ················································································································· 72
7 ANTIVIRUS ··········································································································································· 72
7.1 ANTIVIRUS_IPV4_INTERZONE ······································································································· 73
i
7.2 ANTIVIRUS_IPV6_INTERZONE ······································································································· 74
7.3 ANTIVIRUS_WARNING ···················································································································· 75
7.4 ANTIVIRUS_WARNING ···················································································································· 75
7.5 ANTIVIRUS_WARNING ···················································································································· 76
8 APMGR ················································································································································· 76
8.1 AP_CREATE_FAILURE ···················································································································· 76
8.2 APMGR_ADDBAC_INFO ·················································································································· 76
8.3 APMGR_AP_CFG_FAILED ··············································································································· 77
8.4 APMGR_AP_ONLINE ························································································································ 77
8.5 APMGR_DELBAC_INFO ··················································································································· 77
8.6 APMGR_LOG_ADD_AP_FAIL ·········································································································· 78
8.7 APMGR_LOG_LACOFFLINE ············································································································ 78
8.8 APMGR_LOG_LACONLINE ·············································································································· 78
8.9 APMGR_LOG_MEMALERT ·············································································································· 79
8.10 APMGR_LOG_NOLICENSE ··········································································································· 79
8.11 APMGR_LOG_OFFLINE ················································································································· 79
8.12 APMGR_LOG_ONLINE ··················································································································· 80
8.13 APMGR_LOG_ONLINE_FAILED ···································································································· 80
8.14 APMGR_REACH_MAX_APNUMBER ····························································································· 81
8.15 APMGR_SWAC_DRV_FAILED ······································································································· 81
