### 并发方与用户方中的技术热情者

在并发方和用户方中，那些对技术充满热情并愿意采纳新技术的人，往往能够成为推动变革的关键力量。正如我们所知，热情有时足以移山填海。然而，在缺乏这种积极倡导者的情况下，项目的推动力往往会大打折扣。但作为技术的拥护者，其道路也并不总是一帆风顺，这取决于多方面因素，包括技术需求、经济状况以及管理层的目标设定。因此，拥护者不仅是变革的核心，同时也需要得到相应的支持与奖励。

### 技术快速变革带来的挑战

当初启动生产率改进项目旨在通过引入新的自动化工具来提升软件工程效率。然而，随着技术日新月异的发展速度，为了实现这一目标，我们必须寻找方法面向未来，并持续不断地引进并实施最新技术（彼时IT尚未成为企业运营的核心）。在此过程中，我们经历了从工作站到位图显示器再到桌面计算机等一系列转变。尽管这些创新为组织带来了显著的进步，但由于内部开发工具的生命周期较短且难以分摊高昂的成本，导致许多尝试最终失去了动力。如今，大多数被广泛使用的工具均来自商业市场，而自主研发的产品则面临着成本控制、适应性及持续演进等方面的严峻考验。

### 学习并吸收用户行为中的变革

电子通讯方式使得传统管理模式趋于扁平化，这一点得到了多位项目经理的认可。例如，有经理提到：“以前我对下级两层的工作情况知之甚少，总是感觉对问题反应迟缓；而现在通过电子邮件可以及时获得预警信息，更好地掌握项目进展。”此外，所有工作成果均可通过电子手段进行分析处理，有助于更有效地识别并解决瓶颈问题。结合私人办公室提供的便利条件以及员工的热情投入，项目团队达到了Tom DeMarco 和 Tim Lister 在《人件》一书中描述的理想状态。随着项目的推进，“门规则”逐渐形成——关上房门意味着“请勿打扰”，打开房门则表示“欢迎交流”。

### 结论

生产率项目之所以成功，得益于高层管理的支持、富有才能与激情的团队成员、合理的预算安排、同步的需求与解决方案开发流程等关键要素。虽然许多项目都具备上述条件之一或全部，但要打造一个完美的团队还需要做到以下几点：

- 确认所有重要利益相关者，并将其纳入项目之中。
- 事先充分倾听各方意见，开展探索性和团队建设活动。
- 明确产品愿景，并确保每位参与者都了解它。
- 拥有一位开放包容、善于沟通协调的管理者。
- 鼓励内外部创新思维。
- 关注并满足团队成员的实际需求。
- 以尊重个体差异的方式处理人际关系冲突。
- 寻求与利益相关者的双赢解决方案。
- 严密监控进度，主动应对潜在风险。

### 致谢

感谢本章的所有贡献者和审稿人，特别是Christine Shu 和 Frank Belz。谨以此文献给Don Stuckle，他是生产率项目的杰出领导者，也是我们心中永远的楷模。
