### 事件概览
- **时间轴展示**：时间轴将展示24小时内上传的日志情况。

### TOP值概览
- **字段选择**：用户可以选择特定字段，系统将显示该字段中出现频率最高的前20个值。

### 告警
- **告警及触发状况**：展示当前的告警状态及其触发条件。

### 已存搜索
- **已存搜索**：已保存的搜索将在仪表板上显示，方便用户快速访问。

### 仪表盘定制
- **个性化仪表盘**：用户可以根据需要自定义仪表盘，每个仪表盘由选定的可视化组件组成。

### 统计视图
- **时间序列趋势图**：每次搜索后，日志分析软件会生成一个直观的时间序列趋势图，以直方图形式展示搜索时间范围内所有索引日志事件。用户可以利用此图比较不同时间段内的日志属性。
- **高级统计功能**：如需更多统计和可视化选项，请使用统计视图。用户可以获得更多的图表和统计结果，并可将这些图表保存到自定义仪表盘上随时查看。
- **重要提示**：统计及可视化功能仅在执行搜索后可用。

#### 事件计数统计
- **多事件对比**：通过绘制多个事件随时间变化的计数和数值统计，用户可以进行有效的对比分析。

#### 时间分段统计
- **分段设置**：选择“时间分段统计”后，用户需选取字段并设定时间分段。注意，时间分段必须完全包含在搜索的时间范围内，且各分段不可重叠。系统将按时间统计事件计数，并提供环比统计。

#### 数值分段统计
- **数值分布**：选择“数值分段统计”以分析数值字段在各数值段的分布。用户需选择字段并填写数值分段范围，点击“添加数值分段”创建新的分组，最后点击“生成图形”生成柱状图。

#### 时间直方图
- **时间间隔设定**：选择时间直方图，设置“时间间隔”并选择合适的时间单位，点击“生成图形”即可看到相应的直方图。

#### 数值直方图
- **数值间隔设定**：与时间直方图类似，用户需选定字段，设置“数值间隔”，然后点击“生成图表”。请注意，数值间隔过小可能导致图表不可用，因为统计数值可能在数量上有巨大差异。

#### 字段值分类统计
- **分类统计**：选择“字段值分类统计”后，用户可以看到某一字段的具体分类统计。页面将显示该字段所有值的比例，并生成相应的统计表格，列出出现次数最多的前几个字段值名称及统计次数。

#### 字段数值统计
- **数值属性统计**：对字段的数值属性进行统计分析，支持总计、平均值、最大值和最小值四种统计方式。

#### 累计百分比统计
- **数值分布**：累计百分比统计用于分析数值字段的大小分布，默认百分比分段为1%、5%、25%、50%、75%、95%和99%，用户也可以自定义分段。

#### 反向查询
- **数值查询**：用户可以在累积百分比反向查询中选择某个数值型字段，输入查询数值，点击查询即可获得结果。

#### 多级统计
- **多重统计**：多级统计最多支持三级，每次统计结果出现后都可以选择进一步统计或生成统计图。统计图是对当前数据表的可视化展现。

#### 地理统计
- **IP地址分布**：地理分布统计功能展示日志中的IP地址分布情况，日志分析软件默认根据颜色深浅标识IP地址在世界地图上的分布。

### 告警监控
#### 告警类型
- **事件数告警**：用户可以基于搜索结果创建告警触发条件，在给定时间内触发告警的阈值数。
- **字段统计告警**：针对字段内容设置告警，支持独立计数、求和、平均值、最大值和最小值等统计方式。
- **连续统计告警**：当某个告警条件在某段时间内连续触发达到阈值时，触发告警。
- **基线对比告警**：将阈值设定为一个随时间变动的统计基线值，用户可以选择大于、小于、在区间内或在区间外作为触发条件。

#### 通知方式
- **邮箱配置**：用户可以配置接收告警通知的邮箱地址，但只能选择账户下已注册的电子邮箱。

#### 检测频率
- **周期性检测**：用户可以设置运行搜索的周期，后台将定期执行搜索并将结果与告警条件匹配。如果符合阈值，系统将推送告警邮件。

### 日志解析
#### 自动解析日志格式
- **支持的日志类型**：日志分析软件自动解析Apache、Nginx、JSON等类型的日志，对于无法识别的日志，将进行全文索引。本节介绍支持的日志类型及处理方法。
- **可识别的日志格式**：
  - **Apache**：支持多种Apache日志格式，包括请求、响应状态码、引用页等。
  - **Nginx**：支持与Apache类似的Nginx日志格式。
  - **Log4j**：支持常见的Log4j日志格式，解析出时间戳、日志级别、线程、类、方法和消息等字段。
  - **JSON**：支持JSON格式的日志，要求日志整体为JSON格式，并包含ISO8601格式的时间戳。
  - **Linux**：支持Linux系统日志，解析出时间戳、应用名、主机名、优先级、设施、严重性和消息等字段。
  - **MySQL**：支持MySQL日志，解析出时间戳、日志级别、进程ID和消息等字段。

#### 配置日志解析规则
- **自定义规则**：对于不支持的日志格式，用户可以在产品页面的“设置”标签下的“日志格式”标签里配置解析规则，抽取自定义字段。
- **正则解析**：使用正则表达式解析日志，用户需了解基本的正则知识，例如提取时间戳、进程ID、日志级别和消息等字段。

通过以上优化，文本变得更加清晰、连贯和专业，便于用户理解和操作。
