	- 12.7 [新的 npm 恶意软件带有 Bladabindi 木马](https://paper.seebug.org/1421/)
	- 12.7 [WAPDropper恶意软件-悄悄为你订阅高级服务](https://www.anquanke.com/post/id/224775)
	- 12.7 [WordPress插件File-Manager任意文件上传漏洞](https://www.freebuf.com/vuls/256888.html)
	- 12.8 [伊朗 RANA Android 恶意软件监视即时通讯](http://hackernews.cc/archives/33939)
	- 12.8 [监守自盗！金立给用户手机植木马“拉活”牟取暴利](https://www.freebuf.com/news/256798.html)
	- 12.8 [独家揭秘！到底是谁在“生产”害人不浅的博彩APP？](https://www.anquanke.com/post/id/224966)
	- 12.8 [某款工控软件的覆盖SEH漏洞](https://www.freebuf.com/vuls/256718.html)
	- 12.8 [中国蚁剑无文件连接phpstudy后门实战](https://www.freebuf.com/sectool/256744.html)
	- 12.8 [“匿影”僵尸网络携新一轮勒索再临，360安全大脑独家揭秘攻击全链路](https://www.freebuf.com/articles/network/256666.html)
	- 12.8 [Kirenenko：像污点分析一样实现动态符号执行](https://www.anquanke.com/post/id/223220)
	- 12.8 [社会工程学攻击之亚洲红点传媒被盗事件](https://www.freebuf.com/articles/paper/256602.html)
	- 12.8 [腾讯主机安全（云镜）捕获RunMiner挖矿木马攻击，约1.6万台服务器沦陷](https://www.freebuf.com/articles/system/256589.html)
	- 12.10 [Android动态调试之不使用IDA](https://www.freebuf.com/articles/mobile/257380.html)
	- 12.10 [如何利用http tunnel使用burpsuite拦截某个app的tcp数据包（非http）做安全分析](https://www.freebuf.com/articles/web/257207.html)
	- 12.11 [逆向智能门锁漏洞分析PART（一）](https://www.secpulse.com/archives/149294.html)
	- 12.11 [构建欺骗防御体系：三大核心缺一不可](https://www.freebuf.com/articles/database/257453.html)
	- 12.11 [Ad-injecting malware hijacks Chrome, Edge, Firefox](http://feedproxy.google.com/~r/HelpNetSecurity/~3/Ri7rlbqt_QE/)
	- 12.11 [如何抵御”邪恶女仆”攻击](https://www.kaspersky.com.cn/blog/evil-maid-attack/12347/)
	- 12.11 [黑客组织利用 njRAT 以 Pastebin 为切入点进行恶意软件攻击](http://hackernews.cc/archives/34044)
	- 12.14 [操纵钓鱼诈骗“庄家”出现，利用木马“黑吃黑”反杀](https://www.anquanke.com/post/id/225427)
	- 12.14 [安卓|使用ptrace绕过ptrace反调试(二)](https://www.freebuf.com/sectool/257766.html)
	- 12.14 [FireEye红队工具失窃事件跟进分析](https://www.secpulse.com/archives/148613.html)
	- 12.14 [手机APP黑客手册](https://www.freebuf.com/articles/mobile/257784.html)
	- 12.14 [一个CS马伪装下的loader样本分析](https://www.freebuf.com/articles/web/257752.html)
	- 12.14 [逆向智能门锁漏洞分析PART（二）](https://www.secpulse.com/archives/149309.html)
	- 12.15 [SoReL-20M：一个由 2000 万个恶意软件样本组成的庞大数据集](http://hackernews.cc/archives/34095)
	- 12.15 [起底10万个微信号背后的灰色利益链 - 视点·观察 - cnBeta.COM](https://www.cnbeta.com/articles/tech/1062723.htm)
	- 12.15 [偷拍产业链“上游”：偷拍视频是如何获取的？](https://www.anquanke.com/post/id/225588)
	- 12.16 [PyMICROPSIA Windows malware includes checks for Linux and macOS](https://securityaffairs.co/wordpress/112335/apt/pymicropsia-malware.html?utm_source=feedly&utm_medium=rss&utm_campaign=pymicropsia-malware)
	- 12.16 [木马化开源软件的针对性攻击](https://paper.seebug.org/1429/)
	- 12.17 [占据攻防“先机”：如何利用安全情报降低攻击风险？](https://www.freebuf.com/articles/neopoints/258056.html)
	- 12.18 [偷拍产业链“下游”，谁在为偷拍视频“买单”？](https://www.anquanke.com/post/id/226008)
	- 12.18 [开源蜜罐T-Pot](https://www.freebuf.com/articles/database/258289.html)
	- 12.18 [SolarWinds供应链攻击事件分析](https://www.freebuf.com/news/258143.html)
	- 12.18 [腾讯主机安全捕获Ks3_Miner木马通过爆破SSH入侵云服务器挖矿](https://www.freebuf.com/articles/system/258149.html)
	- 12.18 [中国信通院统计：超7成电信诈骗与个人信息泄露有关](https://www.freebuf.com/news/258238.html)
	- 12.18 [隐藏在浏览器背后的“黑手”](https://www.secpulse.com/archives/149488.html)
	- 12.18 [SolarWinds旗下软件被用于供应链攻击事件分析](https://www.secpulse.com/archives/149464.html)
	- 12.18 [针对越南政府组织 VGCA 的软件供应链攻击](http://hackernews.cc/archives/34177)
	- 12.18 [5G 网络新漏洞使黑客可跟踪用户位置并窃取数据](http://hackernews.cc/archives/34181)
