|                         3074/TCP,UDP                         |     [Xbox Live](https://zh.wikipedia.org/wiki/Xbox_Live)     |  官方  |
|                           3128/TCP                           | [超文本传输协议](https://zh.wikipedia.org/wiki/超文本传输协议) used by [Web缓存](https://zh.wikipedia.org/wiki/Web缓存)s and the default port for the [Squid (软件)](https://zh.wikipedia.org/wiki/Squid_(软件)) |  官方  |
|                           3260/TCP                           |     [ISCSI](https://zh.wikipedia.org/wiki/ISCSI) target      |  官方  |
|                           3268/TCP                           | msft-gc, Microsoft Global Catalog ([轻型目录访问协议](https://zh.wikipedia.org/wiki/轻型目录访问协议) service which contains data from [Active Directory](https://zh.wikipedia.org/wiki/Active_Directory) forests) |  官方  |
|                           3269/TCP                           | msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268, [轻型目录访问协议](https://zh.wikipedia.org/wiki/轻型目录访问协议) over [传输层安全性协议](https://zh.wikipedia.org/wiki/传输层安全性协定) version) |  官方  |
|                           3300/TCP                           | [TripleA](https://zh.wikipedia.org/w/index.php?title=TripleA_(computer_game)&action=edit&redlink=1) game server | 非官方 |
|                         3305/TCP,UDP                         | [ODETTE-FTP](https://zh.wikipedia.org/w/index.php?title=ODETTE-FTP&action=edit&redlink=1) |  官方  |
|                         3306/TCP,UDP                         |    [MySQL](https://zh.wikipedia.org/wiki/MySQL)数据库系统    |  官方  |
|                           3333/TCP                           |                   Network Caller ID server                   | 非官方 |
|                         3386/TCP,UDP                         | [GTP'](https://zh.wikipedia.org/wiki/GTP') [3GPP](https://zh.wikipedia.org/wiki/3GPP) [GSM](https://zh.wikipedia.org/wiki/GSM)/[通用移动通讯系统](https://zh.wikipedia.org/wiki/通用移动通讯系统) [CDR](https://zh.wikipedia.org/w/index.php?title=Call_detail_record&action=edit&redlink=1) logging protocol |  官方  |
|                           3389/TCP                           | [远程桌面协议](https://zh.wikipedia.org/wiki/远端桌面协定)（RDP） |  官方  |
|                           3396/TCP                           | [Novell](https://zh.wikipedia.org/wiki/Novell) NDPS Printer Agent |  官方  |
