硬件令牌方案能够实现上述三个要求中的两个。许多安全专家在对密码持续主导地位表示不满时，可能认为这两类方案已经足够实用，可以替代密码。然而，那些渴望用户流量的网站显然并不这么认为。

（记忆无忧、无需携带）
某些优点组合似乎几乎无法兼容。例如，只有生物识别方案才能同时实现“记忆无忧”和“防盗窃”。没有研究过的方案能完全达到“记忆无忧”和“抗泄漏”的效果，也没有方案能在“服务器兼容”和“防止内部观察泄露”方面都表现出色。由于与现有服务器的兼容性几乎意味着静态可重放的秘密，为了避免其安全风险，许多提案放弃了与服务器的兼容性，尽管有几项提案接近实现这一点。

A. 方案分类评级
密码管理器在特定的可用性和安全性方面提供了优于传统密码的优势。以下是各类方案在不同维度上的表现：

| 可用性 | 部署性 | 安全性 |
| --- | --- | --- |
| 无感知 | 兼容现有服务器 | 抗盗窃 |
| 无感知 | 兼容现有服务器 | 防止内部观察泄露 |
| 无感知 | 兼容现有服务器 | 防止从其他验证者处泄露 |
| 无感知 | 兼容现有服务器 | 抗泄露 |
| 无感知 | 兼容现有服务器 | 抗逆向工程 |
| 无感知 | 兼容现有服务器 | 用户友好 |
| 无感知 | 兼容现有服务器 | 抗逆向工程 |
| 无感知 | 兼容现有服务器 | 抗时间衰减 |
| 无感知 | 兼容现有服务器 | 抗外部泄露 |
| 无感知 | 兼容现有服务器 | 内部透明 |
| 无感知 | 兼容现有服务器 | 抗时间衰减 |
| 无感知 | 兼容现有服务器 | 验证者独立 |
| 无感知 | 兼容现有服务器 | 来自其他来源的泄露 |
| 无感知 | 兼容现有服务器 | 抗时间衰减 |
| 无感知 | 兼容现有服务器 | 抗外部泄露 |
| 无感知 | 兼容现有服务器 | 抗逆向工程 |
| 无感知 | 兼容现有服务器 | 抗盗窃 |
| 无感知 | 兼容现有服务器 | 抗时间衰减 |
| 无感知 | 兼容现有服务器 | 易于使用 |
| 无感知 | 兼容现有服务器 | 服务器友好 |

请注意，上表中的一些术语可能需要进一步解释或澄清。
