### 可得性启发式

可得性启发式是一种心理机制，人们通过回忆例子或事件的容易程度来评估某一类事情的频率或概率。例如，你可能会通过回忆自己认识的心脏病患者数量来估测中年人患心脏病的风险；或者通过想象某个企业可能遇到的各种难题来估测其倒闭的概率。

#### 优点与局限
- **优点**：这种启发式在某些情况下是有效的，因为高频事件的例子更容易被回忆起来。
- **局限**：可得性并不总是准确反映实际频率和概率，因此可能导致预测偏差。

#### 偏见类型
1. **因例子的可提取性导致的偏见**：
   - 当用某个类别的例子的可得性来判断该类别的大小时，容易想到的例子会显得更大。
   - 研究表明，受试者通常会高估名人较多的类别中的数目。
   - 显著性和最近发生的事件也会影响例子的可提取性。例如，亲眼看到房子失火对主观概率的影响比读到报纸上的报道更大。

2. **因搜索集合的有效性导致的偏见**：
   - 从记忆中搜寻单词的首字母要比搜寻第三个字母容易得多，因此大多数人认为以某个辅音开头的单词更多。
   - 实际上，辅音字母出现在第三个位置的频率往往更高。
   - 不同的任务会引发不同的搜索集合。例如，抽象词似乎比具体词更频繁地出现在书面英语中，但实际上它们出现的频率相当。

3. **想象力的偏见**：
   - 当需要评估某类事件的频率但没有相关实例时，人们通常会构建一些实例并通过构建这些实例的容易程度来评估其频率或概率。
   - 例如，组成一个有K个成员的委员会的问题中，人们倾向于高估小规模委员会的数量而低估大规模委员会的数量。

4. **相关性错觉**：
   - 人们在判断两个同时发生的事件的频率时，会高估自然联想物同时发生的频率。
   - 例如，疑心病和奇怪的眼睛之间的关联性错觉，即使实际上二者并没有显著的相关性。

### 锚定效应

锚定效应是指人们在估计某个数值时，会受到初始值（起始点）的影响，即使这个初始值是随机的或不相关的。调整过程往往是不充分的，导致最终估计偏向于初始值。

#### 不充分的判断
- 在一个实验中，受试者通过旋转幸运转盘得到一个随机数作为起始点，然后根据这个起始点进行调整来估计非洲国家在联合国成员国中的百分比。结果发现，不同的起始点会导致不同的估计值。
- 即使要求精确估计，锚定效应仍然存在。

#### 评估连续事件与非连续事件的偏差
- 人们易于高估连续事件的概率，低估非连续事件的概率。
- 这种偏见是由锚定效应引起的，基本事件的概率提供了自然的起始点，调整过程不充分导致最终估计接近起始点。

#### 评估复合事件的偏见
- 在计划情境中，成功完成某个任务具有连续特征，即使每个事件都很可能发生，整体成功的概率也可能很低。
- 高估连续事件概率会导致过度乐观的评估，而低估非连续事件概率会导致低估复杂系统失败的概率。

### 讨论

本附录关注的是依赖于判断启发式的认知偏见。这些偏见不仅限于普通人，经验丰富的研究人员在凭直觉进行思考时也会犯类似的错误。尽管有用的启发式可以保留，但它们有时会导致预测或估计的错误。此外，人们不能从日常经历中推断出基本的统计学规则，如回归平均值或样本大小对样本可变性的影响。

#### 主观概率与决策理论
- 现代决策理论将主观概率视为理想化的人量化的观点，但实际中主观概率会决定我们对赌注的偏好，而不是从偏好中推断出来。
- 概率内在的一致性虽然是一个重要准则，但内在一致的主观概率可能与人们的其他信念相抵触。
- 理性判断者会努力使自己的概率判断与整体信念系统相容，即使利用内在一致性更容易完成判断和评估。

通过理解这些认知偏见，我们可以更好地识别和纠正我们在判断和决策中的潜在错误。
