### 互联网企业安全建设实践
**北京站/3.29**
**靳晓飞**
**VIPKID安全中心**

#### 从这里说起

在本次演讲中，我们将探讨互联网企业在安全建设方面的整体思路、面临的安全挑战以及核心安全目标。我们还将讨论如何构建和提升企业的核心安全能力，并提供一个全面的安全视角。此外，我们将介绍基础安全体系建设框架、安全建设蓝图及其实施方法，并分享分阶段安全体系建设的经验。最后，我们将探讨如何评估企业安全建设的效果，并详细介绍API安全监控及GitHub安全监控的最佳实践。

#### 互联网企业安全建设的整体思路
- **安全挑战分析**：随着技术的发展，互联网企业面临着越来越多的安全威胁，如数据泄露、恶意攻击等。
- **核心安全目标**：确保业务连续性、保护用户隐私、维护系统完整性是互联网企业的主要安全目标。
- **核心安全能力建设与提升**：通过加强访问控制、加密传输、定期审计等方式提高安全性。
- **整体安全视角**：采用多层次防御策略，结合物理、网络和技术层面的防护措施。

#### 基础安全体系建设框架
- **规划阶段**：明确需求，制定详细的实施方案。
- **设计阶段**：选择合适的技术方案和服务提供商。
- **部署阶段**：按照设计方案进行软硬件安装配置。
- **运维阶段**：持续监控系统状态，及时响应异常情况。

#### 安全建设蓝图与落地实施
- **分阶段建设**：根据优先级逐步推进各项安全措施。
- **效果评价**：定期检查安全状况，调整优化策略。

#### API 安全监控实践
- **需监控的API**：
  - 注册接口
  - 登录接口
  - 找回密码接口
  - 订单详情接口
  - 收货地址接口
  - 其他可能遭受攻击的API
- **监控目标**：实现对高风险API被滥用行为的分钟级检测，并能够自动触发防御机制。
- **技术实现手段**：
  - 流量分析
  - 日志分析
  
#### GitHub安全监控实践
- **项目地址**：[https://github.com/VKSRC/Github-Monitor](https://github.com/VKSRC/Github-Monitor)
  
#### 成功的关键因素
- 积极转变思维方式，不仅局限于被动防御，还要主动出击。
- 以攻击者的角度审视潜在漏洞，做到攻防兼备。

#### 结语
“未知攻，焉知防”，网络安全本质上是一场人与人之间的智力较量。在建设和运营过程中，安全团队需要不断学习新的技术和方法，始终保持警惕，才能有效应对各种安全威胁。感谢大家的关注！

---

希望这份文档能够帮助您更好地理解互联网企业安全建设的重要性及相关实践方法。如果您有任何问题或建议，请随时联系我们。
