## ModifiedElephant 恶意活动分析

### 电子邮件哈希值
- [PI:EMAIL](mailto:PI:EMAIL) | fd4902b8a4a4718f5219b301475e81aa
- [PI:EMAIL](mailto:PI:EMAIL) | c095d257983acca64eb52979cfc847ef
- [PI:EMAIL](mailto:PI:EMAIL) | 1720ae54d8ca630b914f622dcf0c1878
- [PI:EMAIL](mailto:PI:EMAIL) | 56d573d4c811e69a992ab3088e44c268
- [PI:EMAIL](mailto:PI:EMAIL) | ef42dc2b27db73131e1c01ca9c9c41b6

### 键盘记录器样本分析
键盘记录器样本中包含 VBP 和 PDB 路径，揭示了其原始开发环境的一些线索。在某些情况下，攻击者会针对一个或多个目标使用相同的有效载荷进行多次网络钓鱼尝试。然而，ModifiedElephant 通常会在每次感染尝试中使用新的恶意软件样本。

### Android 木马
ModifiedElephant 同时发送了包含 NetWire 和 Android 恶意软件有效载荷的多封钓鱼邮件。该安卓恶意软件是一种未知的商品性木马，以 APK 文件的形式发送（[0330921c85d582deb2b77a4dc53c78b3](https://www.virustotal.com/gui/file/4dbb14ff2836733b34594956c4234d2a54c04257710dd31a0884b1926d35d7bc)）。虽然这种 Android 木马可能是为更广泛的网络犯罪而设计的，但它与 ModifiedElephant 的 Netwire 样本同时输送表明，同一个攻击者试图在端点和移动设备上对目标发起攻势。

**图 6**: 带有 Netwire 和 Android GM Bot 变体恶意附件的 ModifiedElephant 钓鱼电子邮件  
**图 7**: 修改后的带有 Netwire 和 Android GM Bot 变体恶意附件的 ModifiedElephant 钓鱼邮件

该木马使攻击者能够拦截和管理短信及呼叫数据、清除或解锁设备、执行网络请求并进行远程管理。作为一种低成本且基本的移动监控工具包，它为攻击者提供了理想的选择。

### 与其他黑客组织的关系
我们的研究揭示了多种有趣的线索，突显了该组织有针对性监视任务的复杂性。这些攻击者包括私营部门的攻击性黑客 (PSOAs) 以及伪装成商业实体的团体，以掩盖其非法活动。

基于我们对 ModifiedElephant 的分析，该组织针对众多目标运作，并可能与其他地区的黑客有联系。从我们的角度来看，无法进一步排除这种关系的可能性——无论是作为一个积极的伞状组织的一部分，在各黑客组织之间合作和分享技术资源和目标，还是仅仅是巧合的关联。以下是一些有趣的相关发现：

- 多年来被 ModifiedElephant 锁定的许多个人也被移动监视间谍软件锁定或确认感染。例如，Amnesty International 发现，2019 年 NSO Group 的 Pegasus 被用于针对 Bhima Koregaon 案件相关的人权维护者的袭击。此外，Bhima Koregaon 案的被告 Rona Wilson 自 2017 年以来就成为 Pegasus 的攻击目标。
- 2013 年 2 月至 2014 年 1 月期间，目标之一罗娜·威尔逊收到了一些可以归咎于“响尾蛇”(SideWinder) 组织的钓鱼邮件。ModifiedElephant 和响尾蛇之间的关系尚不清楚，但他们的钓鱼邮件时间和目标在我们的数据库中有重叠部分。这可能表明攻击者被东家提供了类似的任务，或者他们以某种方式协同工作。响尾蛇是一个主要针对整个亚洲的政府、军队和商业实体的黑客组织。
- ModifiedElephant 钓鱼电子邮件有效载荷 ([b822d8162dd540f29c0d8af28847246e](https://www.virus total.com/gui/file/828de55ffbfb1c1b6ffcbb56b838486dbaecc9b41a0d111fcca290978ed05e95)) 与 Operation Hangover 共享基础设施重叠（new-agency[.]us）。Operation Hangover 除了针对世界各地组织的经济间谍活动外，还包括针对印度国内外国家安全重点目标的监视行动。
- 2012 年，与 ModifiedElephant 活动密切相关的一个键盘记录器样本中包含了字符串“Logs from Moosa’s”([c14e101c055c9cb549c75e90d0a99c0a](https://www.virustotal.com/gui/file/b665efe9b3dd575e17631146706d6a950d642aa7b7401ac794480c2bb557594c))。这个字符串可能指的是在同一时间被 FinFisher 间谍软件锁定的巴林活动人士 Moosa Abd-Ali Ali。在没有更多信息的情况下，我们认为需要更多研究来验证这一假设。

### 归因
调查像 ModifiedElephant 这样的攻击组织是一个复杂的挑战。目前，我们掌握了攻击者在过去十年中的行为证据，对其攻击目标的独特观察，以及对他们技术目标的深刻理解。我们观察到 ModifiedElephant 的活动与印度的国家利益紧密相关，且其攻击与有争议的政治案件存在明显关联。

### 总结
Bhima Koregaon 案为我们提供了一个视角：一个黑客组织愿意投入大量时间和资源，以瓦解持相反观点的人。我们对 ModifiedElephant 的描述仅关注了一小部分潜在受害者，简述了攻击者的技术及其目标的部分了解。关于这一黑客组织及其行动的许多问题尚未解决；但有一点是明确的：世界各地专制政府的反对者必须仔细了解那些试图剥夺他们发声权利的技术手段。

### IOC（威胁指标）
| **类型** | **标签** |
| --- | --- |
| 文件 | ca91cea6038ebc431c88d7a3280566f5 |
| 文件 | 1720ae54d8ca630b914f622dcf0c1878 |
| 文件 | 0a3d635eb11e78e6397a32c99dc0fd5a |
| 文件 | ebbddbdadfa5a7e3e5f00faf27543909 |
| 文件 | 93f53bf0f3db53aebcad54a4aa8cc833 |
| 文件 | 5c5279eab1cbffec7d174a79e4233217 |
| 文件 | 7ad281f61b89a85ae69242f9bd1a28be |
| 文件 | cc634fe1d5087d629b141d242ff49732 |
| 文件 | 7fa8bb8c90a1d1864a5eda90bb8fa2a3 |
| 文件 | eef779774586e59a0e387f7ce06b092e |
| 文件 | b8a464741d16dcf046b1e27d63f62bcd |
| 文件 | e631b2f8496c40e54951a2daebfc73ae |
| 文件 | ad1b6380efb0aad16f01bd1a23f2e649 |
| 文件 | 3e38ed7d2168d8170c50db86e5ebd99c |
| 文件 | ae95cf0cd0e1a5cd6561ae3a17968dec |
| 文件 | a650de5d94dd938d9fd0cf55fae83dd6 |
| 文件 | c9da1fa9e874b68df14788c80ca5cfee |
| 文件 | 319444e7bd7a20caef38dfcf22948f3c |
| 文件 | b822d8162dd540f29c0d8af28847246e |
| 文件 | d8fe02b0e134e8c9c338a784d2afacae |
| 文件 | 54be0a494baaf99ea3f88bdf6557c282 |
| 文件 | 77cb1d0ddf20461b35ccd60bc9e9693f |
| 文件 | 1efe4a0981876ea7ec1780e21b0738a2 |
| 文件 | bec87849d25eef2e41c0c2e42c90b044 |
| 文件 | e1af82438339a1dd406479b884aba6f8 |
| 文件 | ac65e7d08e48c6d20e3f90f7d9f73d8b |
| 文件 | cb347961b2f25f91639c16431e224002 |
| 文件 | b6071ff11d4b41e52143ec5ba416131a |
| 文件 | 2463a3ed222be9d564e380b19522c481 |
| 文件 | bf2d01c8cf111170589e52447b904163 |
| 文件 | d883399966cb29c7c6c358b7c9fdb951 |
| 文件 | a1af186d95ed7de686bd2e59e826f265 |
| 文件 | 1396f720bc7615385bc5df49bbd50d29 |
| 文件 | a07a315d5e05d4970a57d3c499f5c9dc |
| 文件 | ac04dfc7ccd9cc317b73f5860da94e7a |
| 文件 | a73e489b730cf730bd51ac790995d635 |
| 文件 | afe38f5b0feeb4da163ca2d2ce85379b |
| 文件 | aa7faa3465f31f2f3343fe3646af2fba |
| 文件 | a77833d689be13eae622d48f8a5a8b12 |
| 文件 | abd0b2779bdf3b0dd8b2a97815501850 |
| 文件 | d6a491618a97e0044cc5f319d58c2dac |
| 文件 | 778547b3e0371ba048c32010b0dc42de |
| 文件 | d49f22104d979efb5e2da383fea403fe |
| 文件 | f1b6f87fd82f20f68f8624d63abda57d |
| 文件 | cadbc701381ed49c37ee3452171e0934 |
| 文件 | a6b71ac86b1267385950815b7d18861b |
| 文件 | fd4902b8a4a4718f5219b301475e81aa |
| 文件 | eff9b8e1ee17cd00702279db5de39a3c |
| 文件 | 63b25fb5c4a41103d8f30659b3ed2c27 |
| 文件 | b662b3fc9174e608718072ea55b37472 |
| 文件 | 43cc3810b86a27e4a15349bbcad3e8e4 |
| 文件 | ef42dc2b27db73131e1c01ca9c9c41b6 |
| 文件 | ead29687b7c4e76c59269e76a85341b7 |
| 文件 | bf6c7302cb2bbad454ad4302152285fe |
| 文件 | 74c0c5b81124b13b05b9c8792d50597e |
| 文件 | 1f0265c7fe4560d66f722e4264e717db |
| 文件 | 3b5a6b3a04ac5c2902ede522614c868c |
| 文件 | 6ebae56d4cc2a9a9454603b6116fa1a4 |

以上是对 ModifiedElephant 恶意活动的详细分析和总结。希望这些信息有助于更好地理解和应对此类威胁。
