目前在研的核心技术情况如下：
+------+------------+----------------+---------------------------------+
| 序号 | 技术类别   | 技术名称       | 技术特点                        |
+------+------------+----------------+---------------------------------+
| 1    | 日志采集   | 日志采集技术   | 一                              |
|      |            |                | 个高可用的，高可靠的，分布式的  |
|      |            |                | 海量日志采集、聚合和传输的系统  |
|      |            |                | ，支持在日志系统中定制各类数据  |
|      |            |                | 发送方，用于收集数据；同时提供  |
|      |            |                | 对数据进行简单处理，并写到各种  |
|      |            |                | 数据接受方（可定制）的能力。具  |
|      |            |                | 备可靠性、可扩展性和可管理性。  |
|      |            |                |                                 |
|      |            |                | 使用日志易Agent，可采集服务器、 |
|      |            |                | 网络设备、操作系统、应用系统的  |
|      |            |                | 文本日志及二进制日志数据。支持  |
|      |            |                | 标准的syslog协议、HTTP及HTTPS。 |
|      |            |                |                                 |
|      |            |                | Agen                            |
|      |            |                | t采集流程提供提取规则入口、报表 |
|      |            |                | 、监控邮件新增抄送人、密送人。  |
+------+------------+----------------+---------------------------------+
| 2    | 日志处理   | 消息队列技术   | 用于消息的持久化和缓存。        |
|      |            |                | 该系统使用磁盘文件做持久化，顺  |
|      |            |                | 序进行读写，以append方式写入文  |
|      |            |                | 件。采用高吞吐量的分布式发布订  |
|      |            |                | 阅消息系统有如下特性：（1）通过 |
|      |            |                | 的磁盘数据结构提供消息的持久化  |
|      |            |                | ，这种结构对于即使数以TB的消息  |
|      |            |                | 也能够保持长时间的稳定性能。（  |
|      |            |                | 2）高吞吐量，即使是非常普通的硬 |
|      |            |                | 件也可以支持每秒数百万的消息。  |
|      |            |                |                                 |
|      |            |                | 借助Kafka，不必接口依赖Web，可  |
|      |            |                | 异步发送，方便实现分布式业务。  |
+------+------------+----------------+---------------------------------+
|      |            | 集群资源       | 一个针对大型分布式系统的高可靠  |
|      |            | 同步与管理技术 | 协调系统，提供的功能包括：配置  |
|      |            |                | 维护、名字服务、分布式同步、组  |
|      |            |                | 服务等。封装好复杂易出错的关键  |
|      |            |                | 服务，将简单易用的接口和性能高  |
|      |            |                | 效、功能稳定的系统提供给用户。  |
+------+------------+----------------+---------------------------------+
| 3    | 分析       | 日志分析技术   | 采用业界                        |
|      |            |                | 最先进的流式大数据处理架构Spark |
|      |            |                | Stream                          |
|      |            |                | ing，构建的高性能、分布式日志处 |
|      |            |                | 理架构可以每秒钟分析10万条日志  |
|      |            |                | ，每天可以处理TB级的日志量，而  |
|      |            |                | 且处理延时非常短，可以让用户搜  |
|      |            |                | 索、分析几秒钟之前产生的日志。  |
+------+------------+----------------+---------------------------------+
| 4    | 检索       | 搜索引擎技术   | 索引                            |
|      |            |                | 集群是一个的分布式搜索引擎，具  |
|      |            |                | 备高可靠性和高性能。支持时间文  |
|      |            |                | 本索引和全文检索，同时提供字段  |
|      |            |                | 、数值范围和布尔检索，查询指定  |
|      |            |                | 时间范围内的日志。提供丰富的ap  |
|      |            |                | i用于索引、检索、修改大多数配置 |
|      |            |                | 。能够快速搜索数百亿的日志以及T |
|      |            |                | B级的结构化或者非结构化的数据。 |
|      |            |                |                                 |
|      |            |                | 基于                            |
|      |            |                | SPL功能，支持新建字段、复杂的统 |
|      |            |                | 计语句以及强大的关联搜索功能。  |
|      |            |                |                                 |
|      |            |                | 搜索页数据集可搜索              |
|      |            |                | 、可折叠、可调整同一层级内的顺  |
|      |            |                | 序；SPL统计表头可点击进行排序。 |
+------+------------+----------------+---------------------------------+
| 5    | 存储       | 数据存储技术   | 采用分布式文件                  |
