27.223.99.130 - - [12/Jun/2017:17:14:36 +0800] "GET /favicon.ico HTTP/1.1" 200 3222 "https://www.rizhiyi.com/products/howtowork/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/6.1.2716.203 Safari/537.36" "-" 0.000 -
1.202.218.238 - - [12/Jun/2017:17:14:39 +0800] "GET /products/price/ HTTP/1.1" 200 3804 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.000 -
1.202.218.238 - - [12/Jun/2017:17:14:39 +0800] "GET /assets/img/rzy/production/table-head.png HTTP/1.1" 200 678 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.000 -
42.156.251.206 - - [12/Jun/2017:17:14:43 +0800] "GET / HTTP/1.1" 200 6474 "-" "Mozilla/5.0 (Linux; Android xiaomi; Nexus 7 Build/JSS15Q) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2307.2 Safari/537.36" "-" 0.037 -
125.120.152.70 - - [12/Jun/2017:17:14:44 +0800] "GET / HTTP/1.1" 302 154 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.000 -
125.120.152.70 - - [12/Jun/2017:17:14:44 +0800] "GET / HTTP/1.1" 200 6474 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.000 -
125.120.152.70 - - [12/Jun/2017:17:14:44 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "https://www.rizhiyi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.000 -
125.120.152.70 - - [12/Jun/2017:17:14:44 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "https://www.rizhiyi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.000 -
125.120.152.70 - - [12/Jun/2017:17:14:44 +0800] "GET /assets/img/rzy/homepage/banner1.jpg HTTP/1.1" 200 144890 "https://www.rizhiyi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.067 -
125.120.152.70 - - [12/Jun/2017:17:14:44 +0800] "GET /assets/img/rzy/small-icons.png HTTP/1.1" 200 72322 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.033 -
125.120.152.70 - - [12/Jun/2017:17:14:44 +0800] "GET /assets/img/rzy/homepage/banner3.jpg HTTP/1.1" 200 264078 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.073 -
125.120.152.70 - - [12/Jun/2017:17:14:45 +0800] "GET /assets/img/rzy/homepage/banner2.jpg HTTP/1.1" 200 536569 "https://www.rizhiyi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.228 -
125.120.152.70 - - [12/Jun/2017:17:14:45 +0800] "GET /assets/img/rzy/homepage/highlight.png HTTP/1.1" 200 106736 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.000 -
125.120.152.70 - - [12/Jun/2017:17:14:45 +0800] "GET /assets/img/rzy/homepage/highlight2.png HTTP/1.1" 200 38037 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.000 -
42.156.251.206 - - [12/Jun/2017:17:14:46 +0800] "GET / HTTP/1.1" 200 6474 "-" "Mozilla/5.0 (Linux; Android 4.4.4; en-us; Nexus 4 Build/JOP40D,AlipayClient) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2307.2 Mobile Safari/537.36" "-" 0.000 -
42.156.251.206 - - [12/Jun/2017:17:14:46 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 4.4.4; en-us; Nexus 4 Build/JOP40D,AlipayClient) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2307.2 Mobile Safari/537.36" "-" 0.000 -
125.120.152.70 - - [12/Jun/2017:17:14:46 +0800] "GET /assets/img/rzy/customer-logos-2x.png HTTP/1.1" 200 759593 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 1.392 -
42.156.251.206 - - [12/Jun/2017:17:14:46 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 4.4.4; en-us; Nexus 4 Build/JOP40D,AlipayClient) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2307.2 Mobile Safari/537.36" "-" 0.000 -
125.120.152.70 - - [12/Jun/2017:17:14:47 +0800] "GET /assets/img/rzy/homepage/desc-2x.png HTTP/1.1" 200 1413667 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 2.242 -
125.120.152.70 - - [12/Jun/2017:17:14:47 +0800] "GET /favicon.ico HTTP/1.1" 200 3222 "https://www.rizhiyi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36" "-" 0.000 -
27.223.99.130 - - [12/Jun/2017:17:14:56 +0800] "GET /products/ HTTP/1.1" 200 8157 "https://www.rizhiyi.com/products/howtowork/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/6.1.2716.203 Safari/537.36" "-" 0.000 -
27.223.99.130 - - [12/Jun/2017:17:14:56 +0800] "GET /assets/img/rzy/product/advan-icons.png HTTP/1.1" 200 186141 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/6.1.2716.203 Safari/537.36" "-" 0.035 -
1.202.218.238 - - [12/Jun/2017:17:14:57 +0800] "GET / HTTP/1.1" 200 6474 "https://www.rizhiyi.com/products/price/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.000 -
