  * Electron Version:2.0.3
  * Operating System (Platform and Version): macOS 10.13.5
  * Last known working Electron version:
**Additional Information**  
Add any other context about the problem here.
code:
    ipcMain.on('remove-tray', () => {
      setTimeout(() => {
        appIcon.destroy()
      }, 0)
    })
    Process:               Electron [53700]
    Path:                  /Users/USER/*/Electron.app/Contents/MacOS/Electron
    Identifier:            com.github.electron
    Version:               2.0.3 (2.0.3)
    Code Type:             X86-64 (Native)
    Parent Process:        node [53687]
    Responsible:           Electron [50705]
    User ID:               501
    Date/Time:             2018-07-04 11:11:08.578 +0800
    OS Version:            Mac OS X 10.13.5 (17F77)
    Report Version:        12
    Anonymous UUID:        17308E10-7530-E46E-1903-0E89CA2F3DC1
    Sleep/Wake UUID:       4266664E-1B71-417A-8F17-96387BA39E76
    Time Awake Since Boot: 120000 seconds
    Time Since Wake:       5000 seconds
    System Integrity Protection: disabled
    Crashed Thread:        0  CrBrowserMain  Dispatch queue: com.apple.main-thread
    Exception Type:        EXC_BAD_ACCESS (SIGSEGV)
    Exception Codes:       KERN_INVALID_ADDRESS at 0x000007fe5bee3688
    VM Regions Near 0x7fe5bee3688:
        MALLOC_LARGE           0000000119437000-0000000119479000 [  264K] rw-/rwx SM=PRV  
    --> 
        Memory Tag 255         00000d5900580000-00000d5900600000 [  512K] rw-/rwx SM=PRV  
    Application Specific Information:
    objc_msgSend() selector name: isMenuOpen
    Thread 0 Crashed:: CrBrowserMain  Dispatch queue: com.apple.main-thread
    0   libobjc.A.dylib               	0x00007fff616c1e9d objc_msgSend + 29
    1   com.github.electron.framework 	0x00000001076e1b63 0x1075ef000 + 994147
    2   com.github.electron.framework 	0x00000001076e0ace 0x1075ef000 + 989902
    3   com.github.electron.framework 	0x00000001076e1038 0x1075ef000 + 991288
    4   com.github.electron.framework 	0x00000001076e1aee 0x1075ef000 + 994030
    5   com.apple.AppKit              	0x00007fff37a8b70c -[NSView _viewDidChangeAppearance:] + 290
    6   com.apple.AppKit              	0x00007fff37a8b3a2 -[NSView _recursiveSendViewDidChangeAppearance:] + 57
    7   com.apple.AppKit              	0x00007fff37a8b45e -[NSView _recursiveSendViewDidChangeAppearance:] + 245
    8   com.apple.AppKit              	0x00007fff37a53c5e -[NSView _setSuperview:] + 1307
    9   com.apple.AppKit              	0x00007fff37a5879d -[NSView removeFromSuperview] + 252
    10  com.apple.AppKit              	0x00007fff37b6c32c -[NSView removeFromSuperviewWithoutNeedingDisplay] + 38
    11  com.apple.AppKit              	0x00007fff3831b998 -[NSView _finalize] + 1068
    12  com.apple.AppKit              	0x00007fff37a6657a -[NSView dealloc] + 164
    13  com.apple.AppKit              	0x00007fff37ce5249 -[NSNextStepFrame dealloc] + 94
    14  com.apple.AppKit              	0x00007fff37cc1149 -[NSWindow dealloc] + 1480
    15  com.apple.AppKit              	0x00007fff381f9053 -[NSStatusBarWindow dealloc] + 133
    16  libobjc.A.dylib               	0x00007fff616c5087 (anonymous namespace)::AutoreleasePoolPage::pop(void*) + 817
    17  com.apple.CoreFoundation      	0x00007fff3a49aa56 _CFAutoreleasePoolPop + 22
    18  com.apple.Foundation          	0x00007fff3c5cc8ad -[NSAutoreleasePool drain] + 144
    19  com.github.electron.framework 	0x000000010787dba6 0x1075ef000 + 2681766
    20  com.github.electron.framework 	0x00000001078322fa 0x1075ef000 + 2372346
    21  com.github.electron.framework 	0x000000010787d46f 0x1075ef000 + 2679919
    22  com.apple.CoreFoundation      	0x00007fff3a4f9a61 __CFRUNLOOP_IS_CALLING_OUT_TO_A_SOURCE0_PERFORM_FUNCTION__ + 17
    23  com.apple.CoreFoundation      	0x00007fff3a5b347c __CFRunLoopDoSource0 + 108
    24  com.apple.CoreFoundation      	0x00007fff3a4dc4c0 __CFRunLoopDoSources0 + 208
    25  com.apple.CoreFoundation      	0x00007fff3a4db93d __CFRunLoopRun + 1293
    26  com.apple.CoreFoundation      	0x00007fff3a4db1a3 CFRunLoopRunSpecific + 483
    27  com.apple.HIToolbox           	0x00007fff397c1d96 RunCurrentEventLoopInMode + 286
    28  com.apple.HIToolbox           	0x00007fff397c1b06 ReceiveNextEventCommon + 613
    29  com.apple.HIToolbox           	0x00007fff397c1884 _BlockUntilNextEventMatchingListInModeWithFilter + 64
    30  com.apple.AppKit              	0x00007fff37a73a73 _DPSNextEvent + 2085
    31  com.apple.AppKit              	0x00007fff38209e34 -[NSApplication(NSEvent) _nextEventMatchingEventMask:untilDate:inMode:dequeue:] + 3044
    32  com.apple.AppKit              	0x00007fff37a68885 -[NSApplication run] + 764
    33  com.github.electron.framework 	0x000000010787e37e 0x1075ef000 + 2683774
    34  com.github.electron.framework 	0x000000010787cd7c 0x1075ef000 + 2678140
    35  com.github.electron.framework 	0x00000001078932d3 0x1075ef000 + 2769619
    36  com.github.electron.framework 	0x0000000107aff75f 0x1075ef000 + 5310303
    37  com.github.electron.framework 	0x0000000107aff580 0x1075ef000 + 5309824
    38  com.github.electron.framework 	0x0000000107b01c02 0x1075ef000 + 5319682
    39  com.github.electron.framework 	0x0000000107afb5dc 0x1075ef000 + 5293532
    40  com.github.electron.framework 	0x0000000107a447b0 0x1075ef000 + 4544432
    41  com.github.electron.framework 	0x0000000109639cd4 0x1075ef000 + 33860820
    42  com.github.electron.framework 	0x0000000107a435c4 0x1075ef000 + 4539844
    43  com.github.electron.framework 	0x00000001075f1284 AtomMain + 68
    44  com.github.electron           	0x0000000104549f26 main + 38
    45  libdyld.dylib                 	0x00007fff622e9015 start + 1
