### Table 13: Malware Hashes Detected by Our Honeypots as Found in Virustotal

| SlNo | SHA256 Hash | Malware Variant Type |
|------|-------------|----------------------|
| 1    | 0c49abe389cb5f3e59d9f0950468714a68f15c4d1eb1a1c65c9b346ec30471b6 | Mirai |
| 2    | f064edd2cbb8ab8e0abcfc54406d076390d454b156a6bb71988ebe57b3a3af55 | Mirai |
| 3    | ce1de869640398a0e51f0f8ad798db97ecfac0b62a3095e823b4ad16f1ef5440 | Mirai |
| 4    | 4cd74e1b5d0441e3b44f4f22c85d41a38dc15ee7de45c6a88b3cadca3c144ef9 | Mirai |
| 5    | 7ba175cd5650ed0d9220003340aae62ee7dec51fea10bc3bf2204dc0899a3873 | Mirai |
| 6    | d3c865bda24fff7a86d6f70c6909527561097ab7f83db9118dbdd8244dded9b5 | Mirai |
| 7    | 78b6d223f22ed8bf2b628b308eed80a641d415c8a73fdb31994607f3e5e1b570 | Mirai |
| 8    | b89e37012f39d5abfedf07221cbb1e47e77229210362ad06185f042748118ede | Mirai |
| 9    | c06f048b5facaf690ca6bb29f7de30f8cb25803fdeb98e41dc700b1e114b367c | Mirai |
| 10   | 82080712e408cbeba704ebb29cfd4d1f85cf1f07086008c451331287aa902a16 | Mirai |
| 11   | 5acad83b6314ff5800b5131902a3790d32d9bae5c8a642a23e2936509197072d | Mirai |
| 12   | 222a737ed1ea068fbc48b3df47627ab9b1f9b06dbe0f0303d38d2546f0afef65 | Mirai |
| ...  | ...         | ...                  |
| 105  | 46d8fb0b1e46ff8ee0d65697080af8f7ee11d0a741ae0ca662aedad63a716ebd | Mirai |
| 106  | 6c5679eb7bd905b3ee86ea5770dbfd8fb50be013c6e93ad1df8fd75a6689d523 | Mirai |
| 107  | 057b9b5d11a4500bc0f46b9c2317ef8f82beaa6d95d5babe0194d4a7379d4f6f | Mirai |
| 108  | 439dc5e3183a9f4316472691791ca6c33c9e56bce480d88ed5a82c28481f6bc2 | Mirai |
| 109  | de82fb3927bb9357cdba7f8c595bb87940e7502acb8b605ea7eb0e876ac2808b | Mirai |
| 110  | 7965a27369b329db4004b871429432beb5c0301c03a48bf64d0961e951e712cf | Mirai |
| 111  | b936597d0d868607e45478b9be01a9365078d33bdda2a8c053500c729a8cbaf6 | Mirai |
| 112  | 0c1472a800bdaaad840110f93f3c4b248509f7505fc2a1330af2cdc7c2eccfc4 | Mirai |
| 113  | bfee2d1d34214a93024447bc054c1eea2b05111a74508bd74997eea6a7c4ef65 | Mirai |
| 114  | f060058462bfaef0bd9382de38d238b96ff4f886967b70020406dab38190bff6 | LuaBot |
| 115  | 0206efba7fc13700efd59354e9c6ca4d1ffe34f6689bd195798181824d46b83d | LuaBot |
| 116  | e1f6d967db61ee131dc32b817a9285f5da3ebe3e1f9a4281c8fac9339e2b4521 | LuaBot |
| 117  | 9866b4f2f533de7d742251915802dab355a59f10a51a8bf7d146fd4cb015cd5a | Brickerbot |
| 118  | 4f9b895a2785f9788fcae8743ab04a24b62e0962b1f8a28dc1206c52327b7916 | HEHbot |
| 119  | 8a2a28d164a6d4011e83ae3f930de8bf1e01ba2e013bee43460f2f58bdaf4109 | Photominer |
| 120  | 01d8e2bcf22422e9c995d43c403c63477389fc9f4a141ef3bbd31c8f5c6ef7e6 | Mozi |
| 121  | 01d8e2bcf22422e9c995d43c403c63477389fc9f4a141ef3bbd31c8f5c6ef7e6 | Mozi |
| 122  | c9038e31f798119d9e93e7eafbdd3e0f215e24ee2200fcd2a3ba460d549894ab | Lokibot |
| 123  | b47e281bfbeeb0758f8c625bed5c5a0d27ee8e0065ceeadd76b0010d226206f0 | WannaCry |
| 124  | 0a73291ab5607aef7db23863cf8e72f55bcb3c273bb47f00edf011515aeb5894 | WannaCry |
| 125  | d7d0f18071899c81ee90a7f8b266bd2cf22e988da7d0e991213f5fb4c8864e77 | LemonDuck |
| 126  | d1e82d4a37959a9e6b661e31b8c8c6d2813c93ac92508a2771b2491b04ea2485 | FritzFrog |

**Note:** The table lists the SHA256 hashes of malware detected by our honeypots, along with their respective variant types. The majority of the detected malware are variants of Mirai, but other types such as LuaBot, Brickerbot, HEHbot, Photominer, Mozi, Lokibot, WannaCry, LemonDuck, and FritzFrog are also present.

---

**IMC '21, November 2–4, 2021, Virtual Event, USA**

**Srinivasa et al.**

**Continuation of Table 13**

The above table is a continuation of the list of malware hashes detected by our honeypots, as found in VirusTotal. This data provides insights into the attack trends and misconfiguration pitfalls of IoT devices.
