### 通用型漏洞的应急响应
#### 主讲人：钟武强  
腾讯安全应急响应中心（TSRC）负责人

---

### 关于我
- **姓名**：钟武强（小五）
- **联系方式**：微信号 Mark4z5
- **职务**：腾讯安全应急响应中心（TSRC）负责人
- **职业经历**：曾任职于广东省信息安全测评中心、百度，现就职于腾讯
- **专业领域**：拥有超过十年的安全经验，擅长应急响应和渗透测试

### 关于腾讯
- **公司规模**：中国最大的互联网公司，全球市值排名第五
- **产品线**：涵盖多种形态的产品和服务
- **用户基础**：服务超过十亿用户，管理超百万台服务器

### 安全风险分类
- **账号风险**
- **欺诈风险**
- **漏洞攻击风险**
- **DDoS攻击风险**
- **办公网攻击风险**
- **员工违规风险**

### 漏洞案例回顾
1. **2014年 OpenSSL Heartbleed心脏出血漏洞**
   - **影响**：远程读取服务器内存数据，通过发送恶意HTTPS请求窃取用户cookie凭证
   - **受影响方**：各大互联网公司
   - **修复方案**：升级OpenSSL并重启WebServer等服务
   - **报告来源**：国内某漏洞平台收到的报告

2. **2016年 ImageMagick远程代码执行漏洞**
   - **影响**：上传一张图片即可入侵服务器
   - **受影响方**：各大互联网公司
   - **报告来源**：国内某漏洞平台收到的报告，国外某互联网巨头公司被曝光存在该漏洞

3. **2018年 Intel CPU信息泄漏漏洞**
   - **影响**：几乎全部Intel CPU受影响
   - **修复方案**：打微码补丁、操作系统补丁；但可能造成性能下降或蓝屏
   - **意外情况**：Windows补丁修复过程中出现本地提权漏洞

### 通用型漏洞的特点
- 影响范围广
- 修复难度大
- 处理棘手

### 腾讯如何开展通用型漏洞的应急响应
#### 应急响应流程
1. **漏洞获悉**
2. **漏洞评估**
3. **漏洞知会**
4. **漏洞发现**
5. **漏洞修复**
6. **攻击检测**
7. **攻击拦截**
8. **复盘总结**
9. **价值输出**

#### 第一阶段：漏洞获悉与评估
- **情报自动化采集**
  - 从200个软件源、100个资讯类源、400个Twitter微博源获取信息
  - 平均每15分钟采集一轮，日均采集1000条
  - 过滤后日均推送告警80条，紧急情报重点提醒
- **漏洞奖励计划**
  - 获取0day或最新公开漏洞情报
- **自主挖掘发现**
- **其他渠道**
  - 官方保密性漏洞通知（如Intel）
  - 私人圈子交流

- **评估要点**
  - 确认漏洞原因、危害、影响范围、PoC和修复方案
- **评估效率及准确性**
  - 依赖于人才和技术经验的积累
- **协调机制**
  - TSRC作为应急指挥中心，统一协调确保各项应急工作有序、快速开展
  - 第一时间通知安全团队、公司领导和业务同事，告知风险及后续工作

#### 第二阶段：漏洞发现与修复
- **全面发现存在漏洞的业务**
  - 通过主机安全系统本地采集受影响主机
  - 使用漏洞扫描器对全业务Web/APP进行检测
  - 人工排查重点业务，优先保证其安全
  - 引导业务同事进行自查
  - 白帽子协助发现漏网之鱼

- **修复优先级与闭环**
  - 通过邮件/微信/工单等方式通知业务修复
  - 提供修复方案和限期，外网优先修复
  - 使用工单系统进行闭环管理，避免跟丢
  - 持续确认和周知修复情况
  - 发布漏洞FAQ文章，减少沟通成本

#### 第三阶段：攻击检测与拦截
- **网络入侵检测系统**
  - 监测4/7层异常流量
- **主机入侵检测系统**
  - 检测webshell、命令执行等
- **Web应用防火墙（WAF）**
  - 拦截恶意请求
- **主机入侵检测系统**
  - 具备快速止损能力，一旦检测到攻击成功立即断网

#### 复盘总结与价值输出
- **按时间线整理应急过程**
  - 肯定成绩，暴露缺陷
  - 举一反三，提升安全能力，避免长期疲于救火
- **内部宣传与外部分享**
  - 发表内部文章，宣传安全价值，赢得业务持续配合
  - 发表外部文章，分享安全技术，为互联网安全贡献力量

### 腾讯TEG安全平台部
- **主要职责**：
  - 漏洞扫描
  - 入侵检测
  - 态势感知
  - WAF拦截
  - DDoS防御
  - 业务安全
  - 安全大数据
  - 应急响应
  - 红蓝对抗
  - 安全评估
  - 安全预研
  - AI安全
  - 等等

- **挑战与机遇**
  - 负责全公司安全问题，每天面临巨大挑战
  - 有挑战才有进步，欢迎加入我们

### 联系方式
- **官网**：[https://security.tencent.com](https://security.tencent.com)
- **邮箱**：PI:EMAIL
