### Table 11: Most Popular Vendors per Region and Device Type

We present the five most popular vendors for each device type across the eleven regions in our dataset. We have excluded two device types, wearables and home appliances, as they were not well-represented in our dataset, and splitting their vendor distribution by region would provide only a few devices in each region.

#### Work Appliance
- **HP**: 35.3%
- **Ricoh**: 13.9%
- **FoxConn**: 9.3%
- **Kyocera**: 8.4%
- **Sharp**: 7.9%

#### Storage
- **HP**: 39.6%
- **Ricoh**: 25.3%
- **Kyocera**: 22.8%
- **Sharp**: 3.3%
- **Xerox**: 1.2%

#### Surveillance
- **HP**: 39.9%
- **Ricoh**: 17.6%
- **Kyocera**: 8.6%
- **Xerox**: 7.4%
- **Sharp**: 5.6%

#### Home Router
- **HP**: 66.4%
- **FoxConn**: 9.3%
- **Kyocera**: 11.5%
- **Ricoh**: 3.5%
- **Xerox**: 3.1%

#### FTP
- **Ricoh**: 42.4%
- **Kyocera**: 25.9%
- **HP**: 23.6%
- **Sharp**: 3.7%
- **FoxConn**: 2.4%

#### Telnet
- **Kyocera**: 27.9%
- **HP**: 22.2%
- **Ricoh**: 18.8%
- **Sharp**: 9.5%
- **FoxConn**: 3.5%

#### Network Devices
- **NEC**: 12.9%
- **Buffalo**: 11.9%
- **TP-Link**: 8.4%
- **EFM**: 5.5%
- **Huawei**: 4.4%

#### Other Device Types
- **TP-Link**: 49.5%
- **Huawei**: 16.6%
- **Cambridge**: 6.4%
- **D-Link**: 5.3%
- **ZTE**: 3.0%

- **TP-Link**: 23.9%
- **ZTE**: 7.3%
- **Huawei**: 7.1%
- **D-Link**: 6.6%
- **Asus**: 3.8%

- **Microsoft**: 43.7%
- **Sony**: 13.6%
- **TP-Link**: 22.2%
- **Arris**: 7.7%
- **Technicolor**: 7.0%

- **Azurewave**: 10.7%
- **Huawei**: 6.5%
- **Mitrastar**: 4.6%
- **FoxConn**: 9.6%
- **Nintendo**: 6.6%

- **Philips**: 33.5%
- **Belkin**: 13.0%
- **SMA**: 5.9%
- **Enphase**: 4.7%
- **Hikvision**: 20.8%

- **W Digital**: 25.0%
- **Sagemcom**: 16.3%
- **Dahua**: 13.1%
- **Synology**: 13.1%
- **D-Link**: 9.7%

- **Seagate**: 8.5%
- **Intelbras**: 8.2%
- **Cisco**: 4.0%
- **Synology**: 37.2%
- **Buffalo**: 13.4%

- **ICP**: 12.1%
- **I-OData**: 8.8%
- **QNAP**: 8.2%
- **Synology**: 37.4%
- **D-Link**: 14.0%

- **W Digital**: 13.5%
- **ICP**: 7.7%
- **QNAP**: 4.1%
- **Hikvision**: 28.5%
- **Dahua**: 10.5%

- **Dahua**: 8.6%
- **Panasonic**: 5.0%
- **Bilian**: 2.4%
- **Hikvision**: 43.2%
- **Dahua**: 16.2%

- **Cisco**: 11.0%
- **Cisco**: 6.2%
- **ICP**: 3.2%
- **Nintendo**: 45.9%
- **Sony**: 21.9%

- **FoxConn**: 8.9%
- **Azurewave**: 8.0%
- **Microsoft**: 4.9%
- **Philips**: 49.0%
- **Belkin**: 7.0%

- **Belkin**: 4.8%
- **Gongjin Elec**: 4.2%
- **SMA**: 4.2%
- **Fn-Link**: 11.1%
- **Cambridge**: 11.1%

- **Microsoft**: 22.8%
- **FoxConn**: 20.9%
- **Azurewave**: 17.7%
- **TP-Link**: 11.1%
- **Sony**: 12.5%

- **Liteon**: 10.0%
- **– –**
- **– –**
- **Microsoft**: 37.3%
- **Sony**: 14.7%

- **FoxConn**: 13.2%
- **Azurewave**: 11.0%
- **Nintendo**: 9.5%
- **Philips**: 40.3%
- **Philips**: 25.1%

- **SMA**: 5.4%
- **eQ-3**: 3.2%
- **Murata**: 3.2%
- **Hikvision**: 20.6%
- **Synology**: 26.7%

- **W Digital**: 15.9%
- **Dahua**: 18.7%
- **Sagemcom**: 14.0%
- **Cisco**: 12.0%
- **Cisco**: 4.3%

- **ICP**: 9.7%
- **QNAP**: 7.6%
- **ICP**: 3.4%
- **Sagemcom**: 18.0%
- **Microsoft**: 30.6%

- **Nintendo**: 22.5%
- **Free**: 16.1%
- **Sony**: 14.9%
- **AVM**: 5.7%
- **FoxConn**: 11.5%

- **Huawei**: 5.2%
- **TP-Link**: 3.8%
- **Azurewave**: 8.3%
- **Philips**: 33.1%
- **Synology**: 38.7%

- **Alertme.com**: 17.7%
- **W Digital**: 17.7%
- **eQ-3**: 6.1%
- **Hager**: 5.7%
- **SMA**: 4.8%

- **ICP**: 7.2%
- **Technicolor**: 5.7%
- **QNAP**: 4.5%
- **TP-Link**: 24.2%
- **Huawei**: 7.4%

- **D-Link**: 7.4%
- **Tenda**: 7.3%
- **Haier**: 2.7%
- **Philips**: 26.3%
- **Microsoft**: 64.9%

- **FoxConn**: 8.7%
- **SMA**: 24.1%
- **Azurewave**: 5.7%
- **Matrix**: 14.0%
- **Sony**: 3.6%

- **Nintendo**: 2.0%
- **Espressif**: 1.3%
- **Xiaomi**: 1.3%
- **TP-Link**: 18.9%
- **Huawei**: 14.3%

- **ZTE**: 12.0%
- **Fiberhome**: 5.3%
- **Mikrotic**: 4.3%
- **Microsoft**: 44.6%
- **Nintendo**: 11.6%

- **FoxConn**: 11.5%
- **Azurewave**: 10.2%
- **Sony**: 6.5%
- **Inspur**: 34.7%
- **Philips**: 18.9%

- **Rf-Link**: 18.6%
- **SMA**: 8.2%
- **Belkin**: 2.0%
- **Technicolor**: 19.3%
- **Microsoft**: 43.7%

- **Huawei**: 15.4%
- **Nintendo**: 15.0%
- **Sagemcom**: 12.1%
- **FoxConn**: 11.1%
- **TP-Link**: 7.6%

- **Netcomm**: 4.7%
- **Azurewave**: 10.3%
- **Enphase**: 10.1%
- **Sony**: 9.3%
- **SMA**: 6.2%

- **Philips**: 30.3%
- **Belkin**: 20.3%
- **Liﬁ**: 16.4%
- **Huawei**: 25.6%
- **TP-Link**: 23.2%

- **ZTE**: 8.4%
- **D-Link**: 6.1%
- **Zyxel**: 4.7%
- **Huawei**: 19.7%
- **TP-Link**: 12.0%

- **Ubiquiti**: 8.1%
- **Mikrotic**: 6.7%
- **D-Link**: 6.5%
- **Microsoft**: 26.0%
- **FoxConn**: 18.7%

- **Sony**: 16.6%
- **Azurewave**: 12.2%
- **Liteon**: 7.7%
- **Microsoft**: 40.7%
- **FoxConn**: 14.5%

