以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 漏洞报告概览

| 标题 | 作者 | 受影响平台 | 漏洞类型 | 奖金 | 报告日期 |
| --- | --- | --- | --- | --- | --- |
| [如何在Scribd.com上发现信息泄露](https://medium.com/@androgaming1912/how-i-found-password-bypass-vulnerability-on-private-document-at-scribd-com-c0905e8dcc9a) | Zerb0a | Scribd.com | CSRF | $0 | 2018-11-22 |
| [如何永久免费使用Netflix账户](https://medium.com/@vignesh4303/how-i-hacked-netflix-users-use-it-free-forever-9febb1427262) | [Blueberryinfosec (@bbinfosec)](https://twitter.com/bbinfosec) | Netflix | Cookie注入, 权限提升 | $0 | 2018-11-19 |
| [通过搜索Google的漏洞跟踪器找到易受攻击的源代码](https://medium.com/@luanherrera/xs-searching-googles-bug-tracker-to-find-out-vulnerable-source-code-50d8135b7549) | [Luan Herrera (@lbherrera_)](https://twitter.com/lbherrera_) | Google | XS-Search攻击, 信息泄露 | $9,400 | 2018-11-19 |
| [NodeJS应用中的认证绕过——一个漏洞赏金故事](https://medium.com/@_bl4de/authentication-bypass-in-nodejs-application-a-bug-bounty-story-d34960256402) | [bl4de (@_bl4de)](https://twitter.com/_bl4de) | - | 认证绕过 | - | 2018-11-19 |
| [realestate.postnl.nl中的META标签XSS绕过](https://medium.com/bugbountywriteup/xss-bypass-using-meta-tag-in-realestate-postnl-nl-32db25db7308) | [Prial Islam Khan (@prial261)](https://twitter.com/prial261) | post.nl | XSS | $0, HoF, Swag | 2018-11-18 |
| [从安全配置错误到SMTP服务器访问](https://medium.com/bugbountywriteup/from-security-misconfiguration-to-gaining-access-of-smtp-server-ed833e757e6e) | Daniel V. | - | Phpinfo文件泄露 | - | 2018-11-18 |
| [Edmodo XSS漏洞](https://medium.com/@sameerphad72/edmodo-xss-bug-9c0fc9bdd0bf) | [Sameer Phad (@sameerphad72)](https://twitter.com/sameerphad72) | Edmodo | XSS | - | 2018-11-18 |
| [绕过“我是如何通过漏洞赏金赚取15,600美元的”](https://medium.com/@gopalsingh/bypassing-how-i-hacked-googles-bug-tracking-system-itself-for-15-600-in-bounties-16134466ab15) | [Gopal Singh (@gopalsinghcse)](https://twitter.com/gopalsinghcse) | Google | 逻辑缺陷 | $3,133.70 | 2018-11-17 |
| [Microsoft BingPlaces Business - (url)重定向漏洞](https://www.vulnerability-db.com/?q=articles/2018/11/16/microsoft-bingplaces-business-url-redirect-vulnerability) | Benjamin K.M. | Microsoft | 开放重定向 | - | 2018-11-16 |
| [隐藏输入字段中的XSS](https://portswigger.net/blog/xss-in-hidden-input-fields) | Portswigger | - | XSS | - | 2018-11-16 |
| [[POC] Garuda Indonesia网站上的跨站脚本](https://medium.com/@ariffadhlullah2310/poc-cross-site-scripting-on-garuda-indonesia-website-452f4864f615) | Arif-ITSEC111 | Garuda Indonesia | XSS | - | 2018-11-16 |
| [HackenProof客户案例：Uklon](https://blog.hackenproof.com/customer-stories/hackenproof-customer-story-uklon/?utm_content=80013255&utm_medium=social&utm_source=twitter) | [HackenProof (@hackenproof)](https://twitter.com/hackenproof) | Uklon | XSS, IDOR, 盲XSS, 账户接管 | - | 2018-11-16 |
| [npm静态服务器模块中最常见的安全漏洞](https://medium.com/@_bl4de/most-common-security-vulnerabilities-in-npm-static-server-modules-ef593c59d0ba) | [bl4de (@_bl4de)](https://twitter.com/_bl4de) | Node.js第三方模块 | 路径遍历, LFI, HTML注入, XSS | - | 2018-11-16 |
| [[email protected]通过跨站请求伪造进行账户接管](https://medium.com/@adeshkolte/lintern-ute-account-takeover-via-csrf-adesh-kolte-307f7065ee74) | [Adesh Kolte (@AdeshKolte)](https://twitter.com/AdeshKolte) | [[email protected]](/cdn-cgi/l/email-protection) | CSRF | - | 2018-11-16 |
| [HackerOne上的文件扩展名欺骗](https://cooltrickshome.blogspot.com/2018/11/spoofing-file-extensions-on-hackerone.html) | [Anurag Jain (@csanuragjain)](https://twitter.com/csanuragjain) | Hackerone | 无限制文件上传 | - | 2018-11-16 |
| [通过游戏仪表盘封禁揭示页面管理员](https://philippeharewood.com/disclose-page-admins-via-gaming-dashboard-bans/) | [Philippe Harewood](https://twitter.com/phwd) | Facebook | 信息泄露 | - | 2018-11-15 |
| [Facebook漏洞：在业务管理器中对业务管理员隐藏](https://medium.com/@ritishkumarsingh/facebook-vulnerability-hiding-from-the-view-of-business-admin-in-the-business-manager-a04515fee9dd) | Ritish Kumar Singh | Facebook | 逻辑缺陷, 授权缺陷 | $500 | 2018-11-15 |
| [如何发现影响约20个Uber子域的XSS](https://blog.fadyothman.com/how-i-discovered-xss-that-affects-over-20-uber-subdomains/) | [Fady Othman (@Fady_Othman)](https://twitter.com/Fady_Othman) | Uber | XSS | $2,500 | 2018-11-14 |
| [通过畸形时间破坏预约和面试安排](https://medium.com/@maxpasqua/breaking-appointments-and-job-interview-schedules-with-malformed-times-edef103e46ba) | Max Pasqua | Facebook | DoS | $500 | 2018-11-14 |
| [苹果产品中的所有包含‘d’的域名欺骗 [CVE-2018-4277]](https://xlab.tencent.com/en/2018/11/13/cve-2018-4277/) | [腾讯玄武实验室](https://twitter.com/xuanwulab) | Apple | 浏览器缺陷 | - | 2018-11-13 |
| [PrizmDoc中的OOB XXE [CVE-2018–15805]](https://medium.com/@mrnikhilsri/oob-xxe-in-prizmdoc-cve-2018-15805-dfb1e474345c) | Nik Srivastava | PrizmDoc | OOB XXE | - | 2018-11-13 |
| [[DOM基于的XSS] 或者为什么不应该过于依赖Cloudflare](https://medium.com/bugbountywriteup/dom-based-xss-or-why-you-should-not-rely-on-cloudflare-too-much-a1aa9f0ead7d) | [KatsuragiCSL (@ZuuitterE)](https://twitter.com/ZuuitterE) | - | DOM XSS | - | 2018-11-13 |
| [已修复的Facebook漏洞可能暴露您和您的朋友的私人信息](https://www.imperva.com/blog/facebook-privacy-bug/) | Ron Masas | Facebook | CSRF, 信息泄露 | - | 2018-11-13 |
