770,20171223-22:19:58:502,HiH_HiHealthDataInsertStore,30002312,"saveRealTimeHealthDatasStat() size = 1,totalTime = 48",E51,"saveRealTimeHealthDatasStat() size = ,totalTime = "
771,20171223-22:19:58:505,HiH_ListenerManager,30002312,startListenerChange subscribeList = [1],E63,startListenerChange subscribeList = []
772,20171223-22:19:58:505,HiH_HiHealthBinder,30002312,insertHiHealthData() end totalTime = 94,E33,insertHiHealthData() end totalTime = 
773,20171223-22:19:58:505,Step_FlushableStepDataCache,30002312,InsertCallBack() onSuccess  type = 0 data=true,E29,InsertCallBack() onSuccess  type =  data=true
774,20171223-22:19:58:505,Step_FlushableStepDataCache,30002312,InsertEvent success begin:25233975 end:25233979,E30,InsertEvent success begin: end:
775,20171223-22:19:58:505,Step_SPUtils,30002312,setWriteDBLastDataMinute=25233979,E60,setWriteDBLastDataMinute=
776,20171223-22:19:58:508,Step_SPUtils,30002312,setWriteDBLastDataMinute success,E59,setWriteDBLastDataMinute success
777,20171223-22:19:58:508,Step_LSC,30002312,flush2DB result success,E13,flush2DB result success
778,20171223-22:19:58:508,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038680000##7160##548930##8661##16256##27442416,E22,getTodayTotalDetailSteps = ##########
779,20171223-22:19:58:508,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038680000##7163##548935##8661##16256##27442827,E58,setTodayTotalDetailSteps=
780,20171223-22:19:58:512,HiH_HiSyncControl,30002312,checkInsertStatus stepSum or calorieSum is enough,E8,checkInsertStatus stepSum or calorieSum is enough
781,20171223-22:19:58:513,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=130116,E4,calculateCaloriesWithCache totalCalories=
782,20171223-22:19:58:514,HiH_HiSyncControl,30002312,checkInsertStatus stepStatSum or calorieStatSum is enough,E7,checkInsertStatus stepStatSum or calorieStatSum is enough
783,20171223-22:19:58:514,HiH_HiSyncControl,30002312,"stepSyncOrNot appSynTimes is 0, statsyncTimes is 0",E67,"stepSyncOrNot appSynTimes is , statsyncTimes is "
784,20171223-22:19:58:514,HiH_HiSyncControl,30002312,"startInsertSportSync start auto sync,app is 1",E62,"startInsertSportSync start auto sync,app is "
785,20171223-22:19:58:515,HiH_HiSyncUtil,30002312,"checkFirstSyncByType no such data in db ,type is 1 deviceCode is 0",E6,"checkFirstSyncByType no such data in db ,type is  deviceCode is "
786,20171223-22:19:58:515,HiH_HiSyncControl,30002312,"startInsertSportSync first 500 steps sync,do all sync",E61,"startInsertSportSync first  steps sync,do all sync"
