### Async-Signal-Safe Functions

In general, a function is considered async-signal-safe if it is either reentrant or atomic with respect to signals. This means that its execution cannot be interrupted by a signal handler.

#### POSIX.1 Requirements

The following table lists the functions required to be async-signal-safe by POSIX.1. Functions not otherwise noted were required to be async-signal-safe in POSIX.1-2001. The table also details changes in subsequent standards.

| Function                | Notes                                      |
|-------------------------|--------------------------------------------|
| `abort(3)`              | Added in POSIX.1-2001 TC1                  |
| `accept(2)`             |                                            |
| `access(2)`             |                                            |
| `aio_error(3)`          | See notes below                            |
| `aio_return(3)`         |                                            |
| `aio_suspend(3)`        | See notes below                            |
| `alarm(2)`              |                                            |
| `bind(2)`               |                                            |
| `cfgetispeed(3)`        |                                            |
| `cfgetospeed(3)`        |                                            |
| `cfsetispeed(3)`        |                                            |
| `cfsetospeed(3)`        |                                            |
| `chdir(2)`              |                                            |
| `chmod(2)`              |                                            |
| `chown(2)`              |                                            |
| `clock_gettime(2)`      |                                            |
| `close(2)`              |                                            |
| `connect(2)`            |                                            |
| `creat(2)`              |                                            |
| `dup(2)`                |                                            |
| `dup2(2)`               |                                            |
| `execl(3)`              | Added in POSIX.1-2008; see notes below     |
| `execle(3)`             | See notes below                            |
| `execv(3)`              | Added in POSIX.1-2008                      |
| `execve(2)`             |                                            |
| `_exit(2)`              |                                            |
| `faccessat(2)`          | Added in POSIX.1-2008                      |
| `fchdir(2)`             | Added in POSIX.1-2008 TC1                  |
| `fchmod(2)`             |                                            |
| `fchmodat(2)`           | Added in POSIX.1-2008                      |
| `fchown(2)`             |                                            |
| `fchownat(2)`           | Added in POSIX.1-2008                      |
| `fcntl(2)`              |                                            |
| `fdatasync(2)`          |                                            |
| `fexecve(3)`            | Added in POSIX.1-2008                      |
| `ffs(3)`                | Added in POSIX.1-2008 TC2                  |
| `fork(2)`               | See notes below                            |
| `fstat(2)`              |                                            |
| `fstatat(2)`            | Added in POSIX.1-2008                      |
| `fsync(2)`              |                                            |
| `ftruncate(2)`          |                                            |
| `futimens(3)`           | Added in POSIX.1-2008                      |
| `getegid(2)`            |                                            |
| `geteuid(2)`            |                                            |
| `getgid(2)`             |                                            |
| `getgroups(2)`          |                                            |
| `getpeername(2)`        |                                            |
| `getpgrp(2)`            |                                            |
| `getpid(2)`             |                                            |
| `getppid(2)`            |                                            |
| `getsockname(2)`        |                                            |
| `getsockopt(2)`         |                                            |
| `getuid(2)`             |                                            |
| `htonl(3)`              | Added in POSIX.1-2008 TC2                  |
| `htons(3)`              | Added in POSIX.1-2008 TC2                  |
| `kill(2)`               |                                            |
| `link(2)`               |                                            |
| `linkat(2)`             | Added in POSIX.1-2008                      |
| `listen(2)`             |                                            |
| `longjmp(3)`            | Added in POSIX.1-2008 TC2; see notes below |
| `lseek(2)`              |                                            |
| `lstat(2)`              |                                            |
| `memccpy(3)`            | Added in POSIX.1-2008 TC2                  |
| `memchr(3)`             | Added in POSIX.1-2008 TC2                  |
| `memcmp(3)`             | Added in POSIX.1-2008 TC2                  |
| `memcpy(3)`             | Added in POSIX.1-2008 TC2                  |
| `memmove(3)`            | Added in POSIX.1-2008 TC2                  |
| `memset(3)`             | Added in POSIX.1-2008 TC2                  |
| `mkdir(2)`              |                                            |
| `mkdirat(2)`            | Added in POSIX.1-2008                      |
| `mkfifo(3)`             |                                            |
| `mkfifoat(3)`           | Added in POSIX.1-2008                      |
| `mknod(2)`              | Added in POSIX.1-2008                      |
| `mknodat(2)`            | Added in POSIX.1-2008                      |
| `ntohl(3)`              | Added in POSIX.1-2008 TC2                  |
| `ntohs(3)`              | Added in POSIX.1-2008 TC2                  |
| `open(2)`               |                                            |
| `openat(2)`             | Added in POSIX.1-2008                      |
| `pause(2)`              |                                            |
| `pipe(2)`               |                                            |
| `poll(2)`               |                                            |
| `posix_trace_event(3)`  |                                            |
| `pselect(2)`            |                                            |
| `pthread_kill(3)`       | Added in POSIX.1-2008 TC1                  |
| `pthread_self(3)`       | Added in POSIX.1-2008 TC1                  |
| `pthread_sigmask(3)`    | Added in POSIX.1-2008 TC1                  |
| `raise(3)`              |                                            |
| `read(2)`               |                                            |
| `readlink(2)`           |                                            |
| `readlinkat(2)`         | Added in POSIX.1-2008                      |
| `recv(2)`               |                                            |
| `recvfrom(2)`           |                                            |
| `recvmsg(2)`            |                                            |
| `rename(2)`             |                                            |
