# G0094: Kimsuky

## Description
[Kimsuky](https://attack.mitre.org/groups/G0094) is a North Korean-based threat group that has been active since at least September 2013. The group primarily targets Korean think tanks and entities related to the Democratic People's Republic of Korea (DPRK) and nuclear activities. Kimsuky was identified as the actor behind the compromise of Korea Hydro & Nuclear Power Co. (Citation: EST Kimsuky April 2019)(Citation: BRI Kimsuky April 2019).

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows, macOS, Linux, Office 365, SaaS | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Link](https://attack.mitre.org/techniques/T1192/) | Kimsuky uses emails containing links to documents with malicious macros. | Packet capture, Web proxy, Email gateway, Detonation chamber, SSL/TLS inspection, DNS records, Mail server |
| Linux, macOS, Windows | [Exfiltration](https://attack.mitre.org/tactics/exfiltration/) | [Exfiltration Over Command and Control Channel](https://attack.mitre.org/techniques/T1041/) | Kimsuky exfiltrates data over its email C2 channel. | User interface, Process monitoring |
| Windows | [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [New Service](https://attack.mitre.org/techniques/T1050/) | Kimsuky creates new services for persistence. | Windows Registry, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows, AWS, GCP, Azure | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Information Discovery](https://attack.mitre.org/techniques/T1082/) | Kimsuky gathers information about the infected computer. | Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Disabling Security Tools](https://attack.mitre.org/techniques/T1089/) | Kimsuky disables the system firewall and turns off Windows Security Center. | API monitoring, File monitoring, Services, Windows Registry, Process command-line parameters, Anti-virus |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [Process Injection](https://attack.mitre.org/techniques/T1055/) | Kimsuky uses Win7Elevate to inject malicious code into explorer.exe. | API monitoring, Windows Registry, File monitoring, DLL monitoring, Process monitoring, Named Pipes |
| Linux, macOS, Windows | [Exfiltration](https://attack.mitre.org/tactics/exfiltration/) | [Data Encrypted](https://attack.mitre.org/techniques/T1022/) | Kimsuky encrypts data using RC4 before exfiltration. | File monitoring, Process monitoring, Process command-line parameters, Binary file metadata |
| Windows | [Persistence](https://attack.mitre.org/tactics/persistence/) | [Registry Run Keys / Startup Folder](https://attack.mitre.org/techniques/T1060/) | Kimsuky places scripts in the startup folder for persistence. | Windows Registry, File monitoring |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [File Deletion](https://attack.mitre.org/techniques/T1107/) | Kimsuky deletes exfiltrated data on disk after transmission. | File monitoring, Process command-line parameters, Binary file metadata |
