== 自定义命令功能
=== 摘要：
* 自定义命令旨在解决需要用户对数据自定义一些计算时使用，如用户想要将数据做一些复杂的功能时则可以使用该自定义命令来完成
[NOTE]
====
* 如需使用自定义命令，必须先保证manager上安装了python模块
** 检查方式：查看/opt/rizhiyi/parcels下有没有python目录)
** 如果没有，安装方式：去 3.4.0.0/3.3.0.0_update_3.4.0.0下载python包并导入manger激活即可。
* 目前仅支持python文件作为执行自定义命令的可执行文件
* 设置chunked参数时需要注意：
** 如果使用v2协议，则需要在python脚本中重写initialized方法并且返回命令类型
====
==== 自定义命令执行文件示例：
. 生成数据命令示例：
.. 脚本含义：用于生成如下10条数据
.. 脚本文件：
* image:images/script-generating_demo.png[]
.. 搜索示例：
* image:images/spl-generating_demo.png[]
.  可分布式处理命令示例：
.. 脚本含义：用于在当前行加入一个字段名为appname22的值为xxxxx的列
.. 脚本文件：
* image:images/script-streaming_demo.png[]
.. 搜索示例：
* image:images/spl-streaming_demo.png[]
.  集中处理命令示例：
.. 脚本含义：用于统计数据中ct字段的累积和
.. 脚本文件：
* image:images/script-centralized_demo.png[]
.. 搜索示例：
* image:images/spl-centralized_demo.png[]
.  格式转换命令示例：
.. 脚本含义：将输入数据进行排序(倒序)
.. 脚本文件：
* image:images/script-transformed_demo.png[]
.. 搜索示例：
* image:images/spl-transformed_demo.png[]
.  使用配置文件的arguments参数示例：
.. 脚本含义：通过配置文件里面的arguments参数来控制脚本调用不同的计算function
.. 脚本文件：
* image:images/script-caculate.png[]
.. 搜索示例：
... 计算count：
* image:images/spl-caculate_cnt.png[]
... 计算sum：
* image:images/spl-caculate_sum.png[]
.  使用spl命令参数示例：
.. 脚本含义：通过spl命令中的参数来控制脚本调用不同的计算function
.. 脚本文件：
* image:images/script-caculate2.png[]
.. 搜索示例：
... 计算count：
* image:images/spl-caculate2_cnt.png[]
... 计算avg：
* image:images/spl-caculate2_avg.png[]
