# G0078: Gorgon Group
## Description
The [Gorgon Group](https://attack.mitre.org/groups/G0078) is a threat actor with suspected ties to Pakistan. This group has been involved in a combination of criminal and targeted attacks, targeting government organizations in the United Kingdom, Spain, Russia, and the United States. (Citation: Unit 42 Gorgon Group Aug 2018)

## Tactics, Techniques, and Procedures (TTPs)
Below is a detailed breakdown of the tactics, techniques, and procedures used by the Gorgon Group, along with the relevant data sources for detection.

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| macOS, Windows | Defense Evasion | [Hidden Window](https://attack.mitre.org/techniques/T1143/) | The Gorgon Group uses the `-W Hidden` parameter in PowerShell to conceal windows by setting the `WindowStyle` parameter to hidden. | Windows event logs, PowerShell logs, Process command-line parameters, Process monitoring, File monitoring |
| Windows, macOS, Linux | Initial Access | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | The Gorgon Group sends emails with malicious Microsoft Office documents attached. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, Windows, macOS | Execution | [User Execution](https://attack.mitre.org/techniques/T1204/) | The Gorgon Group attempts to get users to launch malicious Microsoft Office attachments delivered via spearphishing emails. | Anti-virus, Process command-line parameters, Process monitoring |
| Windows | Defense Evasion | [Deobfuscate/Decode Files or Information](https://attack.mitre.org/techniques/T1140/) | The Gorgon Group's malware can decode Base64-encoded payloads and write the contents to a file. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Defense Evasion, Privilege Escalation | [Process Injection](https://attack.mitre.org/techniques/T1055/) | The Gorgon Group's malware can download a remote access tool, [ShiftyBug](https://attack.mitre.org/software/S0294), and inject it into another process. | API monitoring, Windows Registry, File monitoring, DLL monitoring, Process monitoring, Named Pipes |
| Linux, macOS, Windows | Defense Evasion | [Disabling Security Tools](https://attack.mitre.org/techniques/T1089/) | The Gorgon Group's malware can attempt to disable security features in Microsoft Office and Windows Defender using the `taskkill` command. | API monitoring, File monitoring, Services, Windows Registry, Process command-line parameters, Anti-virus |
| Windows | Defense Evasion | [Modify Registry](https://attack.mitre.org/techniques/T1112/) | The Gorgon Group's malware can deactivate security mechanisms in Microsoft Office by editing several keys and values under `HKCU\Software\Microsoft\Office`. | Windows Registry, File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Defense Evasion, Execution | [Scripting](https://attack.mitre.org/techniques/T1064/) | The Gorgon Group uses macros in spearphishing attachments and executes VBScripts on victim machines. | Process monitoring, File monitoring, Process command-line parameters |
| Windows | Persistence | [Shortcut Modification](https://attack.mitre.org/techniques/T1023/) | The Gorgon Group's malware can create a `.lnk` file and add a Registry Run key to establish persistence. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Command and Control | [Uncommonly Used Port](https://attack.mitre.org/techniques/T1065/) | The Gorgon Group uses a variant of [ShiftyBug](https://attack.mitre.org/software/S0294) that communicates with its C2 server over port 6666. | Netflow/Enclave netflow, Process use of network, Process monitoring |
| Linux, macOS, Windows | Command and Control, Lateral Movement | [Remote File Copy](https://attack.mitre.org/techniques/T1105/) | The Gorgon Group's malware can download additional files from C2 servers. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Linux, macOS, Windows | Execution | [Command-Line Interface](https://attack.mitre.org/techniques/T1059/) | The Gorgon Group's malware can use `cmd.exe` to download and execute payloads and to execute commands on the system. | Process monitoring, Process command-line parameters |
| Windows | Defense Evasion | [Process Hollowing](https://attack.mitre.org/techniques/T1093/) | The Gorgon Group's malware can use process hollowing to inject one of its trojans into another process. | Process monitoring, API monitoring |
| Windows | Execution | [Execution through API](https://attack.mitre.org/techniques/T1106/) | The Gorgon Group's malware can leverage the Windows API call, `CreateProcessA()`, for execution. | API monitoring, Process monitoring |
| Windows | Execution | [PowerShell](https://attack.mitre.org/techniques/T1086/) | The Gorgon Group's malware can use PowerShell commands to download and execute a payload and open a decoy document on the victim’s machine. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Windows | Persistence | [Registry Run Keys / Startup Folder](https://attack.mitre.org/techniques/T1060/) | The Gorgon Group's malware can create a `.lnk` file and add a Registry Run key to establish persistence. | Windows Registry, File monitoring |

This structured format provides a clear and comprehensive overview of the Gorgon Group's TTPs, making it easier to understand and detect their activities.
