# G0012: Darkhotel
## Description
[Darkhotel](https://attack.mitre.org/groups/G0012) is a threat group that has been active since at least 2004. The group primarily targets hotel and business center Wi-Fi and physical connections, as well as peer-to-peer and file-sharing networks. They have also employed spearphishing tactics. (Citation: Kaspersky Darkhotel)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows, macOS, Linux | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | Darkhotel has sent spearphishing emails with malicious RAR attachments. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, macOS, Windows, AWS, GCP, Azure | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Information Discovery](https://attack.mitre.org/techniques/T1082/) | Darkhotel has collected the hostname, OS version, service pack version, and processor architecture from the victim’s machine. | Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Process monitoring, Process command-line parameters |
| Linux, Windows, macOS | [Execution](https://attack.mitre.org/tactics/execution/) | [User Execution](https://attack.mitre.org/techniques/T1204/) | Darkhotel sent spearphishing emails with malicious attachments that required users to click on an image in the document to drop the malware to disk. | Anti-virus, Process command-line parameters, Process monitoring |
| Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Deobfuscate/Decode Files or Information](https://attack.mitre.org/techniques/T1140/) | Darkhotel has decrypted strings and imports using RC4 during execution. | File monitoring, Process monitoring, Process command-line parameters |
| Windows, Linux, macOS, SaaS | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Drive-by Compromise](https://attack.mitre.org/techniques/T1189/) | Darkhotel used embedded iframes on hotel login portals to redirect selected victims to download malware. | Packet capture, Network device logs, Process use of network, Web proxy, Network intrusion detection system, SSL/TLS inspection |
| Linux, macOS, Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Network Configuration Discovery](https://attack.mitre.org/techniques/T1016/) | Darkhotel has collected the IP address and network adapter information from the victim’s machine. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027/) | Darkhotel has obfuscated code used in an operation using RC4 and other methods. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |
| macOS, Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [Security Software Discovery](https://attack.mitre.org/techniques/T1063/) | Darkhotel has searched for anti-malware strings and anti-virus processes running on the system. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [Process Discovery](https://attack.mitre.org/techniques/T1057/) | Darkhotel has searched for anti-malware strings and anti-virus processes running on the system. | Process monitoring, Process command-line parameters |
| Windows | [Persistence](https://attack.mitre.org/tactics/persistence/) | [Shortcut Modification](https://attack.mitre.org/techniques/T1023/) | Darkhotel has dropped an mspaint.lnk shortcut to disk, which launches a shell script that downloads and executes a file. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Execution](https://attack.mitre.org/tactics/execution/) | [Scripting](https://attack.mitre.org/techniques/T1064/) | Darkhotel has dropped an mspaint.lnk shortcut to disk, which launches a shell script that downloads and executes a file. | Process monitoring, File monitoring, Process command-line parameters |
| Windows | [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/), [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Replication Through Removable Media](https://attack.mitre.org/techniques/T1091/) | Darkhotel's selective infector modifies executables stored on removable media as a method of spreading across computers. | File monitoring, Data loss prevention |
| macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Code Signing](https://attack.mitre.org/techniques/T1116/) | Darkhotel has used code-signing certificates on its malware that are either forged due to weak keys or stolen. Darkhotel has also stolen certificates and signed backdoors and downloaders with them. | Binary file metadata |
| Windows | [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/) | [Taint Shared Content](https://attack.mitre.org/techniques/T1080/) | Darkhotel used a virus that propagates by infecting executables stored on shared drives. | File monitoring, Process monitoring |
| Linux, macOS, Windows | [Collection](https://attack.mitre.org/tactics/collection/), [Credential Access](https://attack.mitre.org/tactics/credential-access/) | [Input Capture](https://attack.mitre.org/techniques/T1056/) | Darkhotel has used a keylogger. | Windows Registry, Kernel drivers, Process monitoring, API monitoring |
| Windows | [Persistence](https://attack.mitre.org/tactics/persistence/) | [Registry Run Keys / Startup Folder](https://attack.mitre.org/techniques/T1060/) | Darkhotel has established persistence by adding programs to the Run Registry key. | Windows Registry, File monitoring |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) used by the Darkhotel threat group, along with the relevant data sources for detecting and mitigating these activities.
