102: 将安全挡块7-的机床数据设为相同值
103: 将安全挡块8+和挡块公差的机床数据设为相同值
104: 将安全挡块8+的机床数据设为相同值
105: 将安全挡块8-和挡块公差的机床数据设为相同值
106: 将安全挡块8-的机床数据设为相同值
107: 将安全挡块9+和挡块公差的机床数据设为相同值
108: 将安全挡块9+的机床数据设为相同值
109: 将安全挡块9-和挡块公差的机床数据设为相同值
110: 将安全挡块9-的机床数据设为相同值
111: 将安全挡块10+和挡块公差的机床数据设为相同值
112: 将安全挡块10+的机床数据设为相同值
113: 将安全挡块10-和挡块公差的机床数据设为相同值
114: 将安全挡块10-的机床数据设为相同值
115: 将安全挡块11+和挡块公差的机床数据设为相同值
116: 将安全挡块11+的机床数据设为相同值
117: 将安全挡块11-和挡块公差的机床数据设为相同值
118: 将安全挡块11-的机床数据设为相同值
119: 将安全挡块12+和挡块公差的机床数据设为相同值
120: 将安全挡块12+的机床数据设为相同值
121: 将安全挡块12-和挡块公差的机床数据设为相同值
122: 将安全挡块12-的机床数据设为相同值
123: 将安全挡块13+和挡块公差的机床数据设为相同值
124: 将安全挡块13+的机床数据设为相同值
125: 将安全挡块13-和挡块公差的机床数据设为相同值
126: 将安全挡块13-的机床数据设为相同值
127: 将安全挡块14+和挡块公差的机床数据设为相同值
128: 将安全挡块14+的机床数据设为相同值
129: 将安全挡块14-和挡块公差的机床数据设为相同值
130: 将安全挡块14-的机床数据设为相同值
131: 将安全挡块15+和挡块公差的机床数据设为相同值
132: 将安全挡块15+的机床数据设为相同值
133: 将安全挡块15-和挡块公差的机床数据设为相同值
134: 将安全挡块15-的机床数据设为相同值
135: 将安全挡块16+和挡块公差的机床数据设为相同值
136: 将安全挡块16+的机床数据设为相同值
137: 将安全挡块16-和挡块公差的机床数据设为相同值
138: 将安全挡块16-的机床数据设为相同值
139: 将安全挡块17+和挡块公差的机床数据设为相同值
140: 将安全挡块17+的机床数据设为相同值
141: 将安全挡块17-和挡块公差的机床数据设为相同值
142: 将安全挡块17-的机床数据设为相同值
143: 将安全挡块18+和挡块公差的机床数据设为相同值
144: 将安全挡块18+的机床数据设为相同值
145: 将安全挡块18-和挡块公差的机床数据设为相同值
146: 将安全挡块18-的机床数据设为相同值
147: 将安全挡块19+和挡块公差的机床数据设为相同值
148: 将安全挡块19+的机床数据设为相同值
149: 将安全挡块19-和挡块公差的机床数据设为相同值
报警
468 诊断手册, 01/2022, 6FC5398-6BP40-6RA6
NC 报警
150: 将安全挡块19-的机床数据设为相同值
151: 将安全挡块20+和挡块公差的机床数据设为相同值
152: 将安全挡块20+的机床数据设为相同值
153: 将安全挡块20-和挡块公差的机床数据设为相同值
154: 将安全挡块20-的机床数据设为相同值
155: 将安全挡块21+和挡块公差的机床数据设为相同值
156: 将安全挡块21+的机床数据设为相同值
157: 将安全挡块21-和挡块公差的机床数据设为相同值
158: 将安全挡块21-的机床数据设为相同值
159: 将安全挡块22+和挡块公差的机床数据设为相同值
160: 将安全挡块22+的机床数据设为相同值
161: 将安全挡块22-和挡块公差的机床数据设为相同值
162: 将安全挡块22-的机床数据设为相同值
163: 将安全挡块23+和挡块公差的机床数据设为相同值
164: 将安全挡块23+的机床数据设为相同值
165: 将安全挡块23-和挡块公差的机床数据设为相同值
166: 将安全挡块23-的机床数据设为相同值
167: 将安全挡块24+和挡块公差的机床数据设为相同值
168: 将安全挡块24+的机床数据设为相同值
169: 将安全挡块24-和挡块公差的机床数据设为相同值
170: 将安全挡块24-的机床数据设为相同值
171: 将安全挡块25+和挡块公差的机床数据设为相同值
172: 将安全挡块25+的机床数据设为相同值
173: 将安全挡块25-和挡块公差的机床数据设为相同值
174: 将安全挡块25-的机床数据设为相同值
175: 将安全挡块26+和挡块公差的机床数据设为相同值
176: 将安全挡块26+的机床数据设为相同值
177: 将安全挡块26-和挡块公差的机床数据设为相同值
178: 将安全挡块26-的机床数据设为相同值
179: 将安全挡块27+和挡块公差的机床数据设为相同值
180: 将安全挡块27+的机床数据设为相同值
181: 将安全挡块27-和挡块公差的机床数据设为相同值
182: 将安全挡块27-的机床数据设为相同值
183: 将安全挡块28+和挡块公差的机床数据设为相同值
184: 将安全挡块28+的机床数据设为相同值
185: 将安全挡块28-和挡块公差的机床数据设为相同值
186: 将安全挡块28-的机床数据设为相同值
187: 将安全挡块29+和挡块公差的机床数据设为相同值
188: 将安全挡块29+的机床数据设为相同值
189: 将安全挡块29-和挡块公差的机床数据设为相同值
190: 将安全挡块29-的机床数据设为相同值
191: 将安全挡块30+和挡块公差的机床数据设为相同值
192: 将安全挡块30+的机床数据设为相同值
193: 将安全挡块30-和挡块公差的机床数据设为相同值
194: 将安全挡块30-的机床数据设为相同值
195: 将安全挡块1信号指定的机床数据设为相同值，检查挡块使能和挡块设置
196: 将安全挡块2信号指定的机床数据设为相同值，检查挡块使能和挡块设置
197: 将安全挡块3信号指定的机床数据设为相同值，检查挡块使能和挡块设置
198: 将安全挡块4信号指定的机床数据设为相同值，检查挡块使能和挡块设置
199: 将安全挡块5信号指定的机床数据设为相同值，检查挡块使能和挡块设置
200: 将安全挡块6信号指定的机床数据设为相同值，检查挡块使能和挡块设置
201: 将安全挡块7信号指定的机床数据设为相同值，检查挡块使能和挡块设置
报警
诊断手册, 01/2022, 6FC5398-6BP40-6RA6 469
NC 报警
202: 将安全挡块8信号指定的机床数据设为相同值，检查挡块使能和挡块设置
203: 将安全挡块9信号指定的机床数据设为相同值，检查挡块使能和挡块设置
204: 将安全挡块10信号指定的机床数据设为相同值，检查挡块使能和挡块设置
205: 将安全挡块11信号指定的机床数据设为相同值，检查挡块使能和挡块设置
206: 将安全挡块12信号指定的机床数据设为相同值，检查挡块使能和挡块设置
207: 将安全挡块13信号指定的机床数据设为相同值，检查挡块使能和挡块设置
208: 将安全挡块14信号指定的机床数据设为相同值，检查挡块使能和挡块设置
209: 将安全挡块15信号指定的机床数据设为相同值，检查挡块使能和挡块设置
210: 将安全挡块16信号指定的机床数据设为相同值，检查挡块使能和挡块设置
211: 将安全挡块17信号指定的机床数据设为相同值，检查挡块使能和挡块设置
212: 将安全挡块18信号指定的机床数据设为相同值，检查挡块使能和挡块设置
213: 将安全挡块19信号指定的机床数据设为相同值，检查挡块使能和挡块设置
214: 将安全挡块20信号指定的机床数据设为相同值，检查挡块使能和挡块设置
215: 将安全挡块21信号指定的机床数据设为相同值，检查挡块使能和挡块设置
216: 将安全挡块22信号指定的机床数据设为相同值，检查挡块使能和挡块设置
217: 将安全挡块23信号指定的机床数据设为相同值，检查挡块使能和挡块设置
