### FortiOS 6.2.5 Log Reference

#### Log Messages

##### 28720 - LOGID_APP_CTRL_SSH_PASS
- **Message ID**: 28720
- **Message Description**: LOGID_APP_CTRL_SSH_PASS
- **Message Meaning**: Application control (SSH) (pass)
- **Type**: App
- **Category**: SIGNATURE
- **Severity**: Information

**Log Field Name | Description | Data Type | Length**
- `action` | Action taken | string | 16
- `app` | Application name | string | 96
- `appcat` | Application category | string | 64
- `applist` | Application list | string | 64
- `authserver` | Authentication server | string | 32
- `date` | Date of the event | string | 10
- `devid` | Device ID | string | 16
- `direction` | Direction of traffic | string | 8
- `dstintf` | Destination interface | string | 64
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP address | ip | 39
- `dstport` | Destination port | uint16 | 5
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type | string | 32
- `fctuid` | FortiClient UID | string | 32
- `group` | Group name | string | 64
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `policyid` | Policy ID | uint32 | 10
- `profile` | Profile name | string | 36
- `profiletype` | Profile type | string | 36
- `proto` | Protocol number | uint8 | 3
- `service` | Service name | string | 80
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source interface | string | 64
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP address | ip | 39
- `srcport` | Source port | uint16 | 5
- `subtype` | Subtype | string | 20
- `time` | Time of the event | string | 8
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `user` | User name | string | 256
- `vd` | VDOM name | string | 32
- `vrf` | VRF ID | uint8 | 3

##### 28721 - LOGID_APP_CTRL_SSH_BLOCK
- **Message ID**: 28721
- **Message Description**: LOGID_APP_CTRL_SSH_BLOCK
- **Message Meaning**: Application control (SSH) (block)
- **Type**: App
- **Category**: SIGNATURE
- **Severity**: Warning

**Log Field Name | Description | Data Type | Length**
- `action` | Action taken | string | 16
- `app` | Application name | string | 96
- `appcat` | Application category | string | 64
- `applist` | Application list | string | 64
- `authserver` | Authentication server | string | 32
- `date` | Date of the event | string | 10
- `devid` | Device ID | string | 16
- `direction` | Direction of traffic | string | 8
- `dstintf` | Destination interface | string | 64
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP address | ip | 39
- `dstport` | Destination port | uint16 | 5
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type | string | 32
- `fctuid` | FortiClient UID | string | 32
- `group` | Group name | string | 64
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `policyid` | Policy ID | uint32 | 10
- `profile` | Profile name | string | 36
- `profiletype` | Profile type | string | 36
- `proto` | Protocol number | uint8 | 3
- `service` | Service name | string | 80
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source interface | string | 64
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP address | ip | 39
- `srcport` | Source port | uint16 | 5
- `subtype` | Subtype | string | 20
- `time` | Time of the event | string | 8
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `user` | User name | string | 256
- `vd` | VDOM name | string | 32
- `vrf` | VRF ID | uint8 | 3

##### 28736 - LOGID_APP_CTRL_PORT_ENF
- **Message ID**: 28736
- **Message Description**: LOGID_APP_CTRL_PORT_ENF
- **Message Meaning**: Application control port enforcement
- **Type**: App
- **Category**: PORT-VIOLATION
- **Severity**: Warning

**Log Field Name | Description | Data Type | Length**
- `action` | Action taken | string | 16
- `app` | Application name | string | 96
- `appcat` | Application category | string | 64
- `appid` | Application ID | uint32 | 10
- `applist` | Application list | string | 64
- `apprisk` | Application risk | string | 16
- `authserver` | Authentication server | string | 32
- `ccertissuer` | Client certificate issuer | string | 64
- `cloudaction` | Cloud action | string | 32
- `clouduser` | Cloud user | string | 256
- `craction` | Client reputation action | uint32 | 10
- `crlevel` | Client reputation level | string | 10
- `crscore` | Client reputation score | uint32 | 10
- `date` | Date of the event | string | 10
- `devid` | Device ID | string | 16
- `direction` | Direction of traffic | string | 8
- `dstintf` | Destination interface | string | 64
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP address | ip | 39
- `dstport` | Destination port | uint16 | 5
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type | string | 32
- `fctuid` | FortiClient UID | string | 32
- `filename` | File name | string | 256
- `filesize` | File size | uint64 | 10
- `forwardedfor` | Forwarded for | string | 128
- `group` | Group name | string | 64
- `hostname` | Hostname | string | 256
- `incidentserialno` | Incident serial number | uint32 | 10
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `msg` | Log message | string | 512
- `policyid` | Policy ID | uint32 | 10
- `profile` | Profile name | string | 36
- `profiletype` | Profile type | string | 36
- `proto` | Protocol number | uint8 | 3
- `rawdata` | Raw data | string | 20480
- `rawdataid` | Raw data ID | string | 10
- `scertcname` | Server certificate common name | string | 64
- `scertissuer` | Server certificate issuer | string | 64
- `service` | Service name | string | 80
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source interface | string | 64
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP address | ip | 39
- `srcport` | Source port | uint16 | 5
- `subtype` | Subtype | string | 20
- `time` | Time of the event | string | 8
- `trueclntip` | True client IP | ip | 39
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `url` | URL | string | 512
- `user` | User name | string | 256
- `vd` | VDOM name | string | 32
- `vrf` | VRF ID | uint8 | 3

##### 28737 - LOGID_APP_CTRL_PROTO_ENF
- **Message ID**: 28737
- **Message Description**: LOGID_APP_CTRL_PROTO_ENF
- **Message Meaning**: Application control protocol enforcement
- **Type**: App
- **Category**: PROTOCOL-VIOLATION
- **Severity**: Warning

**Log Field Name | Description | Data Type | Length**
- `action` | Action taken | string | 16
- `app` | Application name | string | 96
- `appcat` | Application category | string | 64
- `appid` | Application ID | uint32 | 10
- `applist` | Application list | string | 64
- `apprisk` | Application risk | string | 16
- `authserver` | Authentication server | string | 32
- `ccertissuer` | Client certificate issuer | string | 64
- `cloudaction` | Cloud action | string | 32
- `clouduser` | Cloud user | string | 256
- `craction` | Client reputation action | uint32 | 10
- `crlevel` | Client reputation level | string | 10
