### 360云安全系统

#### 概述
360云安全系统是全球最大的云安全平台，由360公司副总裁陆剑锋于2010年7月推出。该系统旨在应对互联网时代的新型安全威胁，尤其是木马病毒。

#### 互联网时代的主要安全威胁：木马
- **单机系统时代**：
  - 主要威胁：病毒
  - 传播介质：磁盘等移动介质
  - 传播方式：交叉感染
  - 传播目的：破坏电脑系统

- **互联网时代**：
  - 主要威胁：木马
  - 传播介质：互联网
  - 传播方式：网格状交叉模式
  - 传播目的：非法获取财产

#### 木马的多样性和危害
- **盗号木马**：盗取虚拟财产
- **僵尸网络**：对网站等进行攻击和勒索
- **肉鸡木马**：在用户电脑中弹出广告
- **间谍木马**：窃取隐私和商业机密

#### 木马黑色产业链
- **利益链**：
  - 造马
  - 改马
  - 卖马
  - 买马
  - 发马
  - 挂马
- **规模**：据CCTV报道，中国木马产业链年收入已达100亿元

#### 传统杀毒软件的问题
- **资源占用**：导致卡顿
- **扫描速度慢**
- **特征库更新慢**
- **易被免杀**
- **无法跟上木马变化速度**

#### 360云安全的优势
- **轻巧不卡机**
- **快速响应**：比传统杀软快10倍
- **无需更新特征库**即可查杀
- **新木马处理时间短**：从发现到用户查杀仅需30秒
- **庞大的用户社区**：捕获新木马速度快且全面
- **云端黑白名单+本地智能规则**

#### 360“云查杀”的特点
1. **完备的云端文件知识库**
2. **快速即时的云查询响应**
3. **对未知文件的即时处理**

#### 云安全需要解决的三大问题
1. **白名单的完备性**：360白名单已覆盖98%的合法程序
2. **黑名单的积累**：每日发现150万以上新增木马病毒
3. **新程序的收集能力**：利用搜索引擎蜘蛛技术、3亿用户实时反馈、软件认证服务及人工收集

#### 云端知识库的三大要素
- **基于奇虎强大的搜索引擎技术**
- **高性能查询**：千亿规模下的高效查询
- **高可靠性与高稳定性**

#### 未知文件的处理
- **多样化判别机制**：确保不漏报、不误报
- **海量处理能力**：日均数千万样本处理，平均响应时间30秒

#### 用户端的安全
- **自我保护**
- **启动项保护**
- **系统文件保护**
- **驱动防火墙**
- **进程保护**
- **网络保护**
- **键盘保护**
- **密码保护**

#### 安全 = “云 + 端”
- **主动防御技术**：基于云安全
- **最完整的防御**：最少的用户干预

#### 云安全的应用
- **浏览器防护**：鉴别挂马、钓鱼、欺诈网页
- **杀毒引擎**：采用云安全与特征扫描双引擎

#### 360云安全系统的规模
- **用户数**：超过3亿
- **日均未知样本分析数**：千万
- **日均检测网页数**：数千万
- **日均云查询数**：数百亿次
- **累计文件知识库**：近十亿
- **白名单覆盖率**：98%
- **未知样本平均处理时间**：30秒
- **IDC机房数**：120个
- **带宽**：150+G
- **服务器数**：近万台

#### 隐私保护
- **隐私承诺**
- **文件上传明确声明**：仅上传可执行程序
- **原始代码托管**
- **加入IAPP隐私保护协会**

#### 免费才能真安全
- **零成本**：武装和保护全体网民
- **假免费**：木马的温床
- **全面免费**：杀毒、防火墙、安全套装全部免费

#### 中国安全软件态势
- **用户覆盖**：免费的360系列产品已覆盖3亿用户，占据中国80%的网民

感谢您的关注！
