# G0064: APT33

## Description
APT33, a suspected Iranian threat group, has been active since at least 2013. The group has targeted organizations in multiple industries across the United States, Saudi Arabia, and South Korea, with a particular focus on the aviation and energy sectors. (Citations: FireEye APT33 Sept 2017, FireEye APT33 Webinar Sept 2017)

## Tactics, Techniques, and Procedures (TTPs)
The following table outlines the TTPs used by APT33, categorized by platform, tactic, technique, description, and data sources.

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | Defense Evasion | Execution Guardrails | APT33 uses kill dates in their malware to control execution. | Process monitoring |
| Linux, macOS, Windows, Office 365, Azure AD, SaaS | Credential Access | Brute Force | APT33 employs password spraying to gain access to target systems. | Office 365 account logs, Authentication logs |
| Linux, macOS, Windows | Command and Control | Commonly Used Port | APT33 uses port 443 for command and control. | Packet capture, Netflow/Enclave netflow, Process use of network, Process monitoring |
| Linux, macOS, Windows | Privilege Escalation | Exploitation for Privilege Escalation | APT33 uses a publicly available exploit for CVE-2017-0213 to escalate privileges. | Windows Error Reporting, Process monitoring, Application logs |
| Linux, macOS, Windows | Command and Control | Standard Cryptographic Protocol | APT33 uses AES for encrypting command and control traffic. | Packet capture, Netflow/Enclave netflow, Malware reverse engineering, Process use of network, Process monitoring, SSL/TLS inspection |
| Linux, macOS, Windows | Defense Evasion | Obfuscated Files or Information | APT33 encodes payloads using base64. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |
| Linux, macOS, Windows | Command and Control | Data Encoding | APT33 encodes command and control traffic using base64. | Packet capture, Process use of network, Process monitoring, Network protocol analysis |
| Windows | Execution, Persistence, Privilege Escalation | Scheduled Task | APT33 creates scheduled tasks to execute .vbe files multiple times a day. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Command and Control | Uncommonly Used Port | APT33 uses ports 808 and 880 for command and control. | Netflow/Enclave netflow, Process use of network, Process monitoring |
| Linux, macOS, Windows | Exfiltration | Exfiltration Over Alternative Protocol | APT33 uses FTP to exfiltrate files separately from the C2 channel. | User interface, Process monitoring, Process use of network, Packet capture, Netflow/Enclave netflow, Network protocol analysis |
| Linux, macOS, Windows | Command and Control | Standard Application Layer Protocol | APT33 uses HTTP for command and control. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Windows | Persistence | Registry Run Keys / Startup Folder | APT33 deploys DarkComet to the Startup folder of a victim. | Windows Registry, File monitoring |
| Windows | Execution | PowerShell | APT33 uses PowerShell to download files from the C2 server and run scripts. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Command and Control, Lateral Movement | Remote File Copy | APT33 downloads additional files and programs from its C2 server. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Linux, Windows, macOS | Exfiltration | Data Compressed | APT33 uses WinRAR to compress data before exfiltration. | Binary file metadata, File monitoring, Process command-line parameters, Process monitoring |
| Windows, Linux, macOS | Credential Access | Credential Dumping | APT33 uses tools like LaZagne, Mimikatz, Gpppassword, SniffPass, and ProcDump to dump credentials. | API monitoring, Process monitoring, PowerShell logs, Process command-line parameters |
| Linux, macOS, Windows | Credential Access, Discovery | Network Sniffing | APT33 uses SniffPass to collect credentials by sniffing network traffic. | Network device logs, Host network interface, Netflow/Enclave netflow, Process monitoring |
| Linux, Windows, macOS | Execution | Exploitation for Client Execution | APT33 attempts to exploit a known vulnerability in WinRAR (CVE-2018-20250). | Anti-virus, System calls, Process monitoring |
| Linux, Windows, macOS | Execution | User Execution | APT33 lures users to click links to malicious HTML applications delivered via spearphishing emails. | Anti-virus, Process command-line parameters, Process monitoring |
| Windows, macOS, Linux, Office 365, SaaS | Initial Access | Spearphishing Link | APT33 sends spearphishing emails containing links to .hta files. | Packet capture, Web proxy, Email gateway, Detonation chamber, SSL/TLS inspection, DNS records, Mail server |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | Defense Evasion, Persistence, Privilege Escalation, Initial Access | Valid Accounts | APT33 uses valid accounts for initial access and privilege escalation. | AWS CloudTrail logs, Stackdriver logs, Authentication logs, Process monitoring |

This structured format provides a clear and comprehensive overview of APT33's TTPs, making it easier to understand and address the group's activities.
