### 优化后的文本

#### 12. 界面修改
- **原版:**
- **修改版:**
  - 在界面上添加所有Beacon和在线Beacon元素。

#### 13. Logo及致谢信息修改
- **修改内容:**
  - 修改Logo图片。
  - 修改`creds.txt`中的致谢信息，并使用`bUTF8String`函数加载。
- **文件:**
  - `aggressor/dialogs/AboutDialog.class`

#### 14. 连接界面修改
- **修改内容:**
  - 修改连接TeamServer窗口的标题信息。
  - 修改新建连接Profile界面的提示标题信息和默认的账号、密码、端口。
  - 删除HostNames、Alias Names按钮，增加Readme.md按钮。
- **文件:**
  - `aggressor/dialogs/ConnectDialog.class`

#### 15. 编译差异
- **修改内容:**
  - 无任何修改，编译器编译差异导致。
- **文件:**
  - `aggressor/headless/Start.class`
  - `aggressor/MultiFrame.class`
  - `aggressor/TabManager.class`
  - `aggressor/windows/BeaconConsole.class`

- **新增命令:**
  - 新增`whoami`、`cat`命令。

#### 16. 暗桩删除
- **修改内容:**
  - 删除暗桩。
- **文件:**
  - `aggressor/windows/CredentialManager.class`

#### 17. 文件管理页面修改
- **修改内容:**
  - 修改下载文件管理页面的显示元素顺序。
- **文件:**
  - `aggressor/windows/DownloadBrowser.class`
  - `aggressor/windows/FileBrowser.class`
  - `aggressor/windows/Files.class`

- **编译差异:**
  - 无任何修改，编译器编译差异导致。

#### 18. 暗桩删除
- **修改内容:**
  - 删除暗桩。
- **文件:**
  - `aggressor/windows/KeystrokeBrowser.class`
  - `aggressor/windows/ScreenshotBrowser.class`

#### 19. 新增命令
- **修改内容:**
  - 新增`cat`命令。
- **文件:**
  - `aggressor/windows/SecureShellConsole.class`
  - `beacon/BeaconC2.class`

#### 20. 文件完整性检测删除
- **修改内容:**
  - 删除文件完整性检测。
- **文件:**
  - `beacon/BeaconData.class`

- **其他修改:**
  - 修改`shouldPad`属性为`false`。

#### 21. 构造函数删除
- **修改内容:**
  - 删除`NULL jitter task`的构造函数。
- **文件:**
  - `beacon/BeaconHTTP.class`

#### 22. 配置信息修改
- **修改内容:**
  - 修改配置信息的异或密钥。
- **文件:**
  - `beacon/BeaconPayload.class`

- **编译差异:**
  - 无任何修改，编译器编译差异导致。

#### 23. 注入行为修改
- **修改内容:**
  - 修改`Desktop`、`Hashdump`、`Screenshot`、`Logonpasswords`的注入行为，由`spawn`改为注入自身所在进程，绕过360核晶。
  - 新增`whoami`、`cat`命令处理函数。
- **文件:**
  - `beacon/TaskBeacon.class`

- **新增命令回调:**
  - 新增`cat`命令的命令执行处理回调。
- **文件:**
  - `beacon/TaskBeaconCallback.class`

#### 24. 编译差异
- **修改内容:**
  - 无任何修改，编译器编译差异导致。
- **文件:**
  - `beacon/Tasks.class`
  - `c2profile/MalleableHook.class`
  - `c2profile/MalleableStager.class`
  - `cloudstrike/NanoHTTPD.class`

#### 25. 服务器响应修改
- **修改内容:**
  - 修改CS HTTP server `this.sendError`默认返回的状态提示信息。
- **文件:**
  - `cloudstrike/WebServer.class`

- **其他修改:**
  - 修改URI checksum8编码的值。
  - 修复信息泄露漏洞CVE-2022-23317。

#### 26. 编译差异
- **修改内容:**
  - 无任何修改，编译器编译差异导致。
- **文件:**
  - `common/AssertUtils.class`
  - `common/AuthCrypto.class`
  - `common/Authorization.class`
  - `common/BeaconEntry.class`
  - `common/CommonUtils.class`
  - `common/Download.class`
  - `common/Helper.class`

- **新增函数:**
  - 新增`bUTF8String`函数。
  - 修改从资源中读取`cobaltstrike.auth`的方式。

#### 27. 日志和授权信息修改
- **修改内容:**
  - 修改beacon初始回连时在`eventconsole`界面显示的信息。
  - 修改读取beacon返回数据错误提示信息。
  - 修改授权信息。
  - 取消返回数据10240长度的限制。
- **文件:**
  - `common/LoggedEvent.class`
  - `common/MudgeSanity.class`

#### 28. 启动环境判断删除
- **修改内容:**
  - 删除判断系统启动环境的代码。
- **文件:**
  - `common/Requirements.class`

- **其他修改:**
  - 删除文件完整性校验不通过退出的暗桩。
- **文件:**
  - `common/Starter.class`
  - `common/Starter2.class`

#### 29. 资源和路径修改
- **修改内容:**
  - 新增`getResources`方法。
  - 修改`winvnc.dll`的路径。
  - 删除文件完整性校验暗桩。
  - 新增`getTranscripts`方法。
- **文件:**
  - `server/Resources.class`

#### 30. 登录校验头标志位修改
- **修改内容:**
  - 修改TeamServer登录时服务端校验的头标志位。
  - 修改TeamServer登录时客户端发送的校验头标志位。
- **文件:**
  - `server/ServerUtils.class`
  - `server/TeamServer.class`
  - `ssl/SecureSocket.class`

#### 31. URI结果修改
- **修改内容:**
  - 修改URI的结果为`DogCsDogCs.js`。
- **文件:**
  - `stagers/BeaconDNSStagerX86.class`
  - `stagers/BeaconHTTPSStagerX64.class`
  - `stagers/BeaconHTTPSStagerX86.class`
  - `stagers/BeaconHTTPStagerX64.class`
  - `stagers/BeaconHTTPStagerX86.class`
  - `stagers/BeaconPipeStagerX86.class`
  - `stagers/ForeignHTTPSStagerX86.class`
  - `stagers/ForeignHTTPStagerX86.class`
  - `stagers/ForeignReverseStagerX64.class`
  - `stagers/ForeignReverseStagerX86.class`
  - `stagers/GenericBindStager.class`
  - `stagers/GenericDNSStagerX86.class`
  - `stagers/GenericHTTPSStagerX64.class`
  - `stagers/GenericHTTPSStagerX86.class`
  - `stagers/GenericHTTPStager.class`
  - `stagers/GenericHTTPStagerX64.class`
  - `stagers/GenericHTTPStagerX86.class`
  - `stagers/GenericStager.class`
  - `stagers/Stagers.class`

#### 32. DLL修改
- **修改内容:**
  - 该DLL与外部`third-party`目录下的`vnc dll`相同。
  - 绕过`beaconEye`。
  - 修改XOR key。
- **文件:**
  - `resources/winvnc.x64.dll`
  - `resources/winvnc.x86.dll`
  - `sleeve/beacon.dll`
  - `sleeve/beacon.x64.dll`
  - `sleeve/dnsb.dll`
  - `sleeve/dnsb.x64.dll`
  - `sleeve/extc2.dll`
  - `sleeve/extc2.x64.dll`
  - `sleeve/hashdump.dll`
  - `sleeve/hashdump.x64.dll`
  - `sleeve/mimikatz-chrome.x64.dll`
  - `sleeve/mimikatz-chrome.x86.dll`
  - `sleeve/mimikatz-full.x64.dll`
  - `sleeve/mimikatz-full.x86.dll`
  - `sleeve/mimikatz-min.x64.dll`
  - `sleeve/mimikatz-min.x86.dll`
  - `sleeve/pivot.dll`
  - `sleeve/pivot.x64.dll`
  - `sleeve/screenshot.dll`
  - `sleeve/screenshot.x64.dll`

#### 33. 其他修改
- **修改内容:**
  - 修改原来的致谢信息，改为自定义的修改特性列表。
  - 修改默认CS生成Stager、Beacon的UA头，改为自定义UA头。
  - 新增FindAv插件。
- **文件:**
  - `resources/credits.txt`
  - `resources/ua.txt`
  - `scripts/default.cna`

希望这些修改能帮助你更好地理解和使用这些文件。如果有更多具体需求，请告诉我！
