### 优化后的文本

#### 21. DNS安全
通过对比、关键字和统计分析，可以识别出DNS异常。具体异常包括：
- **域名长度异常**：DNS请求中出现长度异常的域名。
- **域名数量异常**：DNS请求中出现异常大量的域名请求。
- **新的内部DNS服务器**：发现新的未授权的内部DNS服务器。

#### 22. 数据泄露
数据泄露是指企业的重要信息（如客户信息、财务信息、核心技术专利等）被攻击者窃取。通过关键字和统计分析，可以发现以下数据泄露问题：
- **敏感文件操作**：对敏感文件进行异常操作。
- **U盘大量复制文件**：通过U盘大量复制文件。
- **邮件附件过大**：单一来源邮件账户发送至外部邮箱的邮件附件过大。
- **邮件数量异常**：单一来源邮件账户发送至外部邮箱的邮件数量异常。
- **发送至竞争对手**：将邮件发送至竞争对手的邮箱。

#### 23. 数据破坏
数据破坏通常与打击竞争对手、勒索金钱或员工误操作有关。通过统计分析，可以发现以下数据破坏问题：
- **批量删除数据**：大量数据被删除。
- **批量重命名文件**：大量文件被重命名。

#### 24. 终端审计
终端指企业内部员工使用的办公设备。通过对比、关键字和关联分析，可以发现以下终端问题：
- **非授权软件和进程运行监控**：检测未经授权的软件和进程。
- **长时间未使用账户重新活动**：长时间未使用的账户突然重新活跃。
- **终端硬件配置变更**：终端硬件配置发生变更。
- **下班未关闭计算机**：下班后未关闭计算机。
- **U盘多台计算机使用**：同一个U盘在多台计算机上使用。
- **访问敏感文件路径**：用户访问敏感文件路径。
- **使用未注册U盘**：终端使用未注册的U盘。
- **使用禁用外设**：终端使用禁用的外部设备。
- **U盘多次使用**：同一个U盘在不同终端上多次使用。
- **终端出入站异常**：终端出入站行为异常。
- **终端硬件信息大量变更**：终端硬件信息发生大量变更。

#### 25. 用户行为审计
用户行为审计关注IT员工的日常操作。通过对比、关键字和关联分析，可以发现以下异常行为：
- **多次访问违规网站**：同一个用户多次访问不同的违规网站。
- **大量解密文件**：同一个用户大量解密文件。
- **大量重命名加密文件**：同一个用户大量重命名加密文件。
- **非法用户落地解密**：非法用户进行大量落地解密操作。
- **大量打印文件**：用户大量打印文件。
- **绕过堡垒机**：绕过堡垒机进行操作。
- **多设备登录**：同一个账户在不同设备上登录。
- **多账户同一设备**：多个账户在同一设备上登录。
- **多种渠道外发文件**：通过多种渠道（如U盘、即时消息、邮件）外发敏感文件。

#### 26. 操作审计
操作审计用于发现员工的违规行为。通过白名单和黑名单对比，可以识别高风险指令。

#### 27. 跨设备关联
跨设备关联指的是在单一设备上执行时威胁程度一般，但在多种设备上执行时威胁程度大增的操作。通过关联分析，可以发现以下跨设备异常：
- **端口扫描和防火墙告警**：在发现端口扫描的同时，防火墙建立连接告警。
- **远程漏洞利用**：远程利用漏洞成功创建账户。
- **FTP暴力破解**：FTP账户被暴力破解后，批量下载文件。
- **U盘传播病毒**：通过U盘传播病毒。
- **内网主机感染**：内网主机感染恶意程序后，连接C2并下载可疑程序。
- **服务器外网攻击**：在服务器遭受外网攻击后，主动对外发起恶意连接。
- **缓冲区溢出攻击**：服务器遭受缓冲区溢出攻击后，创建新账户。
- **多设备告警**：同一个地址在不同设备上出现告警事件。

### 12.7 用户行为分析
用户行为分析（UBA）应围绕安全事件的基本属性开展，如图12-2所示。

**UBA的侧重点包括：**
- **账户失陷检测**：检测账户是否被攻破。
- **主机失陷检测**：检测主机是否被攻破。
- **数据泄露检测**：检测数据泄露情况。
- **内部用户滥用**：检测内部用户的滥用行为。
- **提供事件调查上下文**：为事件调查提供上下文信息。

**UBA前置工作包括：**
- **收集基础数据**：如邮箱信息、登录日志、人员信息、组织信息等。
- **收集实施资料**：如安全域拓扑图、组织结构权限表、上网行为管理办法、新员工入职守则、内网系统操作规程、代维人员管理规程、机密文件定义办法等。
- **数据分类分级**：完成数据安全及数据敏感性的分类分级工作，并将所有操作行为定位到具体的人员。
- **收集数据源系统信息**：如防火墙、堡垒机、OA、CMDB、操作系统、VPN、WAF、IDS、DLP、AC等。
- **建立关键列表**：如防火墙策略变更历史记录、VPN登录记录、交换机及路由器登录记录、敏感文件所在设备目录等。
- **建立人员关键列表**：如在职员工名单、离职员工名单、驻场或机房代维人员名单等。

**UBA的分析对象包括：**
- **合作伙伴**
- **不满的雇员**
- **分心的雇员**
- **未培训的雇员**
- **恐怖分子**
- **内部窃贼**
- **竞争对手**
- **非理性雇员**
- **激进分子**
- **犯罪集团**

**UBA适用场景包括：**
- **意外泄露**
- **间谍活动**
- **伺机偷窃**
- **误用滥用**
- **产品篡改**
- **恶性事件**
- **金融欺诈**
- **物理偷窃**
- **蓄意破坏**

**应用示例：**
1. **异常账户**
   - **定义异常**：通过定义异常并结合OA系统分析异常账户。
   - **登录日志分析**：分析操作系统登录日志，判断是否为异常账户登录。
   - **管理员操作日志**：分析OA管理员账户操作日志，判断离职人员账户是否被删除。
   - **账户状态对比**：对比OA账户状态和离职人员账户信息，识别出离职人员账户未被删除的信息。

2. **业务相关**
   - **商业信息泄露**：通过统计和关联分析，发现业务数据大量导出和共用账户的问题。

3. **暴力破解**
   - **SSH账户暴力破解**
   - **FTP账户暴力破解**
   - **RDP账户暴力破解**
   - **数据库账户暴力破解**
   - **邮件服务账户暴力破解**
   - **Web后台账户暴力破解**

4. **登录异常**
   - **工作时段外在线**：工作时段外长时间在线。
   - **多IP地址同时在线**：同一个账户多IP地址同时在线。
   - **多地登录**：（公网环境）同一个账户多地登录。
   - **长期未登录突然登录**：长期未登录的账户突然登录。
   - **VPN异常**：
     - **异地登录**：同一个账户异地登录。
     - **不合理地点登录**：不合理地点登录。
