看起来你提供的数据是关于某种敏感度测试的结果，但格式有些混乱。我将尝试重新组织这些信息，使其更加清晰和专业。

---

### 敏感度测试结果

#### 1. Mani-贡献 (Mani-Contribution) CL敏感度
| 编号 | 结果 |
| --- | --- |
| 1 | 6 |
| 2 | 0 |
| 3 | 29 |
| 4 | 2 |
| 5 | 2 |
| 6 | 3 |
| 7 | 15 |
| 8 | 15 |
| 9 | 10 |
| 10 | 6 |
| 11 | 13 |
| 12 | 0 |
| 13 | 0 |
| 14 | 1 |
| 15 | 4 |
| 16 | 1 |
| 17 | 1 |
| 18 | 1 |
| 19 | 2 |
| 20 | 5 |
| 21 | 1 |
| 22 | 1 |

#### 2. FF敏感度 (FF Sensitivity)
| 编号 | 结果 |
| --- | --- |
| 1 | 5 |
| 2 | 0 |
| 3 | 0 |
| 4 | 0 |
| 5 | 0 |
| 6 | 2 |
| 7 | 11 |
| 8 | 6 |
| 9 | 0 |
| 10 | 0 |
| 11 | 0 |

#### 3. 对错误的敏感度 (Sensitivity to Error) - Mani-贡献
| 编号 | 结果 |
| --- | --- |
| 1 | 1 |
| 2 | 0 |
| 3 | 1 |
| 4 | 3 |
| 5 | 1 |
| 6 | 1 |
| 7 | 2 |
| 8 | 2 |
| 9 | 5 |
| 10 | 1 |
| 11 | 1 |
| 12 | 7 |
| 13 | 0 |
| 14 | 22 |
| 15 | 2 |
| 16 | 3 |
| 17 | 9 |
| 18 | 22 |
| 19 | 5 |
| 20 | 13 |
| 21 | 10 |
| 22 | 7 |

#### 4. CL敏感度 (CL Sensitivity)
| 编号 | 结果 |
| --- | --- |
| 1 | 1 |
| 2 | 0 |
| 3 | 2 |
| 4 | 8 |
| 5 | 2 |
| 6 | 4 |
| 7 | 4 |
| 8 | 1 |
| 9 | 12 |
| 10 | 1 |
| 11 | 1 |

#### 5. FF敏感度 (FF Sensitivity)
| 编号 | 结果 |
| --- | --- |
| 1 | 7 |
| 2 | 0 |
| 3 | 0 |
| 4 | 5 |
| 5 | 5 |
| 6 | 6 |
| 7 | 16 |
| 8 | 4 |
| 9 | 0 |
| 10 | 13 |
| 11 | 5 |

#### 6. 对错误的敏感度 (Sensitivity to Error) - Mani-贡献
| 编号 | 结果 |
| --- | --- |
| 1 | 8 |
| 2 | 0 |
| 3 | 25 |
| 4 | 1 |
| 5 | 4 |
| 6 | 10 |
| 7 | 17 |
| 8 | 5 |
| 9 | 13 |
| 10 | 9 |
| 11 | 9 |

#### 7. CL敏感度 (CL Sensitivity)
| 编号 | 结果 |
| --- | --- |
| 1 | 2 |
| 2 | 0 |
| 3 | 3 |
| 4 | 4 |
| 5 | 5 |
| 6 | 9 |
| 7 | 5 |
| 8 | 2 |
| 9 | 20 |
| 10 | 2 |
| 11 | 3 |

#### 8. FF敏感度 (FF Sensitivity)
| 编号 | 结果 |
| --- | --- |
| 1 | 8 |
| 2 | 0 |
| 3 | 0 |
| 4 | 6 |
| 5 | 8 |
| 6 | 4 |
| 7 | 22 |
| 8 | 5 |
| 9 | 0 |
| 10 | 20 |
| 11 | 0 |

#### 9. 对错误的敏感度 (Sensitivity to Error) - Mani-贡献
| 编号 | 结果 |
| --- | --- |
| 1 | 8 |
| 2 | 0 |
| 3 | 27 |
| 4 | 1 |
| 5 | 3 |
| 6 | 10 |
| 7 | 13 |
| 8 | 5 |

#### 10. CL敏感度 (CL Sensitivity)
| 编号 | 结果 |
| --- | --- |
| 1 | 3 |
| 2 | 0 |
| 3 | 6 |
| 4 | 6 |
| 5 | 8 |
| 6 | 19 |
| 7 | 9 |
| 8 | 3 |
| 9 | 15 |
| 10 | 44 |
| 11 | 7 |
| 12 | 11 |
| 13 | 3 |

---

希望这个格式更清晰、连贯且专业。如果有任何进一步的修改或补充，请告诉我！
