### 7.4 主要发现与影响

我们介绍了一种新的目标探测技术，称为POPsicle，旨在揭示并确认物理基础设施（如POP点）的存在和位置。为了评估我们的方法，我们使用了部署在IXP上的公开可访问的Looking Glass服务器，并在Equinix芝加哥IXP上进行了POPsicle的自定义部署。POPsicle比Ark探测器多发现了2.4倍的物理节点，在芝加哥的自定义部署中，POPsicle几乎找到了Atlas物理拓扑中所有已知的POP点。在对Cogent网络的案例研究中，POPsicle识别出了通过Atlas以及最近描述的基于反向DNS记录的技术 [21] 所知道的90%以上的POP点。此外，它还比Ark探测器或最新的Rocketfuel测量发现了更多的POP点。

总体而言，我们的结果显示，IXP部署提供了启动目标拓扑发现探测的最佳位置。由于Rocketfuel地图在网络研究中常用于需要现实且具有代表性的网络拓扑，我们认为这种部署范式在持续生成机器可读的拓扑信息方面具有巨大的潜力。我们计划在未来的工作中进一步探索在其他IXP上的部署，并构建一个完整的系统以生成最新的网络拓扑数据。

不同大陆上的IXP运营模式有所不同。例如，欧洲的IXP与北美的IXP完全不同。北美通常涉及商业托管运营商来操作对等设备，而欧洲的交换点往往是非营利、社区型组织，托管和对等设备的运营商是不同的[8]。我们相信这种对等模式会导致我们在研究中观察到的网络结果与欧洲网络的结果有所不同。

### 8. 结论与未来工作

本文的高层次目标是朝着拥有全面且准确的互联网拓扑图迈进，这些拓扑图可以应用于广泛的问题。我们的研究起点是理解物理层和网络层地图之间的差异。为此，我们比较了大量物理和网络地图库，发现物理地图通常显示更多节点（例如POP点和托管基础设施）。对于选定的网络，我们发现：(i) 物理地图通常显示更多的节点/链接；(ii) 在两个数据集中经常有大量的重叠节点/链接；(iii) 网络层地图有时包含一些不在物理地图中的节点/链接，这可能是由于发布的拓扑不完整或过时。

这些结果促使我们开发了针对已知或疑似物理位置节点的探测技术。我们开发了一种基于第一层启发式的探测源-目的地选择算法，称为POPsicle，该算法识别出的节点数量是标准探测方法的2.4倍。最后，我们发现位于IXP的源可以用来放大POPsicle的探测效果，因为IXP的视角可以被认为存在于所有在IXP进行对等的提供商中。为此，我们在一个真实的IXP上部署了POPsicle，并发现它几乎找到了与Atlas相比的所有POP点，以及比Ark更多的POP点。

在未来的工作中，我们计划利用更多的IXP视点和新IXP的部署，更广泛地确认和映射网络层节点。我们还打算通过更积极地修剪目的地VP的搜索空间来优化POPsicle算法的效率。未来的努力将包括与简单探测方法和其他有针对性的方法（如iPlane [33]）进行基准测试，以便我们可以更广泛地推理和量化工具的有效性和效率。最后，我们正在考虑如何完全自动化并将POPsicle与Internet Atlas集成，以快速准确地组装多层网络服务提供商的地图。

### 9. 致谢

我们感谢我们的指导者Michael Bailey和匿名评审者的宝贵反馈。我们还要感谢Michael Blodgett、Peter Helmenstine (Telx)、Sven Engelhardt (GTT) 和 Adam Eaglestone (Integra) 的反馈和有益讨论。我们也感谢Jeff Bartig (Equinix Chicago and Mad-IX)、Michael Hare (DoIT) 和 Bruce LaBuda (DoIT) 帮助我们在Equinix Chicago运行POPsicle实验。

本材料基于美国国家科学基金会的资助，项目编号CNS-1054985, CNS-0905186, ARL grant W911NF1110227, DHS BAA 11-01 和 AFRL grant FA8750-12-2-0328。本文表达的观点、发现和结论或建议仅代表作者观点，并不一定反映NSF、ARL、DHS或AFRL的观点。

### 10. 参考文献

[略]

### 附录A: 比较结果

表6：北美地区ISP的物理和网络层拓扑中观察到的节点和链接摘要比较

| ISP                | 物理层节点 | 物理层链接 | 网络层节点 | 网络层链接 |
|--------------------|------------|------------|------------|------------|
| AT&T               | 25         | 186        | 47         | 122        |
| Cogent             | 63         | 240        | 69         | 11         |
| NTT                | 18         | 21         | 22         | 27         |
| Tinet              | 48         | 50         | 33         | 11         |
| Sprint             | 28         | 6          | 31         | 6          |
| Level3             | 7          | 9          | 9          | 10         |
| Tata               | 20         | 18         | 16         | 24         |
| Abiline            | 27         | 70         | 51         | 19         |
| Ans                | 9          | 6          | 13         | 82         |
| ATMnet             | 66         | 61         | 22         | 24         |
| Bandcon            | 34         | 57         | 245        | 216        |
| BBNPlanet          | 132        | 102        | 336        | 111        |
| BellCanada         | 14         | 25         | 22         | 28         |
| BellSouth          | 28         | 65         | 66         | 76         |
| BTNorthAmerica     | 17         | 31         | 11         | 38         |
| CompuServe         | 7          | 8          | 36         | 20         |
| DarkStrand         | 14         | 29         | 53         | 21         |
| DataXchange        | 37         | 36         | 97         | 64         |
| Digex              | 23         | 12         | 7          | 17         |
| Epoch              | 10         | 39         | 25         | 15         |
| Getnet             | 61         | 26         | 27         | 70         |
| Globalcenter       | 20         | 101        | 20         | 101        |
| Gridnet            | 74         | 79         | 23         | 34         |
| HiberniaCanada     | 49         | 39         | 122        | 65         |
| HiberniaUS         | 64         | 67         | 129        | 0          |
| Highwinds          | 0          | 8          | 0          | 0          |
| HostwayIntl.       | 0          | 0          | 0          | 0          |
| HE                 | 0          | 0          | 0          | 0          |
| Integra            | 0          | 0          | 0          | 0          |
| Intelliﬁber        | 0          | 0          | 0          | 0          |
| Iris               | 0          | 0          | 0          | 0          |
| Istar              | 0          | 0          | 0          | 0          |
| Layer42            | 0          | 0          | 0          | 0          |
| Napnet             | 0          | 0          | 0          | 0          |
| Navigata           | 0          | 0          | 0          | 0          |
| Netrail            | 0          | 0          | 0          | 0          |
| NetworkUSA         | 0          | 0          | 0          | 0          |
| Noel               | 0          | 0          | 0          | 0          |
| NSFnet             | 0          | 0          | 0          | 0          |
| Ntelos             | 0          | 0          | 0          | 0          |
| Oxford             | 0          | 0          | 0          | 0          |
| PacketExchange     | 0          | 0          | 0          | 0          |
| Palmetto           | 0          | 0          | 0          | 0          |
| Peer1              | 0          | 0          | 0          | 0          |
| RedBestel          | 0          | 0          | 0          | 0          |
| Syringa            | 0          | 0          | 0          | 0          |
| USSignal           | 0          | 0          | 0          | 0          |
| VisionNet          | 0          | 0          | 0          | 0          |
| Xeex               | 0          | 0          | 0          | 0          |
| Xspedius           | 0          | 0          | 0          | 0          |

注：部分ISP的数据为零，表示在相应的物理或网络层拓扑中未找到相关节点或链接。
