# G0069: MuddyWater

## Description
MuddyWater is an Iranian threat group primarily targeting Middle Eastern nations, with some operations extending to European and North American countries. The group's primary targets include the telecommunications, government (IT services), and oil sectors. Initially, MuddyWater's activities were linked to FIN7, but it is now believed to be a distinct group, possibly motivated by espionage.

**References:**
- [Unit 42 MuddyWater Nov 2017](https://attack.mitre.org/groups/G0069)
- [Symantec MuddyWater Dec 2018](https://attack.mitre.org/groups/G0069)
- [ClearSky MuddyWater Nov 2018](https://attack.mitre.org/groups/G0069)

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | Credential Access | Credentials from Web Browsers | MuddyWater has used tools to steal passwords saved in victims' web browsers. | Process monitoring, PowerShell logs, File monitoring, API monitoring |
| Linux, macOS, Windows | Command and Control | Multi-Stage Channels | MuddyWater uses one C2 for enumeration scripts and web log monitoring, and another C2 for data exfiltration. | Netflow/Enclave netflow, Network device logs, Network protocol analysis, Packet capture, Process use of network |
| Linux, macOS, Windows | Defense Evasion | Compile After Delivery | MuddyWater uses the .NET csc.exe tool to compile executables from downloaded C# code. | Process command-line parameters, Process monitoring, File monitoring |
| Linux, macOS, Windows | Discovery | System Owner/User Discovery | MuddyWater collects the victim’s username using malware. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Discovery | System Network Configuration Discovery | MuddyWater collects the victim’s IP address and domain name using malware. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Collection | Screen Capture | MuddyWater captures screenshots of the victim’s machine using malware. | API monitoring, Process monitoring, File monitoring |
| macOS, Windows | Discovery | Security Software Discovery | MuddyWater checks running processes against a hard-coded list of security tools. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure | Discovery | System Information Discovery | MuddyWater collects the victim’s OS version and machine name using malware. | Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Process monitoring, Process command-line parameters |
| Windows | Execution | Dynamic Data Exchange | MuddyWater executes PowerShell scripts via DDE. | API monitoring, DLL monitoring, Process monitoring, Windows Registry, Windows event logs |
| Linux, macOS, Windows | Discovery | Process Discovery | MuddyWater obtains a list of running processes on the system. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Discovery | File and Directory Discovery | MuddyWater checks if the ProgramData folder contains files or folders with specific keywords. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Command and Control, Lateral Movement | Remote File Copy | MuddyWater uploads additional files to the victim’s machine. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Linux, macOS, Windows | Execution | Command-Line Interface | MuddyWater uses a custom tool to create reverse shells. | Process monitoring, Process command-line parameters |
| Windows | Lateral Movement, Execution | Component Object Model and Distributed COM | MuddyWater executes malware via COM and Outlook. | PowerShell logs, API monitoring, Authentication logs, DLL monitoring, Packet capture, Process monitoring, Windows Registry, Windows event logs |
| Linux, macOS, Windows, AWS, GCP, Azure | Credential Access | Credentials in Files | MuddyWater steals passwords saved in victim email. | File monitoring, Process command-line parameters |
| Linux, Windows, macOS | Exfiltration | Data Compressed | MuddyWater uses makecab.exe to compress stolen data. | Binary file metadata, File monitoring, Process command-line parameters, Process monitoring |
| Windows | Execution | Windows Management Instrumentation | MuddyWater leverages WMI for execution and querying host information. | Authentication logs, Netflow/Enclave netflow, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Command and Control, Defense Evasion | Connection Proxy | MuddyWater controls POWERSTATS from behind a proxy network to obfuscate the C2 location. | Process use of network, Process monitoring, Netflow/Enclave netflow, Packet capture |
| Windows | Defense Evasion, Execution | Rundll32 | MuddyWater uses rundll32.exe in a Registry Run key to execute a .dll. | File monitoring, Process monitoring, Process command-line parameters, Binary file metadata |
