- 0x09
	- 10.2 [VB2017 preview: Walking in your enemy's shadow: when fourth-party collection becomes attribution hell](https://www.virusbulletin.com/blog/2017/10/vb2017-preview-walking-your-enemys-shadow-when-fourth-party-collection-becomes-attribution-hell/)
	- 10.3 [沉睡一年的“脏牛”又被攻击者利用，Android用户你们还好吗？](http://www.freebuf.com/news/149327.html)
	- 10.5 [“脏牛漏洞”恶意Root软件分析报告](http://www.freebuf.com/articles/terminal/149406.html)
	- 10.9 [“薅羊毛”漏洞分析|我是如何到处“混吃混喝”的](http://www.freebuf.com/vuls/149251.html)
	- 10.9 [逆天而行：我们如何在云中发掘僵尸网络](http://www.freebuf.com/articles/network/149560.html)
	- 10.9 [一次误报引发的DNS检测方案的思考：DNS隧道检测平民解决方案](http://www.freebuf.com/articles/network/149328.html)
	- 10.10 [在Mac Linux上如何快速判断一个文件是否是恶意程序？](http://www.freebuf.com/articles/system/149827.html)
	- 10.10 [“锁大师”暗刷流量劫持主页，已影响百万用户](http://www.freebuf.com/articles/web/149801.html)
	- 10.11 [Watch Out! Difficult-to-Detect Phishing Attack Can Steal Your Apple ID Password](http://thehackernews.com/2017/10/apple-id-password-hacking.html)
	- 10.11 [FormBook malware used in high-volume distribution campaigns targeting organizations in the US and South Korea](http://securityaffairs.co/wordpress/64110/malware/formbook-malware-campaigns.html)
	- 10.11 [Hijacker：一款All-in-One型的Android端WiFi破解工具](http://www.freebuf.com/sectool/149812.html)
	- 10.11 [Pentesting Fast Infoset based web applications with Burp](http://blog.gdssecurity.com/labs/2017/10/10/pentesting-fast-infoset-based-web-applications-with-burp.html)
	- 10.11 [Researchers Discover New Android Banking Trojan](https://www.bleepingcomputer.com/news/security/researchers-discover-new-android-banking-trojan/)
	- 10.12 [Apple’s intermittent password prompts prime iOS users for phishing](https://www.helpnetsecurity.com/2017/10/11/ios-phishing/)
	- 10.12 [【系列一】我可能装了个假狗](http://www.freebuf.com/column/150376.html)
	- 10.12 [Israel Hacked Kaspersky, Caught Russian Spies Hacking American Spies, But...](http://thehackernews.com/2017/10/kaspersky-nsa-russian-hackers.html)
	- 10.12 [400元刷出4000万的播放量，视频行业存在怎样的灰色产业？](http://www.pingwest.com/grey-area/)
	- 10.13 [警惕出现下一个“WannaCry”，安天紧急发布CVE-2017-11780漏洞免疫工具](http://www.freebuf.com/news/150409.html)
	- 10.13 [新型IoT机顶盒恶意软件Rowdy网络分析报告](http://blog.nsfocus.net/iot-set-top-box-malware-rowdy-network-analysis-report/)
	- 10.13 [深度学习框架中的魔鬼：探究人工智能系统中的安全问题](http://www.freebuf.com/articles/neopoints/150247.html)
	- 10.14 [DoubleLocker: Innovative Android Malware With A Cunning Infection Vector](http://www.informationsecuritybuzz.com/news/doublelocker-innovative-android-malware-cunning-infection-vector/)
