["AppStream
模块"一节](#_repositories.html#AppStream-modules "AppStream 模块"){.xref}。
::: informaltable
  软件包                                          许可证                                                                                                                                                       应用程序兼容性级别   RHEL 9 次版本
  ----------------------------------------------- ------------------------------------------------------------------------------------------------------------------------------------------------------------ -------------------- ---------------
  389-ds-base                                     GPLv3+ 和 ASL 2.0                                                                                                                                            2                    9.0
  389-ds-base-libs                                GPLv3+ 和 ASL 2.0                                                                                                                                            2                    9.0
  a52dec                                          GPLv2                                                                                                                                                        2                    9.0
  aajohan-comfortaa-fonts                         OFL                                                                                                                                                          2                    9.0
  aardvark-dns                                    ASL 2.0 和 BSD 和 MIT                                                                                                                                        3                    9.0
  abattis-cantarell-fonts                         OFL                                                                                                                                                          2                    9.0
  accountsservice                                 GPLv3+                                                                                                                                                       2                    9.0
  accountsservice-libs                            GPLv3+                                                                                                                                                       2                    9.0
  acpid                                           GPLv2+                                                                                                                                                       2                    9.0
  adobe-mappings-cmap                             BSD                                                                                                                                                          2                    9.0
  adobe-mappings-cmap-deprecated                  BSD                                                                                                                                                          2                    9.0
  adobe-mappings-pdf                              BSD                                                                                                                                                          2                    9.0
  adwaita-cursor-theme                            LGPLv3+ 或 CC-BY-SA                                                                                                                                          4                    9.0
  adwaita-gtk2-theme                              LGPLv2+                                                                                                                                                      4                    9.0
  adwaita-icon-theme                              LGPLv3+ 或 CC-BY-SA                                                                                                                                          4                    9.0
  adwaita-qt5                                     LGPLv2+ 和 GPLv2+                                                                                                                                            2                    9.0
  afterburn                                       ASL 2.0 和 MIT 和 BSD 和 zlib                                                                                                                                不适用               9.0
  burn-dracut                                     ASL 2.0                                                                                                                                                      不适用               9.0
  AIDE                                            GPLv2+                                                                                                                                                       2                    9.0
  alsa-firmware                                   GPL+ 和 BSD 和 GPLv2+ 和 GPLv2 和 LGPLv2+                                                                                                                    不适用               9.0
  alsa-lib                                        LGPLv2+                                                                                                                                                      2                    9.0
  alsa-lib-devel                                  LGPLv2+                                                                                                                                                      2                    9.0
  alsa-plugins-arcamav                            LGPLv2+                                                                                                                                                      2                    9.0
  alsa-plugins-maemo                              LGPLv2+                                                                                                                                                      2                    9.0
  alsa-plugins-oss                                LGPLv2+                                                                                                                                                      2                    9.0
  alsa-plugins-samplerate                         GPLv2+                                                                                                                                                       2                    9.0
  alsa-plugins-speex                              LGPLv2+                                                                                                                                                      2                    9.0
  alsa-plugins-upmix                              LGPLv2+                                                                                                                                                      2                    9.0
  alsa-plugins-usbstream                          LGPLv2+                                                                                                                                                      2                    9.0
  alsa-plugins-vdownmix                           LGPLv2+                                                                                                                                                      2                    9.0
  alsa-sof-firmware                               BSD                                                                                                                                                          不适用               9.0
  alsa-tools-firmware                             GPLv2+                                                                                                                                                       不适用               9.0
  alsa-ucm                                        BSD                                                                                                                                                          2                    9.0
  alsa-utils                                      GPLv2+                                                                                                                                                       2                    9.0
  anaconda                                        GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  anaconda-core                                   GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  anaconda-dracut                                 GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  anaconda-gui                                    GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  anaconda-install-env-deps                       GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  anaconda-install-img-deps                       GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  anaconda-tui                                    GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  anaconda-user-help                              CC-BY-SA                                                                                                                                                     4                    9.0
  anaconda-widgets                                GPLv2+ 和 MIT                                                                                                                                                2                    9.0
  annobin                                         GPLv3+                                                                                                                                                       4                    9.0
  annobin-annocheck                               GPLv3+                                                                                                                                                       2                    9.0
  ansible-collection-microsoft-sql                MIT                                                                                                                                                          2                    9.0
  ansible-collection-redhat-rhel_mgmt             GPLv3+                                                                                                                                                       2                    9.0
  ansible-core                                    GPLv3+                                                                                                                                                       3                    9.0
  ansible-freeipa                                 GPLv3+                                                                                                                                                       2                    9.0
  ansible-freeipa-tests                           GPLv3+                                                                                                                                                       2                    9.0
  ansible-pcp                                     MIT                                                                                                                                                          2                    9.0
  ansible-test                                    GPLv3+                                                                                                                                                       3                    9.0
  ant                                             ASL 2.0                                                                                                                                                      2                    9.0
  ant-antlr                                       ASL 2.0                                                                                                                                                      2                    9.0
  ant-apache-bcel                                 ASL 2.0                                                                                                                                                      2                    9.0
  ant-apache-bsf                                  ASL 2.0                                                                                                                                                      2                    9.0
  ant-apache-oro                                  ASL 2.0                                                                                                                                                      2                    9.0
  ant-apache-regexp                               ASL 2.0                                                                                                                                                      2                    9.0
  ant-apache-resolver                             ASL 2.0                                                                                                                                                      2                    9.0
  ant-apache-xalan2                               ASL 2.0                                                                                                                                                      2                    9.0
  ant-commons-logging                             ASL 2.0                                                                                                                                                      2                    9.0
  ant-commons-net                                 ASL 2.0                                                                                                                                                      2                    9.0
  ant-javamail                                    ASL 2.0                                                                                                                                                      2                    9.0
  ANT-jdepend                                     ASL 2.0                                                                                                                                                      2                    9.0
  ant-jmf                                         ASL 2.0                                                                                                                                                      2                    9.0
  ant-jsch                                        ASL 2.0                                                                                                                                                      2                    9.0
  ant-junit                                       ASL 2.0                                                                                                                                                      2                    9.0
  ant-junit5                                      ASL 2.0                                                                                                                                                      2                    9.0
  ant-lib                                         ASL 2.0                                                                                                                                                      2                    9.0
  ant-swing                                       ASL 2.0                                                                                                                                                      2                    9.0
  ant-testutil                                    ASL 2.0                                                                                                                                                      2                    9.0
  ant-xz                                          ASL 2.0                                                                                                                                                      2                    9.0
  anthy-unicode                                   LGPLv2+ 和 GPLv2 和公共域                                                                                                                                    2                    9.0
  antlr-tool                                      ANTLR-PD                                                                                                                                                     2                    9.0
  apache-commons-cli                              ASL 2.0                                                                                                                                                      2                    9.0
  apache-commons-codec                            ASL 2.0                                                                                                                                                      2                    9.0
  apache-commons-io                               ASL 2.0                                                                                                                                                      2                    9.0
  apache-commons-lang3                            ASL 2.0                                                                                                                                                      2                    9.0
  apache-commons-logging                          ASL 2.0                                                                                                                                                      2                    9.0
  apache-commons-net                              ASL 2.0                                                                                                                                                      2                    9.0
  apcu-panel                                      PHP                                                                                                                                                          2                    9.0
  appstream                                       GPLv2+ 和 LGPLv2+                                                                                                                                            2                    9.0
  appstream-data                                  CC0 and CC-BY and CC-BY-SA and GFDL                                                                                                                          2                    9.0
  apr                                             带有广告和 ISC 和 BSD 的 ASL 2.0 和 BSD                                                                                                                      2                    9.0
  apr-devel                                       带有广告和 ISC 和 BSD 的 ASL 2.0 和 BSD                                                                                                                      2                    9.0
  apr-util                                        ASL 2.0                                                                                                                                                      2                    9.0
  apr-util-bdb                                    ASL 2.0                                                                                                                                                      2                    9.0
