 TACACS_AUTH_SUCCESS,User [STRING] from [STRING] was   authenticated successfully.,$1：用户名称   $2：IP地址,6,TACACS/6/TACACS_AUTH_SUCCESS: User   cwf@system from 192.168.0.22 was authenticated successfully.,TACACS服务器接收了用户的认证请求,无
 TACACS_DELETE_HOST_FAIL,Failed to delete servers in scheme   [STRING].,$1：方案名称,4,TACACS/4/TACACS_DELETE_HOST_FAIL: Failed   to delete servers in scheme abc.,删除TACACS方案中的服务器失败,无
 TELNETD_ACL_DENY,The Telnet Connection [IPADDR]([STRING]) request   was denied according to ACL rules.,$1：Telnet客户端IP地址   $2：Telnet客户端IP地址所在VPN,5,TELNETD/5/TELNETD_ACL_DENY: The Telnet   Connection 1.2.3.4(vpn1) request was denied according to ACL rules.,Telnet ACL规则限制登录IP地址。该日志在Telnet服务端检测到非法客户端尝试登录时输出,无
 TELNETD_REACH_SESSION_LIMIT,Telnet client [STRING] failed to log in.   The current number of Telnet sessions is [NUMBER]. The maximum number allowed   is ([NUMBER]).,$1：Telnet客户端IP地址   $2：当前的Telnet会话数   $3：设备允许建立的Telnet会话数,6,TELNETD/6/TELNETD_REACH_SESSION_LIMIT: Telnet   client 1.1.1.1 failed to log in. The current number of Telnet sessions is 10.   The maximum number allowed is (10).,Telnet登录用户达到上限。该日志在Telnet服务端检测到登录客户端数达到上限时输出,请根据需要使用命令aaa session-limit配置允许的Telnet最大登录用户数
 TRILL_DUP_SYSTEMID,Duplicate System ID [STRING] in [STRING]   PDU sourced from RBridge 0x[HEX].,$1：System ID   $2：PDU类型   $3：源RBridge的Nickname,5,TRILL/5/TRILL_DUP_SYSTEMID: Duplicate   System ID 0011.2200.1501 in LSP PDU sourced from RBridge 0xc758.,本地RBridge收到的LSP或者IIH PDU中的System ID和本地RBridge的System ID相同。可能的原因包括：   ·为本地RBridge和远端RBridge分配了相同的System ID   ·本地RBridge收到了一个自己产生、携带了旧的Nickname的LSP PDU,检查TRILL网络中上RBridge的System ID
 TRILL_INTF_CAPABILITY,The interface [STRING] does not support   TRILL.,$1：接口名称,4,TRILL/4/TRILL_INTF_CAPABILITY: The   interface GigabitEthernet0/1/3 does not support TRILL.,不支持TRILL的端口被加入到了聚合组中,将不支持TRILL的端口从聚合组中删除
 TRILL_LICENSE_EXPIRED,"The TRILL feature is being disabled, because   its license has expired.",无,3,"TRILL/3/TRILL_LICENSE_EXPIRED: The TRILL   feature is being disabled, because its license has expired.",TRILL的License已经过期,请更换有效的License
 TRILL_LICENSE_EXPIRED_TIME,The TRILL feature will be disabled in   [ULONG] days.,$1：功能还可使用的天数,5,TRILL/5/TRILL_LICENSE_EXPIRED_TIME: The TRILL   feature will be disabled in 2 days.,TRILL的License不可用，TRILL功能将在2天后失效      主备倒换后新的主控板上没有可用的TRILL License，会启动30天临时可用定时器,若要继续使用TRILL功能，请准备新的License
 TRILL_LICENSE_UNAVAILABLE,The TRILL feature has no available   license.,无,3,TRILL/3/TRILL_LICENSE_UNAVAILABLE: The TRILL   feature has no available license.,进程启动时，没有找到TRILL对应的License,请为TRILL安装有效的License
 TRILL_MEM_ALERT,TRILL process receive system memory alert   [STRING] event.,$1：内存告警事件的类型,5,TRILL/5/TRILL_MEM_ALERT: TRILL process   receive system memory alert start event.,TRILL从系统收到一个内存告警事件,检查系统内存
 TRILL_NBR_CHG,"TRILL [UINT32], [STRING] adjacency   [STRING] ([STRING]), state changed to [STRING].",$1：TRILL进程ID   $2：邻居级别   $3：邻居的System ID   $4：接口名   $5：当前邻居状态   up：表示邻居关系已建立，可以正常工作   initializing：表示初始状态   down：表示邻居关系结束,5,"TRILL/5/TRILL_NBR_CHG: TRILL 1, Level-1   adjacency 0011.2200.1501 (GigabitEthernet0/1/3), state changed to down.",一个TRILL邻居的状态发生改变,当邻居状态变为down或者initializing时，请根据状态变化的原因检查TRILL配置和网络状态
