### References

1. J. Szurdi and N. Christin, "Email typosquatting," in *Proceedings of the 2017 Internet Measurement Conference*, 2017, pp. 419–431.
2. J. Szurdi, B. Kocso, G. Cseh, J. Spring, M. Felegyhazi, and C. Kanich, "The long 'taile' of typosquatting domain names," in *23rd USENIX Security Symposium (USENIX Security 14)*, 2014, pp. 191–206.
3. K. Tian, S. T. Jan, H. Hu, D. Yao, and G. Wang, "Needle in a haystack: Tracking down elite phishing domains in the wild," in *Proceedings of the Internet Measurement Conference 2018*, 2018, pp. 429–442.
4. T. Urban, D. Tatang, M. Degeling, and T. Holz, "A study on subject data access in online advertising after the GDPR," *Data Privacy Management, Cryptocurrencies and Blockchain Technology*, p. 61.
5. T. Urban, D. Tatang, M. Degeling, T. Holz, and N. Pohlmann, "Measuring the impact of the GDPR on data sharing in ad networks," in *Proceedings of the 15th ACM ASIA Conference on Computer and Communications Security (ASIA CCS 2020)*, vol. 20, 2020.
6. C. Utz, M. Degeling, S. Fahl, F. Schaub, and T. Holz, "(Un)informed consent: Studying GDPR consent notices in the field," in *Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security*, 2019, pp. 973–990.
7. P. Vallina, A. Feal, J. Gamba, N. Vallina-Rodriguez, and A. F. Anta, "Tales from the porn: A comprehensive privacy analysis of the web porn ecosystem," in *Proceedings of the Internet Measurement Conference*, 2019, pp. 245–258.
8. T. van Ede, R. Bortolameotti, A. Continella, J. Ren, D. J. Dubois, M. Lindorfer, D. Choffnes, M. van Steen, and A. Peter, "Flowprint: Semi-supervised mobile-app fingerprinting on encrypted network traffic," in *Proceedings of the 27th Network and Distributed System Security Symposium (NDSS 2020)*. Internet Society, 2020.
9. T. Vissers, T. Barron, T. Van Goethem, W. Joosen, and N. Nikiforakis, "The wolf of name street: Hijacking domains through their nameservers," in *Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security*, 2017, pp. 957–970.
10. T. Vissers, W. Joosen, and N. Nikiforakis, "Parking sensors: Analyzing and detecting parked domains," in *Proceedings of the 22nd Network and Distributed System Security Symposium (NDSS 2015)*. Internet Society, 2015, pp. 53–53.
11. D. Wang, S. Savage, and G. M. Voelker, "Juice: A longitudinal study of an SEO campaign," in *Proceedings of the 20th Network and Distributed Systems Security Symposium (NDSS 2013)*. Internet Society, 2013.
12. Wikipedia contributors, "Message transfer agent — Wikipedia, the free encyclopedia," https://en.wikipedia.org/w/index.php?title=Message_transfer_agent&oldid=936498407, 2020.
13. S. Yadav, A. K. K. Reddy, A. N. Reddy, and S. Ranjan, "Detecting algorithmically generated malicious domain names," in *Proceedings of the 10th ACM SIGCOMM conference on Internet measurement*, 2010, pp. 48–61.
14. H. Yang, X. Ma, K. Du, Z. Li, H. Duan, X. Su, G. Liu, Z. Geng, and J. Wu, "How to learn Klingon without a dictionary: Detection and measurement of black keywords used by the underground economy," in *2017 IEEE Symposium on Security and Privacy (SP)*. IEEE, 2017, pp. 751–769.
15. S. Zimmeck, J. S. Li, H. Kim, S. M. Bellovin, and T. Jebara, "A privacy analysis of cross-device tracking," in *26th USENIX Security Symposium (USENIX Security 17)*, 2017, pp. 1391–1408.

### Table VII: Security Literature Using Non-Redacted WHOIS Data

| Category | Domain | Reference | Details | WHOIS Fields |
|----------|--------|-----------|---------|--------------|
| Security | Spam & Phishing | Yadav10 [111] | Check suspicious samples | No specific descriptions |
|          |        | Bilge11 [30] | Collect benign datasets | No specific descriptions |
|          |        | Szurdi14 [100] | Features for detection | Registrar, Creation Date |
|          |        | Agten15 [20] | Identify abuse type, Analyze malicious behaviors | No specific descriptions |
|          |        | Liu16 [68] | Check expired domains, Threat analysis | Registrar, Updated Date, Creation Date, Expiration Date |
|          |        | Hao16 [52] | Features for detection | Registrar, Nameserver IP and AS, Creation Date, Expiration Date |
|          |        | Lauinger16 [62] | Creation Date, Updated Date, Expiration Date | Discover expiring domain, Analyze re-registration |
|          |        | Lauinger17 [61] | Check domain registration status | Registrar, Creation Date, Updated Date, Expiration Date |
|          |        | Lauinger18 [60] | Track domain registration status | Registrar, Creation Date, Expiration Date |
|          |        | Levchenko11 [65] | Analyze spam infrastructure | Registrar, Nameserver IP |
|          |        | Hao13 [53] | Analyze spam registration behavior | Registrar, historical WHOIS information |
|          |        | Tian18 [101] | Features for detection | Registrar, Creation Date |
|          |        | Rahman12 [85] | Analyze phishing registration behavior | Check detected URLs |
|          |        | Bashir16 [29] | No specific descriptions | Measure age of landing domains |
|          |        | Moghaddam19 [76] | Remove false positives | No specific descriptions |
|          |        | Cidon19 [38] | Creation Date | Features for detection |

### Appendix A: Registrar Domain Share

As required by the RA [6], gTLD registries submit monthly reports about the domain names they sponsor. The Per-Registrar Transactions Reports record the number of total domains sponsored by each registrar ID. These reports are released on the ICANN Open Data Platform [16]. We downloaded the latest version available, which was released in November 2019. For each registrar, we calculated the percentage of its sponsored domains to indicate its share of the domain business. Table VIII shows the domain share of the top 25 registrars.

### Table VIII: Share of Registered Domains of the Top 25 Registrars by ID (November 2019)

| Rank | Registrar Name | ID | # Total Domains | Share |
|------|----------------|----|-----------------|-------|
| 1    | GoDaddy.com, LLC | 146 | 61,645,127 | 29.09% |
| 2    | Tucows Domains Inc. | 69 | 9,926,177 | 4.68% |
| 3    | NameCheap, Inc. | 1068 | 9,454,269 | 4.46% |
| 4    | eNom, LLC | 420 | 7,011,438 | 3.31% |
| 5    | 1&1 IONOS SE | 48 | 6,824,144 | 3.22% |
| 6    | Alibaba Cloud Computing (Beijing) Co., Ltd. | 49 | 5,590,700 | 2.64% |
| 7    | GMO Internet, Inc. d/b/a Onamae.com | 1599 | 5,400,764 | 2.55% |
| 8    | Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) | 120 | 5,381,119 | 2.54% |
| 9    | Xin Net Technology Corporation | 83 | 4,966,779 | 2.34% |
| 10   | Network Solutions, LLC | 303 | 4,925,377 | 2.32% |
| 11   | West263 International Limited | 895 | 4,572,228 | 2.16% |
| 12   | Chengdu West Dimension Digital Technology Co., Ltd. d/b/a PublicDomainRegistry.com | 1556 | 4,111,495 | 1.94% |
| 13   | Dynadot, LLC | 1479 | 3,369,930 | 1.59% |
| 14   | Name.com, Inc. | 440 | 3,368,280 | 1.59% |
| 15   | Wild West Domains, LLC | 1154 | 2,731,433 | 1.29% |
| 16   | FastDomain Inc. | 433 | 2,323,022 | 1.10% |
| 17   | NameSilo, LLC | 472 | 2,226,535 | 1.05% |
