以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 安全漏洞报告概览

| **标题** | **作者** | **受影响的公司** | **漏洞类型** | **奖励金额** | **日期** |
| --- | --- | --- | --- | --- | --- |
| [Self-XSS to Interesting Stored XSS](https://nahoragg.github.io/bugbounty/2018/12/15/Self-XSS-to-Interesting-Stored-XSS.html) | [Rohan Aggarwal (@nahoragg)](https://twitter.com/nahoragg) | - | 存储型XSS | - | 2018年12月15日 |
| [如何入侵一家公司的帮助台](https://medium.com/@alirazzaq/how-i-hacked-help-desk-of-a-company-55dc22448446) | [Ali Razzaq (@AliRazzaq_)](https://twitter.com/AliRazzaq_) | - | 票务技巧 | - | 2018年12月15日 |
| [Facebook服务器上的远程代码执行](https://blog.scrt.ch/2018/08/24/remote-code-execution-on-a-facebook-server/) | [Daniel Le Gall](https://twitter.com/Blaklis_) | phpMyAdmin | LFI, RCE, CSRF | - | 2018年12月14日 |
| [由于JSON数据未正确转义导致的Google Code-in XSS攻击](https://blog.thomasorlita.cz/vulns/google-code-in-xss/) | [Thomas Orlita (@ThomasOrlita)](https://twitter.com/ThomasOrlita) | Google | XSS | - | 2018年12月14日 |
| [$3,000赏金 - Twitter OAuth错误](https://shkspr.mobi/blog/2018/12/twitter-bug-bounty/) | [Terence Eden (@edent)](https://twitter.com/edent) | Twitter | OAuth缺陷 | $2,940 | 2018年12月14日 |
| [Facebook页面评论中的不可移除标签](https://medium.com/@maxpasqua/unremovable-tags-in-facebook-page-reviews-656e095e69aa) | Max Pasqua | Facebook | 逻辑缺陷, DoS | $500 | 2018年12月14日 |
| [通过链式利用两个漏洞再次破坏Facebook预约时间](https://medium.com/@maxpasqua/chaining-two-vulnerabilities-to-break-facebook-appointment-times-for-the-second-time-ac639f8c8773) | Max Pasqua | Facebook | 逻辑缺陷, DoS | $500 | 2018年12月14日 |
| [#BugBounty - “用户账户接管 - 我只需要您的电子邮件地址即可登录您的购物门户账户”](https://medium.com/@logicbomb_1/bugbounty-user-account-takeover-i-just-need-your-email-id-to-login-into-your-shopping-portal-7fd4fdd6dd56) | [Avinash Jain (@logicbomb_1)](https://twitter.com/logicbomb_1) | - | OAuth缺陷, 认证绕过, 账户接管 | - | 2018年12月13日 |
| [利用本地DTD文件进行XXE攻击](https://mohemiv.com/all/exploiting-xxe-with-local-dtd-files/) | [Arseniy Sharoglazov (@_mohemiv)](https://twitter.com/_mohemiv) | - | XXE | - | 2018年12月13日 |
| [成为Facebook群组支持试点](https://wongmjane.com/post/pilot-info-fb-group-support/) | [Jane Manchun Wong (@wongmjane)](https://twitter.com/wongmjane) | Facebook | 逻辑缺陷, 授权缺陷 | $0 | 2018年12月13日 |
