### 表6：网络可用性常见考核指标参考

#### 要求
| 指标说明 | 建议要求指标 |
| --- | --- |
| 单次最长故障时间 | 单次最长的非计划性不可用时间 | ≤99.5%（运行时间按5*8或7*24计算） |

### 系统冗余建设方法

系统冗余建设通常包括以下几种方法：

1. **硬件冗余**：
   - **电源冗余**：核心层设备采用双电源冗余，由芯片控制电源进行负载均衡。
   - **引擎冗余**：核心路由器、交换机等重要网络设备使用具备双引擎配置。
   - **模块冗余**：关键设备需要进行1:1的模块冗余，即每个接口和模块都有一个备份。
   - **设备堆叠**：通过堆叠技术实现单交换机端口的扩充。
   - **链路冗余**：为上层冗余设备架设物理链接，并通过二层STP算法或三层动态路由协议实现无环路且冗余的网络。
   - **设备冗余**：核心或出口设备采用冗余备份设计，通过HA控制流量进行负载均衡。
   - **负载均衡**：将特定业务分担给多个服务器或网络设备。

2. **软件冗余**：
   - **链路捆绑技术**：将多条独立的网络链路捆绑成一条逻辑链路，确保在某条链路失效时，流量可以继续传输。

3. **路由冗余**：
   - **VRRP**：虚拟路由冗余协议，解决局域网中静态网关单点失效问题。
   - **动态路由协议**：使用RIP、OSPF等协议，实现主路由故障后的自动切换。

### 标准参考
- GB/T 25068.1-2012《信息技术 安全技术 IT 网络安全 第 1 部分:网络安全管理》第 13.4 节“网络安全管理”

## 10.3 数据存储安全

### 10.3.1 PA07 存储介质安全

#### 10.3.1.1 过程域设定背景和目标
数据存储在各种介质上，如物理实体介质（磁盘/硬盘）和虚拟存储介质（容器/虚拟盘）。不当使用这些介质容易引发数据泄露风险。

#### 10.3.1.2 过程域具体标准要求解读

- **制度流程**：
  - 存储介质及其类型定义。
  - 不同分类分级的存储介质要求。
  - 存储介质购买和可信渠道审批要求。
  - 存储介质使用审批和净化处理要求，包括身份识别、权限控制及数据清理或销毁。
  - 存储介质标记要求，如分类、标签及其有效期。
  - 存储介质入库和保存要求，注意防尘、防潮、远离高温和强磁场，以及保存期限。
  - 存储介质使用的常规和随机审查要求，定期检查以防信息丢失。

- **技术工具**：
  - 介质净化工具，主要用于物理实体介质（磁盘/硬盘）。

#### 10.3.1.3 过程域充分定义级实施指南

- **制度流程参考**：
  - 案例1：《xxxx信息中心存储介质安全管理规定》
    - 存储介质定义
    - 安全管理员职责
    - 存储介质管理要求
    - 存储介质中数据测试
    - 存储介质维修要求
    - 存储介质销毁和报废要求
    - 附件：使用/维修/报废登记表

  - 案例2：《xxxx公司介质安全管理规范》
    - 存储介质及其分类定义
    - 介质存放环境要求：仓库/指定区域/防尘防潮防静电/防盗/监控/出入库登记
    - 介质运输安全：发货/收货
    - 介质使用规范：申请工单/使用人登记
    - 介质维修规范：返厂/操作人/时间/场地等
    - 介质销毁规范：消磁机/SSD数据擦除机/销毁平台/销毁方式/销毁记录等

- **技术工具参考**：
  - 市面上的数据消除工具基于BMB21-2007《涉及国家秘密的载体销毁与信息消除安全保密要求》研发，支持多种存储介质的信息消除。例如：
    - **系统平台**：基于Windows操作系统，充分利用其兼容性优势。
    - **擦除速度**：利用当前计算机的CPU频率，避免速度瓶颈。
    - **介质类型**：可擦除硬盘、U盘、CF卡等多种存储介质。
    - **擦除效率**：最多同时擦除25个存储介质。
    - **擦除方法**：可对整个存储介质、分区或指定文件目录进行擦除。
    - **状态显示**：用户可实时查看擦除过程。
    - **稳定性能**：插拔存储介质不影响正常运行。
    - **擦除标识**：信息消除后可打印不干胶贴，方便识别。

- **标准参考**：
  - BMB21-2007《涉及国家秘密的载体销毁与信息消除安全保密要求》
  - SJ 20901-2004《硬磁盘信息消除器通用规范》

### 10.3.2 PA08 逻辑存储安全

#### 10.3.2.1 过程域设定背景和目标
针对存储容器和存储架构的安全要求，如认证鉴权、访问控制、日志管理、通信举证、文件防病毒等，以保证数据存储安全。

#### 10.3.2.2 过程域具体标准要求解读

- **制度流程**：
  - 逻辑存储系统和存储设备定义。
  - 逻辑存储系统架构设计及其安全要求。
  - 逻辑存储的安全配置规则及变更和发布要求。
  - 多租户隔离、授权管理规范要求。
  - 存储设备安全管理规范和操作规程，如标准操作流程、维护操作流程、应急操作流程等。
  - 存储系统的账号和权限、日志管理、加密管理、版本升级等要求。

- **技术工具**：
  - 定期扫描重要数据存储系统的安全配置，确保符合安全基线。
  - 采集存储系统的操作日志，识别访问账号和权限，监测数据使用规范性和合理性。

#### 10.3.2.3 过程域充分定义级实施指南

- **制度流程参考**：
  - 案例1：《XXX存储系统的安全配置》
    - **认证鉴权**：通过管理平面和业务平面认证限制访问。
    - **访问控制**：提供GUI和CLI两种访问方式，对管理资源和业务资源进行访问控制。
    - **日志管理**：按时间顺序记录存储系统活动，帮助用户了解操作和事件信息。
    - **安全策略**：配置用户名策略、密码策略、登录策略和帐号审计策略。
    - **通信矩阵**：了解各类组件所需的网络端口，以便开启相应端口。
    - **安全加固**：识别并修复存储系统的弱点。
    - **文件防病毒**：利用第三方防病毒软件触发病毒扫描，提高安全性。

  - 案例2：《Oracle逻辑存储结构介绍》
    - **逻辑存储结构**：逻辑层次结构和空间管理。
    - **数据块**：数据块格式、压缩、空间管理。
    - **扩展区**：分配和释放扩展区，存储参数。
    - **段概述**：用户段、临时段、撤销段、段空间和高水位标记。
    - **表空间**：永久表空间、临时表空间、模式、文件大小。
    - **管理归档日志**：预备知识、归档重做日志文件、利用归档恢复过程。

- **标准参考**：
  - GB/T 31916.1-2015《信息技术云数据存储和管理 第 1 部分:总则》

### 10.3.3 PA09 数据备份和恢复

#### 10.3.3.1 过程域设定背景和目标
备份与恢复是为了提高信息系统的高可用性和灾难可恢复性。数据库崩溃时，没有备份数据将无法恢复。保证数据可用性是数据安全的基础。

#### 10.3.3.2 过程域具体标准要求解读

- **制度流程**：
  - 数据服务可靠性和可用性安全保护目标。
  - 数据存储冗余策略和设计指导。
  - 数据复制、备份与恢复的操作规程，包括范围、频率、工具、过程、日志记录规范、数据保存时长等。
  - 定期检查和更新工作要求，如数据副本更新频率、保存期限等，确保数据副本或备份数据的有效性。
